mode,target_profile,W_SM_KiB,blocks_per_SM,active_SM,n_gpu_active,gpu_list,valid,regime,shared_resident,l2_candidate,dram_candidate,reason,command
idle,rtx3090,1,1,82,0,none,True,idle,True,True,False,0 active GPU baseline,./build/a100_fp16_energy_v2 --gpu-list none --mode idle --w-sm-kib 1 --blocks-per-sm 1 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv
empty,rtx3090,64,16,82,1,0,True,shared_resident,True,True,False,fits shared memory,./build/a100_fp16_energy_v2 --gpu-list 0 --mode empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
empty,rtx3090,128,16,82,1,0,True,dram_mixed_streaming,False,False,True,full-GPU working set exceeds nominal L2,./build/a100_fp16_energy_v2 --gpu-list 0 --mode empty --w-sm-kib 128 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
reg_mma,rtx3090,64,16,82,1,0,True,shared_resident,True,True,False,fits shared memory,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
reg_mma,rtx3090,128,16,82,1,0,True,dram_mixed_streaming,False,False,True,full-GPU working set exceeds nominal L2,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 128 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
shared_mma,rtx3090,64,16,82,1,0,True,shared_resident,True,True,False,fits shared memory,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
shared_mma,rtx3090,128,16,82,1,0,False,dram_mixed_streaming,False,False,True,skipped_for_mode_or_invalid:full-GPU working set exceeds nominal L2,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_mma --w-sm-kib 128 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
l2_mma,rtx3090,64,16,82,1,0,True,shared_resident,True,True,False,fits shared memory,./build/a100_fp16_energy_v2 --gpu-list 0 --mode l2_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
l2_mma,rtx3090,128,16,82,1,0,False,dram_mixed_streaming,False,False,True,skipped_for_mode_or_invalid:full-GPU working set exceeds nominal L2,./build/a100_fp16_energy_v2 --gpu-list 0 --mode l2_mma --w-sm-kib 128 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
dram_mma,rtx3090,64,16,82,1,0,False,shared_resident,True,True,False,skipped_for_mode_or_invalid:fits shared memory,./build/a100_fp16_energy_v2 --gpu-list 0 --mode dram_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
dram_mma,rtx3090,128,16,82,1,0,True,dram_mixed_streaming,False,False,True,full-GPU working set exceeds nominal L2,./build/a100_fp16_energy_v2 --gpu-list 0 --mode dram_mma --w-sm-kib 128 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
store_path,rtx3090,64,16,82,1,0,True,shared_resident,True,True,False,fits shared memory,./build/a100_fp16_energy_v2 --gpu-list 0 --mode store_path --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
store_path,rtx3090,128,16,82,1,0,True,dram_mixed_streaming,False,False,True,full-GPU working set exceeds nominal L2,./build/a100_fp16_energy_v2 --gpu-list 0 --mode store_path --w-sm-kib 128 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 1.0 --repeats 1 --output results/raw/rtx3090_fp16_energy_smoke_20260701_fixed.csv --verify-smid 1
