mode,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,global_warmup_passes,l2_residency_policy,l2_address_layout,n_gpu_active,gpu_list,valid,regime,reason,measurement_policy,resolved_iters,command
global_addr_only,rtx3090,8192,8,82,1,4,1,1,normal,contiguous,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,dram_pair_locked_iters,3280520,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 8192 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_dram.csv --verify-smid 1 --iters 3280520
dram_cg_load_only,rtx3090,8192,8,82,1,4,1,1,normal,contiguous,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,dram_pair_locked_iters,3280520,./build/a100_fp16_energy_v2 --gpu-list 0 --mode dram_cg_load_only --w-sm-kib 8192 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_dram.csv --verify-smid 1 --iters 3280520
global_addr_only,rtx3090,8192,8,82,1,8,1,1,normal,contiguous,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,dram_pair_locked_iters,1641571,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 8192 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_dram.csv --verify-smid 1 --iters 1641571
dram_cg_load_only,rtx3090,8192,8,82,1,8,1,1,normal,contiguous,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,dram_pair_locked_iters,1641571,./build/a100_fp16_energy_v2 --gpu-list 0 --mode dram_cg_load_only --w-sm-kib 8192 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_dram.csv --verify-smid 1 --iters 1641571
global_addr_only,rtx3090,8192,8,82,1,16,1,1,normal,contiguous,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,dram_pair_locked_iters,821941,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 8192 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_dram.csv --verify-smid 1 --iters 821941
dram_cg_load_only,rtx3090,8192,8,82,1,16,1,1,normal,contiguous,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,dram_pair_locked_iters,821941,./build/a100_fp16_energy_v2 --gpu-list 0 --mode dram_cg_load_only --w-sm-kib 8192 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_dram.csv --verify-smid 1 --iters 821941
global_addr_only,rtx3090,8192,16,82,1,4,1,1,normal,contiguous,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,dram_pair_locked_iters,1692223,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 8192 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_dram.csv --verify-smid 1 --iters 1692223
dram_cg_load_only,rtx3090,8192,16,82,1,4,1,1,normal,contiguous,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,dram_pair_locked_iters,1692223,./build/a100_fp16_energy_v2 --gpu-list 0 --mode dram_cg_load_only --w-sm-kib 8192 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_dram.csv --verify-smid 1 --iters 1692223
global_addr_only,rtx3090,8192,16,82,1,8,1,1,normal,contiguous,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,dram_pair_locked_iters,846573,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 8192 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_dram.csv --verify-smid 1 --iters 846573
dram_cg_load_only,rtx3090,8192,16,82,1,8,1,1,normal,contiguous,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,dram_pair_locked_iters,846573,./build/a100_fp16_energy_v2 --gpu-list 0 --mode dram_cg_load_only --w-sm-kib 8192 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_dram.csv --verify-smid 1 --iters 846573
