input_file,row_index,run_id,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,elapsed_s,net_E_J,average_power_W,group_rows,group_power_median_W,group_power_mad_W,average_power_delta_W,endpoint_after_W,group_endpoint_after_median_W,endpoint_after_ratio,temp_C,group_temp_median_C,clock_sm_mhz,group_clock_sm_median_mhz,status,coefficient_eligible,reasons,notes
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,2,reg_operand_only_1784029769416_r0,reg_operand_only,1,4,82,1,1,1,0.008836826,-0.63645319901,-72.0228279939,5,-88.9180516261,1.0350948656,,17.558,21.252,0.826181065312,39,54,210,210,reject,false,invalid_average_power,temperature_outlier
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,3,reg_mma_1784029787442_r0,reg_mma,1,4,82,1,1,1,10.10183732,1458.67384125,144.396884947,5,147.958941296,3.562056349,-3.562056349,245.774,259.003,0.948923371544,61,71,1950,1935,caution,true,,temperature_outlier
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,4,reg_mma_1784029807643_r0,reg_mma,1,4,82,2,1,1,9.916021695,1451.56781687,146.386107405,5,149.868364237,1.850598239,-3.482256832,245.776,253.634,0.969018349275,63,71,1935,1920,caution,true,,temperature_outlier
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,5,reg_operand_only_1784029815569_r0,reg_operand_only,1,4,82,2,1,1,0.00782819,-0.609683280415,-77.8830458145,5,-83.2761918672,2.5846646241,,18.215,21.17,0.86041568257,45,53,210,210,reject,false,invalid_average_power,temperature_outlier
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,6,reg_operand_only_1784029825860_r0,reg_operand_only,1,4,82,4,1,1,0.00767467,-0.592907179191,-77.2550714482,5,-79.156815338,1.9017438898,,18.052,20.537,0.87899888007,44,53,210,210,reject,false,invalid_average_power,temperature_outlier
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,7,reg_mma_1784029843871_r0,reg_mma,1,4,82,4,1,1,10.057747356,1631.1042919,162.173917694,5,161.755417422,1.517438183,0.418500272,254.83,261.679,0.973826711352,63,72,1935,1920,caution,true,,temperature_outlier
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,8,reg_mma_1784029864250_r0,reg_mma,1,4,82,8,1,1,10.111813103,1570.12888253,155.276691384,5,161.168486563,4.791331499,-5.891795179,262.779,263.957,0.995537151885,67,72,1935,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,9,reg_operand_only_1784029872160_r0,reg_operand_only,1,4,82,8,1,1,0.008030163,-0.646294565637,-80.4833682252,5,-82.2519616652,1.9984201664,,19.586,20.468,0.956908344733,48,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,10,reg_operand_only_1784029882444_r0,reg_operand_only,1,4,82,16,1,1,0.007813128,-0.627660414637,-80.3340754992,5,-80.3340754992,2.8274120654,,18.507,20.913,0.884951943767,47,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,11,reg_mma_1784029900446_r0,reg_mma,1,4,82,16,1,1,10.02985013,1636.40356669,163.153341823,5,160.874862025,2.278479798,2.278479798,265.003,265.277,0.998967117391,67,72,1935,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,12,reg_mma_1784029920848_r0,reg_mma,1,8,82,1,1,1,10.112600336,1491.3592007,147.475342755,5,147.475342755,3.705681318,0,254.38,261.545,0.972605096637,67,71,1935,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,13,reg_operand_only_1784029928793_r0,reg_operand_only,1,8,82,1,1,1,0.007817598,-0.64743624283,-82.8177968258,5,-82.8177968258,1.5303765283,,19.869,20.574,0.965733449985,50,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,14,reg_operand_only_1784029939089_r0,reg_operand_only,1,8,82,2,1,1,0.007483001,-0.605486426254,-80.9149198636,5,-78.8709928207,2.0439270429,,18.883,20.974,0.900305139697,49,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,15,reg_mma_1784029959320_r0,reg_mma,1,8,82,2,1,1,9.924100227,1720.25240028,173.340893475,5,168.75015045,3.058922943,4.590743025,255.052,256.175,0.995616277935,68,71,1935,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,16,reg_mma_1784029977084_r0,reg_mma,1,8,82,4,1,1,9.871024527,1470.41372571,148.962625074,5,165.863220202,9.628770181,-16.900595128,266.957,271.522,0.983187366033,70,71,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,17,reg_operand_only_1784029987413_r0,reg_operand_only,1,8,82,4,1,1,0.007682407,-0.672939909818,-87.5949308359,5,-83.2673288805,1.0677218831,,19.882,20.387,0.975229312797,51,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,18,reg_operand_only_1784029995346_r0,reg_operand_only,1,8,82,8,1,1,0.008565363,-0.664479475931,-77.5775032455,5,-80.8580412829,5.7609029231,,19.547,20.481,0.954396757971,50,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,19,reg_mma_1784030015903_r0,reg_mma,1,8,82,8,1,1,10.26783638,1677.93978351,163.417074582,5,167.619986139,2.170020617,-4.202911557,271.201,271.077,1.0004574346,69,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,20,reg_mma_1784030033920_r0,reg_mma,1,8,82,16,1,1,10.129341579,1640.81259563,161.986105694,5,169.190405512,1.832530979,-7.204299818,267.346,271.98,0.982961982499,71,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,21,reg_operand_only_1784030044177_r0,reg_operand_only,1,8,82,16,1,1,0.006970914,-0.608200113914,-87.2482595416,5,-83.7914734515,1.1501568198,,19.899,20.804,0.95649875024,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,22,reg_operand_only_1784030052188_r0,reg_operand_only,1,16,82,1,1,1,0.006351944,-0.48784511905,-76.8024905525,5,-81.6295546995,4.827064147,,19.692,20.479,0.961570389179,50,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,23,reg_mma_1784030072734_r0,reg_mma,1,16,82,1,1,1,10.27076392,1532.17404741,149.178197391,5,149.027110983,2.225979617,0.151086408,259.437,259.437,1,68,71,1935,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,24,reg_mma_1784030090723_r0,reg_mma,1,16,82,2,1,1,10.108076756,1720.68117652,170.228344922,5,173.092086964,3.899332548,-2.863742042,258.222,260.403,0.991624520455,70,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,25,reg_operand_only_1784030101068_r0,reg_operand_only,1,16,82,2,1,1,0.006091526,-0.522743030551,-85.8147909983,5,-83.1679030619,2.6468879364,,20.439,20.929,0.976587510153,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,26,reg_operand_only_1784030111371_r0,reg_operand_only,1,16,82,4,1,1,0.006680814,-0.511969540479,-76.6328085887,5,-79.6708877368,3.0380791481,,19.763,20.307,0.973211207958,51,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,27,reg_mma_1784030129487_r0,reg_mma,1,16,82,4,1,1,10.210106088,1766.32837449,172.998043239,5,172.998043239,2.189527254,0,269.577,268.402,1.00437776172,70,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,28,reg_mma_1784030147671_r0,reg_mma,1,16,82,8,1,1,10.192929547,1697.72202258,166.558791047,5,168.193393441,1.634602394,-1.634602394,273.951,272.492,1.00535428563,72,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,29,reg_operand_only_1784030157940_r0,reg_operand_only,1,16,82,8,1,1,0.006446548,-0.563698040123,-87.4418433126,5,-87.4418433126,2.7995768917,,20.59,21.201,0.971180604688,53,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,30,reg_operand_only_1784030168256_r0,reg_operand_only,1,16,82,16,1,1,0.008228307,-0.621362302145,-75.5152064872,5,-77.7575466033,2.2423401161,,20.251,20.828,0.972296908008,51,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,31,reg_mma_1784030186320_r0,reg_mma,1,16,82,16,1,1,10.18431467,1769.21690168,173.71977978,5,172.01131866,1.70846112,1.70846112,269.316,271.135,0.993291164918,71,72,1935,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,32,reg_operand_only_1784030196658_r0,reg_operand_only,1,4,82,2,1,1,0.007465685,-0.641010108394,-85.8608564913,5,-83.2761918672,2.5846646241,,21.031,21.17,0.993434104865,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,33,reg_mma_1784030214683_r0,reg_mma,1,4,82,2,1,1,10.085996474,1511.57179326,149.868364237,5,149.868364237,1.850598239,0,259.995,253.634,1.02507944518,70,71,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,34,reg_mma_1784030232652_r0,reg_mma,1,4,82,4,1,1,10.058634718,1627.03865751,161.755417422,5,161.755417422,1.517438183,0,263.359,261.679,1.00642007956,72,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,35,reg_operand_only_1784030242981_r0,reg_operand_only,1,4,82,4,1,1,0.007454132,-0.612694814309,-82.1953266066,5,-79.156815338,1.9017438898,,19.986,20.537,0.97317037542,53,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,36,reg_operand_only_1784030253294_r0,reg_operand_only,1,4,82,8,1,1,0.007651988,-0.614099136506,-80.2535414988,5,-82.2519616652,1.9984201664,,20.468,20.468,1,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,37,reg_mma_1784030271254_r0,reg_mma,1,4,82,8,1,1,10.042004,1677.35211935,167.033603985,5,161.168486563,4.791331499,5.865117422,262.32,263.957,0.993798232288,71,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,38,reg_mma_1784030291699_r0,reg_mma,1,4,82,16,1,1,10.188677967,1597.77777793,156.818949731,5,160.874862025,2.278479798,-4.055912294,262.631,265.277,0.990025520494,72,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,39,reg_operand_only_1784030299620_r0,reg_operand_only,1,4,82,16,1,1,0.007551509,-0.633684498082,-83.9149497249,5,-80.3340754992,2.8274120654,,21.429,20.913,1.02467364797,53,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,40,reg_operand_only_1784030309929_r0,reg_operand_only,1,8,82,1,1,1,0.007548004,-0.613557773555,-81.2874202975,5,-82.8177968258,1.5303765283,,19.636,20.574,0.954408476718,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,41,reg_mma_1784030327875_r0,reg_mma,1,8,82,1,1,1,10.000784655,1568.08930511,156.796627385,5,147.475342755,3.705681318,9.32128463,259.57,261.545,0.992448718194,70,71,1935,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,42,reg_mma_1784030348234_r0,reg_mma,1,8,82,2,1,1,10.057793945,1694.74419707,168.500588334,5,168.75015045,3.058922943,-0.249562116,255.994,256.175,0.999293451742,71,71,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,43,reg_operand_only_1784030356171_r0,reg_operand_only,1,8,82,2,1,1,0.007720096,-0.379053972652,-49.0996449593,5,-78.8709928207,2.0439270429,,20.974,20.974,1,53,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,44,reg_operand_only_1784030366492_r0,reg_operand_only,1,8,82,4,1,1,0.007567134,-0.630095035461,-83.2673288805,5,-83.2673288805,1.0677218831,,20.147,20.387,0.988227792221,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,45,reg_mma_1784030384407_r0,reg_mma,1,8,82,4,1,1,9.972186675,1750.03888807,175.491990383,5,165.863220202,9.628770181,9.628770181,270.618,271.522,0.996670619692,71,71,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,46,reg_mma_1784030404943_r0,reg_mma,1,8,82,8,1,1,10.25465618,1681.00525504,163.926047401,5,167.619986139,2.170020617,-3.693938738,267.592,271.077,0.98714387425,72,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,47,reg_operand_only_1784030412926_r0,reg_operand_only,1,8,82,8,1,1,0.008071331,-0.699130169557,-86.618944206,5,-80.8580412829,5.7609029231,,20.481,20.481,1,53,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,48,reg_operand_only_1784030423224_r0,reg_operand_only,1,8,82,16,1,1,0.00785187,-0.65791975665,-83.7914734515,5,-83.7914734515,1.1501568198,,20.065,20.804,0.964477985003,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,49,reg_mma_1784030441189_r0,reg_mma,1,8,82,16,1,1,10.028470126,1754.95718308,174.997498226,5,169.190405512,1.832530979,5.807092714,271.98,271.98,1,72,72,1935,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,50,reg_mma_1784030461679_r0,reg_mma,1,16,82,1,1,1,10.232007819,1502.07032398,146.801131366,5,149.027110983,2.225979617,-2.225979617,262.754,259.437,1.01278537757,71,71,1935,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,51,reg_operand_only_1784030471991_r0,reg_operand_only,1,16,82,1,1,1,0.00623111,-0.532129828321,-85.3988821127,5,-81.6295546995,4.827064147,,21.16,20.479,1.03325357683,53,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,52,reg_operand_only_1784030480014_r0,reg_operand_only,1,16,82,2,1,1,0.009710976,-0.807641510604,-83.1679030619,5,-83.1679030619,2.6468879364,,20.006,20.929,0.955898514024,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,53,reg_mma_1784030500415_r0,reg_mma,1,16,82,2,1,1,10.11539983,1828.72965695,180.786690362,5,173.092086964,3.899332548,7.694603398,260.403,260.403,1,71,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,54,reg_mma_1784030518418_r0,reg_mma,1,16,82,4,1,1,10.131660159,1774.94092832,175.187570493,5,172.998043239,2.189527254,2.189527254,268.176,268.402,0.999157979449,73,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,55,reg_operand_only_1784030528706_r0,reg_operand_only,1,16,82,4,1,1,0.007870269,-0.67912477583,-86.2899064606,5,-79.6708877368,3.0380791481,,21.199,20.307,1.04392573989,54,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,56,reg_operand_only_1784030536687_r0,reg_operand_only,1,16,82,8,1,1,0.006352345,-0.537079926163,-84.5482929789,5,-87.4418433126,2.7995768917,,20.204,21.201,0.952973916325,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,57,reg_mma_1784030557182_r0,reg_mma,1,16,82,8,1,1,10.20423619,1799.7020684,176.368131322,5,168.193393441,1.634602394,8.174737881,267.665,272.492,0.98228571848,72,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,58,reg_mma_1784030575168_r0,reg_mma,1,16,82,16,1,1,10.123280612,1741.06237669,171.985983934,5,172.01131866,1.70846112,-0.025334726,273.741,271.135,1.00961144817,73,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,59,reg_operand_only_1784030585461_r0,reg_operand_only,1,16,82,16,1,1,0.005980262,-0.519112353619,-86.8042827587,5,-77.7575466033,2.2423401161,,21.545,20.828,1.03442481275,54,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,60,reg_mma_1784030603723_r0,reg_mma,1,4,82,1,1,1,10.286313665,1515.86027191,147.366716715,5,147.958941296,3.562056349,-0.592224581,259.267,259.003,1.00101929321,71,71,1935,1935,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,61,reg_operand_only_1784030613984_r0,reg_operand_only,1,4,82,1,1,1,0.007659549,-0.687717079359,-89.7855838978,5,-88.9180516261,1.0350948656,,21.252,21.252,1,54,54,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,62,reg_operand_only_1784030621865_r0,reg_operand_only,1,4,82,4,1,1,0.00763068,-0.604020327663,-79.156815338,5,-79.156815338,1.9017438898,,20.537,20.537,1,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,63,reg_mma_1784030642367_r0,reg_mma,1,4,82,4,1,1,10.225429934,1584.19282208,154.926769075,5,161.755417422,1.517438183,-6.828648347,268.155,261.679,1.02474787813,71,72,1935,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,64,reg_mma_1784030660546_r0,reg_mma,1,4,82,8,1,1,10.112375106,1581.34445002,156.377155064,5,161.168486563,4.791331499,-4.791331499,265.473,263.957,1.00574335971,72,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,65,reg_operand_only_1784030670819_r0,reg_operand_only,1,4,82,8,1,1,0.007475284,-0.660285027263,-88.3290892042,5,-82.2519616652,1.9984201664,,20.878,20.468,1.02003126832,54,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,66,reg_operand_only_1784030681126_r0,reg_operand_only,1,4,82,16,1,1,0.0073207,-0.568530993917,-77.6607419942,5,-80.3340754992,2.8274120654,,20.913,20.913,1,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,67,reg_mma_1784030699220_r0,reg_mma,1,4,82,16,1,1,10.13536619,1630.52563739,160.874862025,5,160.874862025,2.278479798,0,266.107,265.277,1.00312880498,72,72,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,68,reg_mma_1784030717181_r0,reg_mma,1,8,82,1,1,1,10.066487529,1472.07511304,146.235229398,5,147.475342755,3.705681318,-1.240113357,262.011,261.545,1.00178172016,71,71,1920,1920,ok,true,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,69,reg_operand_only_1784030727466_r0,reg_operand_only,1,8,82,1,1,1,0.007449234,-0.663910279546,-89.1246374521,5,-82.8177968258,1.5303765283,,21.091,20.574,1.02512880334,54,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,70,reg_operand_only_1784030737764_r0,reg_operand_only,1,8,82,2,1,1,0.007915176,-0.616061752074,-77.8329821187,5,-78.8709928207,2.0439270429,,20.704,20.974,0.987126919043,52,53,210,210,reject,false,invalid_average_power,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,71,reg_mma_1784030755806_r0,reg_mma,1,8,82,2,1,1,10.063417375,1698.20319607,168.75015045,5,168.75015045,3.058922943,0,262.319,256.175,1.02398360496,71,71,1920,1920,ok,true,,
