"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.avg","Mbyte","11.04"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.max","Mbyte","11.14"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.min","Mbyte","10.94"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes.sum","Mbyte","132.52"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.avg","Mbyte","9.42"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.max","Mbyte","9.47"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.min","Mbyte","9.37"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","113.06"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__sectors.avg","sector","345110.67"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__sectors.max","sector","348024"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__sectors.min","sector","341964"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__sectors.sum","sector","4141328"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__sectors_read.avg","sector","294422.33"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__sectors_read.max","sector","296084"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__sectors_read.min","sector","292940"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","dram__sectors_read.sum","sector","3533068"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.avg","","0"
"0","2426391","a100_fp16_energy_v2","127.0.0.1","unnamed>::global_scalar_addr_only_kernel(const __half *, unsigned long, unsigned long, unsigned long, unsigned long, int, float *, int *, int *, int *, int)","1","13","(32, 1, 1)","(1312, 1, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.max","","0"
