run_id,pair_id,role,repeat,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ,changed_from_previous,in_fit_window
softmax_1785110124291_softmax_full_f16io_f32acc_ptx_ex2_approx_f16x2_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16x2_g16_s00_p00,probe_before,0,0,0,43081.7759743,43081.777156,43081.7765651,0.00118171200302,-0.00060004399711,7389794745,false,false
softmax_1785110124291_softmax_full_f16io_f32acc_ptx_ex2_approx_f16x2_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16x2_g16_s00_p00,probe_before,0,0,1,43082.3058917,43082.3074378,43082.3066648,0.00154607800505,0.529499607997,7389876523,true,false
softmax_1785110124291_softmax_full_f16io_f32acc_ptx_ex2_approx_f16x2_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16x2_g16_s00_p00,probe_before,0,0,2,43082.8144846,43082.8159633,43082.815224,0.00147869699867,1.0380588185,7389941666,true,false
softmax_1785110124291_softmax_full_f16io_f32acc_ptx_ex2_approx_f16x2_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16x2_g16_s00_p00,probe_before,0,0,3,43083.3428249,43083.3443128,43083.3435688,0.00148788599472,1.566403646,7390023496,true,true
softmax_1785110124291_softmax_full_f16io_f32acc_ptx_ex2_approx_f16x2_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16x2_g16_s00_p00,probe_before,0,0,4,43083.8450276,43083.8464292,43083.8457284,0.0014016050045,2.0685632735,7390105458,true,true
softmax_1785110124291_softmax_full_f16io_f32acc_ptx_ex2_approx_f16x2_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16x2_g16_s00_p00,probe_before,0,0,5,43084.3570235,43084.3586145,43084.357819,0.00159105000057,2.580653829,7390188113,true,true
softmax_1785110124291_softmax_full_f16io_f32acc_ptx_ex2_approx_f16x2_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16x2_g16_s00_p00,probe_before,0,0,6,43084.8662795,43084.871272,43084.8687758,0.00499255800241,3.091610601,7390269459,true,true
softmax_1785110124291_softmax_full_f16io_f32acc_ptx_ex2_approx_f16x2_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16x2_g16_s00_p00,probe_before,0,0,7,43085.3914772,43085.3966948,43085.394086,0.00521753700014,3.6169208315,7390352605,true,true
softmax_1785110124291_softmax_full_f16io_f32acc_ptx_ex2_approx_f16x2_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16x2_g16_s00_p00,probe_before,0,0,8,43085.9043912,43085.9058734,43085.9051323,0.00148223900032,4.1279671225,7390435543,true,true
softmax_1785110124291_softmax_full_f16io_f32acc_ptx_ex2_approx_f16x2_r0,softmax_oratc_main_crossplatform_smoke_20260727_cache_reuse_candidate_probe_ptx_f16x2_g16_s00_p00,probe_before,0,0,9,43086.4136259,43086.4151461,43086.414386,0.00152019200323,4.63722088,7390517512,true,true
