run_id,pair_id,role,repeat,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ,changed_from_previous,in_fit_window
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,0,139790.876605,139790.877939,139790.877272,0.00133420398924,-0.000679702003254,5171335289,false,false
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,1,139791.378967,139791.381582,139791.380274,0.00261510899873,0.50232236649,5171451912,true,false
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,2,139791.881747,139791.883167,139791.882457,0.00142010499258,1.00450493049,5171570774,true,false
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,3,139792.383295,139792.384721,139792.384008,0.0014260050084,1.50605614847,5171689089,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,4,139792.884859,139792.88863,139792.886744,0.00377171399305,2.008792618,5171806856,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,5,139793.388758,139793.39007,139793.389414,0.00131189500098,2.51146216449,5171928445,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,6,139793.890191,139793.891599,139793.890895,0.0014080949768,3.01294328048,5172049529,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,7,139794.391764,139794.393119,139794.392441,0.00135559600312,3.514489753,5172170224,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,8,139794.893241,139794.894654,139794.893948,0.00141269498272,4.0159959725,5172290670,true,true
softmax_1784951067547_softmax_full_f16io_f32acc_ptx_ex2_approx_f16_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos1_ptx_f16_g48_s1024_cache_reuse_candidate_probe_ptx_f16_g48_s00_p00,probe_before,0,0,9,139795.394777,139795.396238,139795.395508,0.00146079598926,4.517555798,5172411003,true,true
