run_id,pair_id,role,repeat,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ,changed_from_previous,in_fit_window
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,0,140364.634227,140364.63541,140364.634819,0.00118310199468,-0.000600151019171,5306121242,false,false
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,1,140365.136139,140365.137707,140365.136923,0.00156810099725,0.50150440351,5306230624,true,false
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,2,140365.637832,140365.639212,140365.638522,0.00138010198134,1.00310316798,5306344946,true,false
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,3,140366.139335,140366.140721,140366.140028,0.00138590100687,1.5046097395,5306458823,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,4,140366.640869,140366.642261,140366.641565,0.00139220201527,2.00614667102,5306572246,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,5,140367.142402,140367.143693,140367.143047,0.0012912020029,2.50762876001,5306685064,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,6,140367.6438,140367.645152,140367.644476,0.00135240200325,3.00905745901,5306797382,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,7,140368.145316,140368.150112,140368.147714,0.00479620599071,3.51229516702,5306909419,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,8,140368.650266,140368.65167,140368.650968,0.00140490199556,4.01554933598,5307025148,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,9,140369.151795,140369.153288,140369.152542,0.00149360200157,4.51712291001,5307140607,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,10,140369.653443,140369.654839,140369.654141,0.00139610198676,5.01872239402,5307255802,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,11,140370.15497,140370.15639,140370.15568,0.00142029501148,5.52026117151,5307370627,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,12,140370.65656,140370.65792,140370.65724,0.00135999498889,6.0218213675,5307484868,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,13,140371.158075,140371.159882,140371.158978,0.00180699300836,6.52355951851,5307598551,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,14,140371.659972,140371.661306,140371.660639,0.00133419502527,7.0252200815,5307711487,true,true
softmax_1784951641304_softmax_full_f16io_f32acc_fp32_fast___expf_r0,softmax_oratc_targeted_g48s1024_confirm_v1_20260725_sess03_pos3_fp32_g48_s1024_cache_reuse_candidate_probe_g48_s00_p00,probe_before,0,0,15,140372.161427,140372.162871,140372.162149,0.0014437949867,7.5267306515,5307847369,true,true
