run_id,gpu_id,n_gpu_active,mode,W_SM_KiB,blocks_per_SM,threads_per_block,active_SM,ITER,sweeps,elapsed_s,E_before_mJ,E_after_mJ,delta_E_J,idle_baseline_J,net_E_J,N_MMA,FLOP,input_bits,pJ_per_FLOP,pJ_per_input_bit,ncu_tensor_inst,ncu_shared_bytes,ncu_l2_bytes,ncu_dram_bytes,ncu_spill_bytes,smid_histogram_ok,clock_sm_mhz,clock_mem_mhz,temp_C,notes
idle_1782902977234_r0,0,0,idle,1,1,32,82,0,0,1.002974557,24737880153,24737899957,19.804,19.804,0,0,0,0,0,0,0,0,0,0,0,false,210,405,44,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=0;energy_source=nvml_total_energy;power_mw=20379;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=20013;power_limit_mw=370000;ecc_unavailable=Not Supported;idle_measurement=1;
empty_1782902979647_r0,0,1,empty,1,1,32,82,864990469,864990469,1.0007225,24738028355,24738185114,156.759,106.678365502,50.0806344981,0,0,0,0,0,0,0,0,0,0,true,1950,9501,53,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=108919;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=154526;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=82;smid_max_blocks_on_sm=1;
empty_1782902982110_r0,0,1,empty,2,1,32,82,968685810,484342905,1.134297627,24738358714,24738535831,177.117,151.090775649,26.0262243513,0,0,0,0,0,0,0,0,0,0,true,1965,9501,54,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=135676;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=163409;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=82;smid_max_blocks_on_sm=1;
empty_1782902984615_r0,0,1,empty,2,2,32,82,971563501,971563501,1.095406721,24738731776,24738921511,189.735,148.201817841,41.5331821586,0,0,0,0,0,0,0,0,0,0,true,1965,9501,56,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=140755;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=175819;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=164;smid_max_blocks_on_sm=2;
empty_1782902987035_r0,0,1,empty,4,1,32,82,975267745,243816937,1.104640888,24739097835,24739274722,176.887,148.112689481,28.7743105187,0,0,0,0,0,0,0,0,0,0,true,1965,9501,55,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=136284;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=163688;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=82;smid_max_blocks_on_sm=1;
empty_1782902989432_r0,0,1,empty,4,2,32,82,972932635,486466318,1.067558861,24739467401,24739662039,194.638,159.10873794,35.5292620596,0,0,0,0,0,0,0,0,0,0,true,1965,9501,56,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=137437;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=178617;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=164;smid_max_blocks_on_sm=2;
empty_1782902991877_r0,0,1,empty,4,4,32,82,1017079342,1017079342,1.132942636,24739842498,24740068110,225.612,152.733209499,72.878790501,0,0,0,0,0,0,0,0,0,0,true,1965,9501,59,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=139842;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=207368;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=328;smid_max_blocks_on_sm=4;
empty_1782902994297_r0,0,1,empty,8,1,32,82,982645474,122830685,1.094062376,24740267318,24740446741,179.423,147.548741246,31.874258754,0,0,0,0,0,0,0,0,0,0,true,1965,9501,56,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=137398;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=165790;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=82;smid_max_blocks_on_sm=1;
empty_1782902996714_r0,0,1,empty,8,2,32,82,984549240,246137310,1.100850116,24740626739,24740819587,192.848,149.669015212,43.1789847878,0,0,0,0,0,0,0,0,0,0,true,1965,9501,57,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=139021;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=178291;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=164;smid_max_blocks_on_sm=2;
empty_1782902999141_r0,0,1,empty,8,4,32,82,982667841,491333921,1.10067215,24741001871,24741224719,222.848,153.715291359,69.1327086408,0,0,0,0,0,0,0,0,0,0,true,1965,9501,59,regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;target_full_sm=82;target_l2_mib=6;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;gpu_active=1;energy_source=nvml_total_energy;power_mw=140776;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=205976;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=328;smid_max_blocks_on_sm=4;
