phase,repeat,sequence_index,role,mode,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,seconds,command
warmup,0,1,control_before,clocked_empty,rtx3090,16,16,82,1,4,1,10.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708_warmup.csv --verify-smid 1
warmup,0,2,treatment,global_l1_load_only,rtx3090,16,16,82,1,4,1,10.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708_warmup.csv --verify-smid 1
warmup,0,3,control_after,clocked_empty,rtx3090,16,16,82,1,4,1,10.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708_warmup.csv --verify-smid 1
measure,0,1,control_before,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,0,2,treatment,global_l1_load_only,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,0,3,control_after,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,1,4,control_before,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,1,5,treatment,global_l1_load_only,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,1,6,control_after,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,2,7,control_before,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,2,8,treatment,global_l1_load_only,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,2,9,control_after,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,3,10,control_before,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,3,11,treatment,global_l1_load_only,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,3,12,control_after,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,4,13,control_before,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,4,14,treatment,global_l1_load_only,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,4,15,control_after,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,5,16,control_before,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,5,17,treatment,global_l1_load_only,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
measure,5,18,control_after,clocked_empty,rtx3090,16,16,82,1,4,1,30.0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_l1_paired_30s_stability_rerun2_20260708.csv --verify-smid 1
