run_id,gpu_id,n_gpu_active,mode,W_SM_KiB,blocks_per_SM,threads_per_block,active_SM,ITER,sweeps,elapsed_s,E_before_mJ,measurement_start_epoch_ms,measurement_end_epoch_ms,E_after_mJ,delta_E_J,idle_baseline_J,net_E_J,N_MMA,FLOP,input_bits,w_block_bytes,tiles_per_block,reuse_factor,load_repeat,store_repeat,reg_payload_bytes_per_block,reg_payload_regs_per_thread,reg_payload_bytes_per_sm,expected_reg_pressure_ops,expected_reg_operand_ops,expected_shared_bytes,expected_l1_bytes,expected_l2_bytes,expected_dram_bytes,expected_store_bytes,expected_addr_ops,pJ_per_FLOP,pJ_per_input_bit,ncu_tensor_inst,ncu_shared_bytes,ncu_l1_bytes,ncu_l2_bytes,ncu_dram_bytes,ncu_spill_bytes,smid_histogram_ok,clock_sm_mhz,clock_mem_mhz,temp_C,profile_name,architecture_family,chip,compute_capability,sm_count,l2_mib,unified_l1_shared_kib_per_sm,shared_kib_per_sm,tensor_modes,energy_source,energy_integration_method,measurement_scope,mode_family,denominator_level,nvml_total_energy_supported,nvml_power_usage_semantics,nvml_field_power_instant_supported,nvml_field_power_average_supported,power_before_mw,power_after_mw,power_sample_count,power_sample_period_ms,driver_version,nvml_version,notes
shared_scalar_addr_only_1784002224593_r0,0,1,shared_scalar_addr_only,64,8,32,82,100000,0,7.562704793,2600586353,1784002217025,1784002224588,2601544383,958.03,754.92487149,203.10512851,0,0,0,8192,8,1,4,1,0,0,0,0,0,0,0,0,0,2624,262400000,0,0,0,0,0,0,0,0,true,1965,9501,57,rtx3090,ampere_ga10x,ga102,8.6,82,6,128,100,"implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,shared_address_control,expected_addr_ops,true,one_sec_average,false,false,96656,232432,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_unified_l1_shared_kib_per_sm=128;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;global_warmup_passes=1;l2_residency_policy=normal;l2_address_layout=contiguous;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;expected_addr_ops=262400000;measurement_scope=gpu_device_total_energy_counter;mode_family=shared_address_control;denominator_level=expected_addr_ops;gpu_active=1;energy_source=nvml_total_energy;power_mw=96656;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=232432;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_persisting_l2_max_bytes=4325376;runtime_access_policy_max_window_bytes=134213632;runtime_shared_mem_per_block_optin_bytes=101376;l2_residency_policy=normal;l2_address_layout=contiguous;logical_input_bytes=0;physical_input_bytes=0;global_block_stride_bytes=0;global_block_stride_guard_bytes=0;shared_pair_kernel_revision=matched_shared_addr_v1;measurement_interval_clock=steady_clock_anchored_epoch;"
shared_scalar_addr_only_1784002226334_r0,0,1,shared_scalar_addr_only,64,8,32,82,100000,0,0.241350122,2601725790,1784002226089,1784002226330,2601754574,28.784,31.294867309,-2.51086730901,0,0,0,8192,8,1,4,1,0,0,0,0,0,0,0,0,0,2624,262400000,0,0,0,0,0,0,0,0,true,1965,9501,50,rtx3090,ampere_ga10x,ga102,8.6,82,6,128,100,"implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,shared_address_control,expected_addr_ops,true,one_sec_average,false,false,130589,137689,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_unified_l1_shared_kib_per_sm=128;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;global_warmup_passes=1;l2_residency_policy=normal;l2_address_layout=contiguous;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;expected_addr_ops=262400000;measurement_scope=gpu_device_total_energy_counter;mode_family=shared_address_control;denominator_level=expected_addr_ops;gpu_active=1;energy_source=nvml_total_energy;power_mw=130589;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=137689;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_persisting_l2_max_bytes=4325376;runtime_access_policy_max_window_bytes=134213632;runtime_shared_mem_per_block_optin_bytes=101376;l2_residency_policy=normal;l2_address_layout=contiguous;logical_input_bytes=0;physical_input_bytes=0;global_block_stride_bytes=0;global_block_stride_guard_bytes=0;shared_pair_kernel_revision=matched_shared_addr_v1;measurement_interval_clock=steady_clock_anchored_epoch;"
shared_scalar_addr_only_1784002228117_r0,0,1,shared_scalar_addr_only,64,8,32,82,100000,0,0.294524428,2601921119,1784002227814,1784002228109,2601963384,42.265,31.1931763322,11.0718236678,0,0,0,8192,8,1,4,1,0,0,0,0,0,0,0,0,0,2624,262400000,0,0,0,0,0,0,0,0,true,1740,9501,48,rtx3090,ampere_ga10x,ga102,8.6,82,6,128,100,"implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,shared_address_control,expected_addr_ops,true,one_sec_average,false,false,107605,116701,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_unified_l1_shared_kib_per_sm=128;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;global_warmup_passes=1;l2_residency_policy=normal;l2_address_layout=contiguous;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;expected_addr_ops=262400000;measurement_scope=gpu_device_total_energy_counter;mode_family=shared_address_control;denominator_level=expected_addr_ops;gpu_active=1;energy_source=nvml_total_energy;power_mw=107605;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=116701;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_persisting_l2_max_bytes=4325376;runtime_access_policy_max_window_bytes=134213632;runtime_shared_mem_per_block_optin_bytes=101376;l2_residency_policy=normal;l2_address_layout=contiguous;logical_input_bytes=0;physical_input_bytes=0;global_block_stride_bytes=0;global_block_stride_guard_bytes=0;shared_pair_kernel_revision=matched_shared_addr_v1;measurement_interval_clock=steady_clock_anchored_epoch;"
shared_scalar_addr_only_1784002229927_r0,0,1,shared_scalar_addr_only,64,8,32,82,100000,0,0.293418664,2602110738,1784002229627,1784002229920,2602134092,23.354,27.9214847808,-4.5674847808,0,0,0,8192,8,1,4,1,0,0,0,0,0,0,0,0,0,2624,262400000,0,0,0,0,0,0,0,0,true,1740,9501,48,rtx3090,ampere_ga10x,ga102,8.6,82,6,128,100,"implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,shared_address_control,expected_addr_ops,true,one_sec_average,false,false,106640,108959,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_unified_l1_shared_kib_per_sm=128;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;global_warmup_passes=1;l2_residency_policy=normal;l2_address_layout=contiguous;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;expected_addr_ops=262400000;measurement_scope=gpu_device_total_energy_counter;mode_family=shared_address_control;denominator_level=expected_addr_ops;gpu_active=1;energy_source=nvml_total_energy;power_mw=106640;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=108959;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_persisting_l2_max_bytes=4325376;runtime_access_policy_max_window_bytes=134213632;runtime_shared_mem_per_block_optin_bytes=101376;l2_residency_policy=normal;l2_address_layout=contiguous;logical_input_bytes=0;physical_input_bytes=0;global_block_stride_bytes=0;global_block_stride_guard_bytes=0;shared_pair_kernel_revision=matched_shared_addr_v1;measurement_interval_clock=steady_clock_anchored_epoch;"
shared_scalar_addr_only_1784002231644_r0,0,1,shared_scalar_addr_only,64,8,32,82,100000,0,0.238762352,2602293259,1784002231401,1784002231640,2602316623,23.364,22.6066106199,0.757389380078,0,0,0,8192,8,1,4,1,0,0,0,0,0,0,0,0,0,2624,262400000,0,0,0,0,0,0,0,0,true,1740,9501,48,rtx3090,ampere_ga10x,ga102,8.6,82,6,128,100,"implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,shared_address_control,expected_addr_ops,true,one_sec_average,false,false,107386,109811,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_unified_l1_shared_kib_per_sm=128;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;global_warmup_passes=1;l2_residency_policy=normal;l2_address_layout=contiguous;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;expected_addr_ops=262400000;measurement_scope=gpu_device_total_energy_counter;mode_family=shared_address_control;denominator_level=expected_addr_ops;gpu_active=1;energy_source=nvml_total_energy;power_mw=107386;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=109811;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_persisting_l2_max_bytes=4325376;runtime_access_policy_max_window_bytes=134213632;runtime_shared_mem_per_block_optin_bytes=101376;l2_residency_policy=normal;l2_address_layout=contiguous;logical_input_bytes=0;physical_input_bytes=0;global_block_stride_bytes=0;global_block_stride_guard_bytes=0;shared_pair_kernel_revision=matched_shared_addr_v1;measurement_interval_clock=steady_clock_anchored_epoch;"
shared_scalar_addr_only_1784002233479_r0,0,1,shared_scalar_addr_only,64,8,32,82,100000,0,0.284783101,2602481800,1784002233190,1784002233475,2602505533,23.733,27.0565387406,-3.32353874064,0,0,0,8192,8,1,4,1,0,0,0,0,0,0,0,0,0,2624,262400000,0,0,0,0,0,0,0,0,true,1740,9501,48,rtx3090,ampere_ga10x,ga102,8.6,82,6,128,100,"implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,shared_address_control,expected_addr_ops,true,one_sec_average,false,false,106612,109322,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_unified_l1_shared_kib_per_sm=128;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;global_warmup_passes=1;l2_residency_policy=normal;l2_address_layout=contiguous;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;expected_addr_ops=262400000;measurement_scope=gpu_device_total_energy_counter;mode_family=shared_address_control;denominator_level=expected_addr_ops;gpu_active=1;energy_source=nvml_total_energy;power_mw=106612;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=109322;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_persisting_l2_max_bytes=4325376;runtime_access_policy_max_window_bytes=134213632;runtime_shared_mem_per_block_optin_bytes=101376;l2_residency_policy=normal;l2_address_layout=contiguous;logical_input_bytes=0;physical_input_bytes=0;global_block_stride_bytes=0;global_block_stride_guard_bytes=0;shared_pair_kernel_revision=matched_shared_addr_v1;measurement_interval_clock=steady_clock_anchored_epoch;"
shared_scalar_addr_only_1784002235399_r0,0,1,shared_scalar_addr_only,64,8,32,82,100000,0,0.300263668,2602672766,1784002235095,1784002235395,2602707477,34.711,27.8113236725,6.89967632753,0,0,0,8192,8,1,4,1,0,0,0,0,0,0,0,0,0,2624,262400000,0,0,0,0,0,0,0,0,true,1740,9501,48,rtx3090,ampere_ga10x,ga102,8.6,82,6,128,100,"implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,shared_address_control,expected_addr_ops,true,one_sec_average,false,false,106837,112560,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_unified_l1_shared_kib_per_sm=128;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;global_warmup_passes=1;l2_residency_policy=normal;l2_address_layout=contiguous;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;expected_addr_ops=262400000;measurement_scope=gpu_device_total_energy_counter;mode_family=shared_address_control;denominator_level=expected_addr_ops;gpu_active=1;energy_source=nvml_total_energy;power_mw=106837;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=112560;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_persisting_l2_max_bytes=4325376;runtime_access_policy_max_window_bytes=134213632;runtime_shared_mem_per_block_optin_bytes=101376;l2_residency_policy=normal;l2_address_layout=contiguous;logical_input_bytes=0;physical_input_bytes=0;global_block_stride_bytes=0;global_block_stride_guard_bytes=0;shared_pair_kernel_revision=matched_shared_addr_v1;measurement_interval_clock=steady_clock_anchored_epoch;"
shared_scalar_addr_only_1784002237258_r0,0,1,shared_scalar_addr_only,64,8,32,82,100000,0,0.296327799,2602861217,1784002236958,1784002237254,2602895295,34.078,27.9375058312,6.14049416878,0,0,0,8192,8,1,4,1,0,0,0,0,0,0,0,0,0,2624,262400000,0,0,0,0,0,0,0,0,true,1740,9501,48,rtx3090,ampere_ga10x,ga102,8.6,82,6,128,100,"implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,shared_address_control,expected_addr_ops,true,one_sec_average,false,false,106914,110183,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_unified_l1_shared_kib_per_sm=128;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;global_warmup_passes=1;l2_residency_policy=normal;l2_address_layout=contiguous;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;expected_addr_ops=262400000;measurement_scope=gpu_device_total_energy_counter;mode_family=shared_address_control;denominator_level=expected_addr_ops;gpu_active=1;energy_source=nvml_total_energy;power_mw=106914;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=110183;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_persisting_l2_max_bytes=4325376;runtime_access_policy_max_window_bytes=134213632;runtime_shared_mem_per_block_optin_bytes=101376;l2_residency_policy=normal;l2_address_layout=contiguous;logical_input_bytes=0;physical_input_bytes=0;global_block_stride_bytes=0;global_block_stride_guard_bytes=0;shared_pair_kernel_revision=matched_shared_addr_v1;measurement_interval_clock=steady_clock_anchored_epoch;"
shared_scalar_load_only_1784002245235_r0,0,1,shared_scalar_load_only,64,8,32,82,100000,50000,7.480484089,2603144551,1784002240028,1784002247508,2604109436,964.885,768.232902335,196.652097665,0,0,0,8192,8,1,4,1,0,0,0,0,0,268697600000,0,0,0,2624,0,0,0,0,0,0,0,0,0,true,1965,9501,58,rtx3090,ampere_ga10x,ga102,8.6,82,6,128,100,"implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,shared,expected_shared_bytes_static,true,one_sec_average,false,false,102612,232161,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_unified_l1_shared_kib_per_sm=128;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;global_warmup_passes=1;l2_residency_policy=normal;l2_address_layout=contiguous;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=268697600000;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;expected_addr_ops=0;measurement_scope=gpu_device_total_energy_counter;mode_family=shared;denominator_level=expected_shared_bytes_static;gpu_active=1;shared_init_included=1;energy_source=nvml_total_energy;power_mw=102612;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=232161;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_persisting_l2_max_bytes=4325376;runtime_access_policy_max_window_bytes=134213632;runtime_shared_mem_per_block_optin_bytes=101376;l2_residency_policy=normal;l2_address_layout=contiguous;logical_input_bytes=0;physical_input_bytes=0;global_block_stride_bytes=0;global_block_stride_guard_bytes=0;shared_pair_kernel_revision=matched_shared_addr_v1;measurement_interval_clock=steady_clock_anchored_epoch;"
shared_scalar_load_only_1784002247019_r0,0,1,shared_scalar_load_only,64,8,32,82,100000,50000,0.28741062,2604295377,1784002246721,1784002247008,2604324916,29.539,37.8711175932,-8.33211759325,0,0,0,8192,8,1,4,1,0,0,0,0,0,268697600000,0,0,0,2624,0,0,0,0,0,0,0,0,0,true,1965,9501,52,rtx3090,ampere_ga10x,ga102,8.6,82,6,128,100,"implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,shared,expected_shared_bytes_static,true,one_sec_average,false,false,132908,136192,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_unified_l1_shared_kib_per_sm=128;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=implemented:fp16_wmma;hardware_optional:tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;global_warmup_passes=1;l2_residency_policy=normal;l2_address_layout=contiguous;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=268697600000;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;expected_addr_ops=0;measurement_scope=gpu_device_total_energy_counter;mode_family=shared;denominator_level=expected_shared_bytes_static;gpu_active=1;shared_init_included=1;energy_source=nvml_total_energy;power_mw=132908;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=136192;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_persisting_l2_max_bytes=4325376;runtime_access_policy_max_window_bytes=134213632;runtime_shared_mem_per_block_optin_bytes=101376;l2_residency_policy=normal;l2_address_layout=contiguous;logical_input_bytes=0;physical_input_bytes=0;global_block_stride_bytes=0;global_block_stride_guard_bytes=0;shared_pair_kernel_revision=matched_shared_addr_v1;measurement_interval_clock=steady_clock_anchored_epoch;"
