profile,policy,coordinate_id,softmax_cols,grid_blocks,runtime_sm_count,requested_sm_coverage,actual_grid_sm_coverage,occupancy_max_blocks_per_sm,static_single_wave_capacity_blocks,representative_coordinate,n,mean_net_pj,median_net_pj,sample_std_net_pj,min_session_net_pj,max_session_net_pj,t95_low_net_pj,t95_high_net_pj
rtx3090,fp16_scalar_all,s1024_q25,1024,21,82,0.25,0.256097560976,6,492,False,3,2559.076648463333,2518.1736647,110.84885007733847,2474.49158955,2684.56469114,2283.7128396717026,2834.440457254964
rtx3090,fp16_scalar_all,s1024_q50,1024,41,82,0.5,0.5,6,492,True,3,2047.5326998033333,2055.76316951,190.1588365742422,1853.39226227,2233.44266763,1575.1519626289253,2519.9134369777416
rtx3090,fp16_scalar_all,s2048_q50,2048,41,82,0.5,0.5,6,492,False,3,2990.2430315099996,3020.94578628,99.9524541409559,2878.54073962,3071.24256863,2741.947370787118,3238.538692232881
rtx3090,fp16_scalar_all,s4096_q25,4096,21,82,0.25,0.256097560976,6,492,False,3,5003.038693070001,5056.08065522,723.2457289500466,4254.73221953,5698.30320446,3206.396702855265,6799.680683284736
rtx3090,fp16_scalar_all,s4096_q50,4096,41,82,0.5,0.5,6,492,False,3,4976.761989783333,4989.37915454,377.64273593254586,4592.96878339,5347.93803142,4038.645427849444,5914.878551717222
rtx3090,fp16_scalar_all,s512_q25,512,21,82,0.25,0.256097560976,6,492,False,3,2435.45358048,2209.90202159,786.1622560383213,1786.72035569,3309.73836416,482.5182726270418,4388.388888332958
rtx3090,fp16_scalar_all,s512_q50,512,41,82,0.5,0.5,6,492,False,3,2455.4304209966667,2455.60346494,11.924288450085568,2443.42055231,2467.26724574,2425.8088463709064,2485.051995622427
rtx3090,fp16x2_all,s1024_q25,1024,21,82,0.25,0.256097560976,6,492,False,3,1941.2720753066667,1961.53711386,66.61292256639264,1866.8801006,1995.39901146,1775.796402263363,2106.7477483499706
rtx3090,fp16x2_all,s1024_q50,1024,41,82,0.5,0.5,6,492,True,3,1623.9925886166666,1738.94464934,259.04492229027835,1327.36432731,1805.6687892,980.4893280937517,2267.4958491395814
rtx3090,fp16x2_all,s2048_q50,2048,41,82,0.5,0.5,6,492,False,3,2835.286564356667,2829.6503543,62.60974647632281,2775.68547998,2900.52385879,2679.755332005857,2990.817796707477
rtx3090,fp16x2_all,s4096_q25,4096,21,82,0.25,0.256097560976,6,492,False,3,4848.429702593334,5320.47417723,831.3510267246511,3888.51172685,5336.3032037,2783.2392653266047,6913.620139860062
rtx3090,fp16x2_all,s4096_q50,4096,41,82,0.5,0.5,6,492,False,3,4794.307144316666,4797.91699826,371.03220132756184,4421.48318665,5163.52124804,3872.6120606904665,5716.002227942867
rtx3090,fp16x2_all,s512_q25,512,21,82,0.25,0.256097560976,6,492,False,3,2090.5701882333333,2131.18939131,127.11579360568754,1948.10910189,2192.4120715,1774.7970515664979,2406.3433249001687
rtx3090,fp16x2_all,s512_q50,512,41,82,0.5,0.5,6,492,False,3,1616.39670478,1626.7801485,25.42828671235119,1587.41978085,1634.99018499,1553.229338810273,1679.5640707497269
rtx3090,fp32_io_fp32_all,s1024_q25,1024,21,82,0.25,0.256097560976,6,492,False,3,2996.8529662233336,2989.92629394,68.33017311221211,2932.24994896,3068.38265577,2827.1114063384757,3166.5945261081915
rtx3090,fp32_io_fp32_all,s1024_q50,1024,41,82,0.5,0.5,6,492,True,3,2523.8654138,2596.74700455,126.25982725636013,2378.07312426,2596.77611259,2210.2186154215983,2837.512212178402
rtx3090,fp32_io_fp32_all,s2048_q50,2048,41,82,0.5,0.5,6,492,False,3,5055.169406756667,5031.57201137,151.01298174242842,4917.3442666,5216.5919423,4680.032363832328,5430.306449681006
rtx3090,fp32_io_fp32_all,s4096_q25,4096,21,82,0.25,0.256097560976,4,328,False,3,6570.36971285,6456.35630747,256.71877174178394,6390.40545675,6864.34737433,5932.6449306280265,7208.094495071973
rtx3090,fp32_io_fp32_all,s4096_q50,4096,41,82,0.5,0.5,4,328,False,3,5978.551123733334,5979.34494163,201.36896695140337,5776.78642133,6179.52200824,5478.322878934335,6478.779368532333
rtx3090,fp32_io_fp32_all,s512_q25,512,21,82,0.25,0.256097560976,6,492,False,3,2588.5135093000004,2611.22365807,75.58016365826492,2504.18208261,2650.13478722,2400.7619744891817,2776.265044110819
rtx3090,fp32_io_fp32_all,s512_q50,512,41,82,0.5,0.5,6,492,False,3,2067.7735264099997,2089.3303878,69.34826552093666,1990.20693639,2123.78325504,1895.502884778487,2240.0441680415124
