run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,0,174474.414977,174474.416206,174474.415592,0.0012285989942,0.000638533500023,9828870370
whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,1,174474.916573,174474.917974,174474.917273,0.00140155700501,0.502320310508,9828950394
whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,2,174475.418329,174475.419725,174475.419027,0.00139615801163,1.00407379499,9829036492
whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,3,174475.920096,174475.921494,174475.920795,0.00139756599674,1.50584168499,9829123061
whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,4,174476.421893,174476.423239,174476.422566,0.00134601898026,2.0076128385,9829209955
whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,5,174476.923626,174476.926417,174476.925022,0.00279071400291,2.51006842699,9829297308
whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,6,174477.426811,174477.429794,174477.428302,0.00298269599443,3.013349393,9829384833
whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,7,174477.930181,174477.93324,174477.931711,0.00305904098786,3.51675761849,9829472275
whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,8,174478.43364,174478.436767,174478.435204,0.00312671798747,4.02025065999,9829559679
whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,9,174478.937163,174478.940319,174478.938741,0.00315623599454,4.52378795602,9829646974
whole_precision_1785237778465_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,10,174479.440724,174479.444041,174479.442383,0.00331706201541,5.027429548,9829734036
