run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,0,174575.26019,174575.262712,174575.261451,0.00252258399269,0.00153161899652,9847750960
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,1,174575.76286,174575.765728,174575.764294,0.00286824800423,0.504375068966,9847832130
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,2,174576.266294,174576.26923,174576.267762,0.00293621901073,1.00784248547,9847916110
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,3,174576.769366,174576.772741,174576.771054,0.00337454699911,1.51113448848,9847999973
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,4,174577.273165,174577.276435,174577.2748,0.00327024800936,2.01488103799,9848083785
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,5,174577.776611,174577.780069,174577.77834,0.00345867397846,2.518420712,9848167361
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,6,174578.280261,174578.283746,174578.282003,0.00348529798794,3.02208425201,9848251024
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,7,174578.783996,174578.787469,174578.785733,0.0034733049979,3.52581333151,9848334908
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,8,174579.289505,174579.291359,174579.290432,0.00185344798956,4.030512659,9848418971
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,9,174579.791612,174579.795136,174579.793374,0.00352445399039,4.5334549,9848503181
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,10,174580.295378,174580.298877,174580.297128,0.00349823801662,5.03720837398,9848587245
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,11,174580.799145,174580.802584,174580.800865,0.00343838398112,5.54094539699,9848671111
whole_precision_1785237879312_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,12,174581.306608,174581.308038,174581.307323,0.00143012101762,6.04740390548,9848754825
