run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,0,174827.545761,174827.546892,174827.546327,0.00113037799019,0.000646152999252,9902257460
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,1,174828.048166,174828.049541,174828.048853,0.00137507799082,0.503172773984,9902341664
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,2,174828.550995,174828.552338,174828.551667,0.00134305798565,1.00598624401,9902426377
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,3,174829.053817,174829.055167,174829.054492,0.00134997098939,1.50881141049,9902511154
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,4,174829.556903,174829.558288,174829.557596,0.00138451400562,2.01191520697,9902595956
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,5,174830.058538,174830.059989,174830.059263,0.00145091000013,2.513582885,9902680658
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,6,174830.560826,174830.562266,174830.561546,0.00144004100002,3.01586563449,9902765396
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,7,174831.063096,174831.064435,174831.063766,0.00133957900107,3.5180851155,9902850078
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,8,174831.565304,174831.56668,174831.565992,0.00137612601975,4.02031133999,9902934557
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,9,174832.067453,174832.068842,174832.068148,0.00138945400249,4.52246719398,9903019387
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,10,174832.569755,174832.571057,174832.570406,0.00130153101054,5.02472561551,9903104684
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,11,174833.071959,174833.073373,174833.072666,0.00141351399361,5.52698567999,9903190297
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,12,174833.574346,174833.575734,174833.57504,0.0013877239835,6.02935932501,9903276266
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,13,174834.076672,174834.078109,174834.077391,0.00143663102062,6.53171024649,9903362360
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,14,174834.579069,174834.580465,174834.579767,0.00139672699152,7.03408650949,9903448361
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,15,174835.081454,174835.082928,174835.082191,0.00147402600851,7.53651014299,9903534422
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,16,174835.583895,174835.585272,174835.584584,0.0013769660145,8.03890311299,9903620500
whole_precision_1785238131582_fp16x2_all_b0_p0,fp16x2_all,0,0,17,174836.086211,174836.087605,174836.086908,0.00139375397703,8.541227485,9903706954
