run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,0,173869.020795,173869.022184,173869.02149,0.00138887998764,0.000767629011534,9722177570
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,1,173869.523632,173869.525092,173869.524362,0.00145995200728,0.503639658971,9722267698
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,2,173870.026609,173870.028117,173870.027363,0.00150858401321,1.006641099,9722363813
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,3,173870.529698,173870.531178,173870.530438,0.00148027398973,1.50971629599,9722459649
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,4,173871.031584,173871.033031,173871.032308,0.00144718101365,2.01158563048,9722555284
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,5,173871.534615,173871.536115,173871.535365,0.0015000780113,2.51464259799,9722650797
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,6,173872.037738,173872.042794,173872.040266,0.00505635800073,3.01954404201,9722745965
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,7,173872.544085,173872.545491,173872.544788,0.00140612598625,3.52406560001,9722843911
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,8,173873.045806,173873.047194,173873.0465,0.00138807101757,4.02577777248,9722941497
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,9,173873.548347,173873.549762,173873.549054,0.00141505998909,4.52833227802,9723038904
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,10,173874.052454,173874.053854,173874.053154,0.00140054401709,5.032432104,9723136187
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,11,173874.557041,173874.558471,173874.557756,0.00142951201997,5.53703409701,9723233249
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,12,173875.061703,173875.063091,173875.062397,0.00138824098394,6.0416752845,9723330006
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,13,173875.566307,173875.567686,173875.566997,0.00137817900395,6.54627454848,9723426529
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,14,173876.070488,173876.07185,173876.071169,0.00136132098851,7.05044708349,9723522583
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,15,173876.571965,173876.573339,173876.572652,0.00137459300458,7.55192985749,9723618249
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,16,173877.073429,173877.075705,173877.074567,0.00227570199058,8.05384505301,9723734761
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,17,173877.575796,173877.577182,173877.576489,0.00138638500357,8.55576693849,9723832403
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,18,173878.077268,173878.078555,173878.077911,0.00128695502644,9.05718908249,9723927708
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,19,173878.578646,173878.580149,173878.579398,0.00150262701209,9.55867562548,9724024676
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,20,173879.080234,173879.081642,173879.080938,0.00140775000909,10.060216132,9724119652
whole_precision_1785237173051_fp32_io_fp32_all_b0_p0,fp32_io_fp32_all,0,0,21,173879.581667,173879.583034,173879.582351,0.00136693200329,10.561628733,9724216526
