run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,0,174121.345655,174121.346833,174121.346244,0.00117843798944,0.000725865975255,9774036690
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,1,174121.849662,174121.851195,174121.850428,0.0015328740119,0.504910179996,9774149825
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,2,174122.354185,174122.355584,174122.354884,0.00139923999086,1.00936647999,9774273954
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,3,174122.858708,174122.860156,174122.859432,0.00144830401405,1.51391381401,9774397875
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,4,174123.362205,174123.363627,174123.362916,0.00142197799869,2.01739845998,9774521283
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,5,174123.86406,174123.86542,174123.86474,0.00136037101038,2.51922222349,9774644932
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,6,174124.366975,174124.368288,174124.367631,0.001312812994,3.02211335747,9774769212
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,7,174124.871816,174124.873282,174124.872549,0.00146636602585,3.52703126401,9774893687
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,8,174125.375409,174125.376852,174125.376131,0.00144284698763,4.03061262847,9775016741
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,9,174125.880557,174125.881894,174125.881226,0.00133648997871,4.53570770999,9775165047
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,10,174126.385706,174126.390843,174126.388275,0.00513724397752,5.04275691501,9775291981
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,11,174126.894687,174126.89611,174126.895399,0.00142330100061,5.54988075848,9775417891
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,12,174127.398274,174127.399689,174127.398982,0.00141469499795,6.0534636465,9775543237
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,13,174127.903589,174127.904985,174127.904287,0.00139635702362,6.55876898349,9775668697
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,14,174128.406475,174128.4079,174128.407188,0.00142519900692,7.06166986251,9775793991
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,15,174128.908622,174128.910013,174128.909317,0.00139043299714,7.5637993975,9775919793
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,16,174129.411914,174129.41333,174129.412622,0.00141622600495,8.06710441297,9776046226
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,17,174129.917426,174129.91881,174129.918118,0.00138427797356,8.57260013701,9776172674
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,18,174130.42006,174130.421444,174130.420752,0.00138404397876,9.07523427901,9776298461
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,19,174130.925567,174130.926982,174130.926275,0.00141544800135,9.58075668497,9776424429
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,20,174131.42852,174131.429907,174131.429213,0.00138708401937,10.083695257,9776549754
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,21,174131.932967,174131.934389,174131.933678,0.00142174598295,10.588160269,9776675604
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,22,174132.43664,174132.438041,174132.437341,0.00140031400952,11.091822669,9776801335
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,23,174132.942043,174132.943453,174132.942748,0.0014096859959,11.597230317,9776927345
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,24,174133.444905,174133.446249,174133.445577,0.00134308499401,12.1000590815,9777053061
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,25,174133.947288,174133.948629,174133.947959,0.00134127098136,12.6024408805,9777178973
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,26,174134.448714,174134.450024,174134.449369,0.00131007502205,13.1038511795,9777304973
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,27,174134.950149,174134.95142,174134.950785,0.00127106299624,13.6052665655,9777428431
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,28,174135.451509,174135.453038,174135.452273,0.00152933798381,14.10675539,9777529686
whole_precision_1785237425405_fp16x2_all_b0_p0,fp16x2_all,0,0,29,174135.453045,174135.454572,174135.453809,0.00152747798711,14.108290654,9777529686
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,0,174136.470828,174136.473237,174136.472033,0.00240860600024,0.001248932007,9777664002
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,1,174136.973282,174136.974701,174136.973992,0.00141919200541,0.503208136011,9777789597
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,2,174137.474793,174137.476165,174137.475479,0.00137198998709,1.00469532498,9777959272
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,3,174137.976231,174137.977626,174137.976928,0.00139437700273,1.50614484248,9778103777
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,4,174138.47769,174138.482695,174138.480193,0.00500495100277,2.00940912252,9778245619
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,5,174138.982816,174138.984212,174138.983514,0.00139618501998,2.5127301875,9778390254
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,6,174139.484304,174139.48564,174139.484972,0.00133576602093,3.01418825699,9778532600
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,7,174139.985733,174139.987878,174139.986805,0.00214452200453,3.516021794,9778672808
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,8,174140.487959,174140.489392,174140.488675,0.00143280799966,4.01789168699,9778817733
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,9,174140.989507,174140.990953,174140.99023,0.00144651898881,4.5194463575,9778961545
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,10,174141.49107,174141.492484,174141.491777,0.00141418600106,5.02099346899,9779104123
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,11,174141.9926,174141.995716,174141.994158,0.00311642501038,5.5233742985,9779245510
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,12,174142.495838,174142.497217,174142.496528,0.00137841000105,6.02574399998,9779390899
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,13,174142.99734,174142.998762,174142.998051,0.00142247701297,6.52726729351,9779535391
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,14,174143.498855,174143.500173,174143.499514,0.00131787700229,7.02873080748,9779678671
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,15,174144.000305,174144.001834,174144.00107,0.001529036992,7.5302863025,9779821604
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,16,174144.501928,174144.503366,174144.502647,0.00143817599746,8.031863685,9779963983
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,17,174145.003462,174145.00482,174145.004141,0.00135850501829,8.53335752449,9780106228
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,18,174145.5053,174145.509454,174145.507377,0.004153907008,9.0365935165,9780247841
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,19,174146.00998,174146.011381,174146.01068,0.00140161500894,9.53989679151,9780394211
whole_precision_1785237440497_fp32_io_fp32_all_b0_p1,fp32_io_fp32_all,0,1,20,174146.512334,174146.513749,174146.513042,0.00141456801794,10.042257926,9780539793
