run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,0,174071.000635,174071.001844,174071.00124,0.00120883301133,0.000669952481985,9764232130
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,1,174071.501932,174071.50531,174071.503621,0.00337881199084,0.503051332984,9764336907
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,2,174072.005381,174072.006759,174072.00607,0.0013782280148,1.00550000998,9764429438
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,3,174072.506786,174072.509214,174072.508,0.00242742200498,1.50743050096,9764520027
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,4,174073.009337,174073.010731,174073.010034,0.00139405901427,2.0094646955,9764612472
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,5,174073.510798,174073.512144,174073.511471,0.00134689602419,2.51090124997,9764703276
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,6,174074.012256,174074.014834,174074.013545,0.00257718202192,3.01297521399,9764792673
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,7,174074.514924,174074.516328,174074.515626,0.00140439299867,3.51505651249,9764884358
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,8,174075.016419,174075.021688,174075.019054,0.00526922897552,4.0184840665,9764974858
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,9,174075.521805,174075.523169,174075.522487,0.00136371399276,4.52191731599,9765067407
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,10,174076.023304,174076.024679,174076.023992,0.00137513998197,5.02342216799,9765159048
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,11,174076.524801,174076.526169,174076.525485,0.00136772598489,5.52491546501,9765249748
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,12,174077.026309,174077.029715,174077.028012,0.0034057770099,6.0274425275,9765339623
whole_precision_1785237375018_fp16_scalar_all_b0_p0,fp16_scalar_all,0,0,13,174077.529839,174077.53123,174077.530534,0.00139047199627,6.529964758,9765432029
