stage_group,summary_kind,policy,baseline_policy,session_count,mean_net_pJ_per_logical_output_element,sample_std_net_pJ_per_logical_output_element,median_net_pJ_per_logical_output_element,min_net_pJ_per_logical_output_element,max_net_pJ_per_logical_output_element,session_ids
exp,absolute,fp16_io_fp32_all,,3,2453.8465008066664,509.6713904333327,2341.18655733,2009.93080382,3010.42214127,20260727_stageiso_v1_exp_session01;20260727_stageiso_v1_exp_session02;20260727_stageiso_v1_exp_session03
exp,absolute,exp_fp16_scalar,,3,2091.72357319,242.54655150112322,2161.81933357,1821.8485908,2291.5027952,20260727_stageiso_v1_exp_session01;20260727_stageiso_v1_exp_session02;20260727_stageiso_v1_exp_session03
exp,absolute,exp_fp16x2,,3,1941.85682722,115.84522147355287,1953.1660026,1820.77177452,2051.63270454,20260727_stageiso_v1_exp_session01;20260727_stageiso_v1_exp_session02;20260727_stageiso_v1_exp_session03
reduction,absolute,fp16_io_fp32_all,,3,2086.1625700166665,124.55374053304577,2091.75727039,1958.90575343,2207.82468623,20260727_stageiso_v1_reduction_session01;20260727_stageiso_v1_reduction_session02;20260727_stageiso_v1_reduction_session03
reduction,absolute,reduction_fp16_scalar,,3,3345.3232399733333,782.8112395839853,2990.19932405,2803.01806431,4242.75233156,20260727_stageiso_v1_reduction_session01;20260727_stageiso_v1_reduction_session02;20260727_stageiso_v1_reduction_session03
reduction,absolute,reduction_fp16x2,,3,2084.3817307,447.7969605296019,2118.02890136,1620.71027552,2514.40601522,20260727_stageiso_v1_reduction_session01;20260727_stageiso_v1_reduction_session02;20260727_stageiso_v1_reduction_session03
normalization,absolute,fp16_io_fp32_all,,3,2158.05646183,11.963019168772593,2156.49498836,2146.95085438,2170.72354275,20260727_stageiso_v1_normalization_session01;20260727_stageiso_v1_normalization_session02;20260727_stageiso_v1_normalization_session03
normalization,absolute,normalization_fp16_scalar,,3,2515.0754176433334,422.4364572295127,2336.10192221,2211.58770519,2997.53662553,20260727_stageiso_v1_normalization_session01;20260727_stageiso_v1_normalization_session02;20260727_stageiso_v1_normalization_session03
normalization,absolute,normalization_fp16x2,,3,2415.7553870366664,405.2586036040591,2411.02600551,2012.88217174,2823.35798386,20260727_stageiso_v1_normalization_session01;20260727_stageiso_v1_normalization_session02;20260727_stageiso_v1_normalization_session03
exp,paired_delta_vs_baseline,exp_fp16_scalar,fp16_io_fp32_all,3,-362.1229276166667,309.02548588311447,-188.08221301999993,-718.9193460699998,-179.36722376000034,20260727_stageiso_v1_exp_session01;20260727_stageiso_v1_exp_session02;20260727_stageiso_v1_exp_session03
exp,paired_delta_vs_baseline,exp_fp16x2,fp16_io_fp32_all,3,-511.9896735866667,549.5274605823142,-520.4147828100001,-1057.25613867,41.70190071999991,20260727_stageiso_v1_exp_session01;20260727_stageiso_v1_exp_session02;20260727_stageiso_v1_exp_session03
reduction,paired_delta_vs_baseline,reduction_fp16_scalar,fp16_io_fp32_all,3,1259.1606699566667,900.2643209730201,898.44205366,595.19337808,2283.84657813,20260727_stageiso_v1_reduction_session01;20260727_stageiso_v1_reduction_session02;20260727_stageiso_v1_reduction_session03
reduction,paired_delta_vs_baseline,reduction_fp16x2,fp16_io_fp32_all,3,-1.7808393166667429,571.8236426294027,26.271630969999933,-587.1144107100001,555.50026179,20260727_stageiso_v1_reduction_session01;20260727_stageiso_v1_reduction_session02;20260727_stageiso_v1_reduction_session03
normalization,paired_delta_vs_baseline,normalization_fp16_scalar,fp16_io_fp32_all,3,357.0189558133334,422.19152164563593,165.3783794599999,64.6368508100004,841.0416371699998,20260727_stageiso_v1_normalization_session01;20260727_stageiso_v1_normalization_session02;20260727_stageiso_v1_normalization_session03
normalization,paired_delta_vs_baseline,normalization_fp16x2,fp16_io_fp32_all,3,257.6989252066666,412.3891550804094,264.07515113,-157.84137100999988,666.8629954999997,20260727_stageiso_v1_normalization_session01;20260727_stageiso_v1_normalization_session02;20260727_stageiso_v1_normalization_session03
