run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,0,52951.4959434,52951.4981991,52951.4970712,0.00225572499767,0.00117206550203,7659825401
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,1,52952.0252673,52952.0268069,52952.0260371,0.00153961499745,0.5301379175,7659902701
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,2,52952.5342136,52952.5356955,52952.5349546,0.00148190200707,1.039055409,7659983501
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,3,52953.0632121,52953.0647927,52953.0640024,0.00158057599765,1.568103208,7660063735
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,4,52953.592567,52953.5939771,52953.5932721,0.00141003500175,2.0973728915,7660143748
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,5,52954.1180292,52954.119548,52954.1187886,0.00151883900253,2.6228894315,7660223824
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,6,52954.6473278,52954.6487298,52954.6480288,0.00140201400063,3.152129618,7660304430
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,7,52955.1706705,52955.1721033,52955.1713869,0.00143282899808,3.6754877325,7660384982
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,8,52955.699954,52955.7014106,52955.7006823,0.00145657400572,4.204783113,7660466256
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,9,52956.2034065,52956.2048603,52956.2041334,0.0014538309988,4.7082342175,7660530625
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,10,52956.7294428,52956.7309758,52956.7302093,0.00153298000077,5.234310138,7660611777
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,11,52957.2584976,52957.2599517,52957.2592247,0.00145404099749,5.7633254855,7660692742
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,12,52957.7877988,52957.7893268,52957.7885628,0.0015280209991,6.2926636075,7660773442
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,13,52958.3171056,52958.3185695,52958.3178375,0.00146385600237,6.82193835601,7660854129
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,14,52958.8464094,52958.8478445,52958.8471269,0.00143515099626,7.3512277745,7660934769
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,15,52959.3754124,52959.3770815,52959.3762469,0.00166911900305,7.8803477585,7661015211
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,16,52959.8772264,52959.8786599,52959.8779432,0.0014334630032,8.3820439975,7661095591
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,17,52960.3901817,52960.3916853,52960.3909335,0.00150360800035,8.895034291,7661176612
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,18,52960.9197019,52960.9212135,52960.9204577,0.00151163199916,9.424558531,7661256436
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,19,52961.4490178,52961.4504406,52961.4497292,0.00142274399695,9.95383004,7661335776
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,20,52961.9783895,52961.9835841,52961.9809868,0.00519459299539,10.4850876585,7661414620
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,21,52962.5115276,52962.5129964,52962.512262,0.00146877200314,11.016362801,7661496067
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,22,52963.0410265,52963.0425169,52963.0417717,0.00149041200348,11.545872525,7661577522
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,23,52963.5704007,52963.5718807,52963.5711407,0.00147996200394,12.075241527,7661658919
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,24,52964.099878,52964.1013334,52964.1006057,0.00145547000284,12.604706543,7661740292
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,25,52964.6071291,52964.608615,52964.607872,0.00148587399599,13.111972873,7661821342
whole_precision_1785119499319_exp_fp16_scalar_b0_p0,exp_fp16_scalar,0,0,26,52965.1105671,52965.1120435,52965.1113053,0.0014763720028,13.615406125,7661901972
