run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,0,53288.3625208,53288.3638198,53288.3631703,0.00129901500623,0.000700079493981,7711284552
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,1,53288.8911519,53288.8926155,53288.8918837,0.00146360900544,0.529413472497,7711360310
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,2,53289.4206465,53289.4220772,53289.4213619,0.00143066899909,1.0588916105,7711438096
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,3,53289.950012,53289.9514858,53289.9507489,0.00147386100434,1.5882786585,7711515781
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,4,53290.4536569,53290.4551591,53290.454408,0.00150216600014,2.091937764,7711593214
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,5,53290.9830591,53290.9845219,53290.9837905,0.00146277099702,2.62132025749,7711671107
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,6,53291.490707,53291.4921632,53291.4914351,0.00145622299897,3.12896486049,7711749026
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,7,53292.0017535,53292.0045885,53292.003171,0.00283503000537,3.64070073399,7711827021
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,8,53292.5103355,53292.51201,53292.5111728,0.00167453000176,4.148702527,7711907595
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,9,53293.033428,53293.0347545,53293.0340912,0.00132642199605,4.671620998,7711987868
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,10,53293.563002,53293.5679355,53293.5654687,0.00493350000033,5.20299845799,7712068537
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,11,53294.0961281,53294.0976157,53294.0968719,0.00148759099829,5.7344016885,7712148460
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,12,53294.6084861,53294.6098623,53294.6091742,0.00137616599386,6.246703977,7712211873
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,13,53295.1379415,53295.1394124,53295.1386769,0.00147090400424,6.77620666099,7712290572
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,14,53295.6676731,53295.669272,53295.6684725,0.00159890899522,7.3060022685,7712369119
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,15,53296.1810978,53296.1856182,53296.183358,0.00452043800033,7.820887748,7712447582
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,16,53296.7120988,53296.7136675,53296.7128831,0.00156870399951,8.350412875,7712527977
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,17,53297.2179527,53297.2203817,53297.2191672,0.00242904599872,8.856696942,7712608443
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,18,53297.7483794,53297.7498789,53297.7491291,0.0014994200028,9.386658894,7712688793
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,19,53298.250804,53298.2551621,53298.252983,0.0043581409991,9.8905127925,7712768700
whole_precision_1785119817225_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,20,53298.7602502,53298.7617305,53298.7609904,0.00148026300303,10.3985201145,7712848735
