candidate_id,stage,global_session_index,session_id,session_index_within_candidate,session_order,baseline_policy,treatment_policy,baseline_net_pJ_per_logical_output_element,treatment_net_pJ_per_logical_output_element,delta_treatment_minus_baseline_net_pJ_per_logical_output_element,baseline_run_id,treatment_run_id,preheat_actual_s,baseline_trace_r2,treatment_trace_r2,temperature_min_C,temperature_max_C
exp_packed,exp,1,20260727_abba_confirm_v1_exp_packed_session01_AB,1,AB,fp16_io_fp32_all,exp_fp16x2,1783.28803143,2074.42628571,291.1382542799997,whole_precision_1785126197497_fp16_io_fp32_all_b0_p0,whole_precision_1785126211736_exp_fp16x2_b0_p1,19.9639819336,0.999851941817,0.999890754225,52,55
exp_packed,exp,3,20260727_abba_confirm_v1_exp_packed_session02_BA,2,BA,fp16_io_fp32_all,exp_fp16x2,1849.95059937,1841.49498102,-8.455618349999895,whole_precision_1785126310795_fp16_io_fp32_all_b0_p1,whole_precision_1785126296989_exp_fp16x2_b0_p0,19.962567749,0.999901038191,0.999920872535,53,55
exp_packed,exp,5,20260727_abba_confirm_v1_exp_packed_session03_BA,3,BA,fp16_io_fp32_all,exp_fp16x2,2213.1919642,2081.48704284,-131.70492135999984,whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,whole_precision_1785126397851_exp_fp16x2_b0_p0,19.964677002,0.99988975803,0.99995598979,54,55
exp_packed,exp,7,20260727_abba_confirm_v1_exp_packed_session04_AB,4,AB,fp16_io_fp32_all,exp_fp16x2,1889.20478744,2059.81405466,170.60926721999977,whole_precision_1785126497513_fp16_io_fp32_all_b0_p0,whole_precision_1785126513156_exp_fp16x2_b0_p1,19.9643342285,0.999902757614,0.99993590743,54,57
exp_packed,exp,9,20260727_abba_confirm_v1_exp_packed_session05_AB,5,AB,fp16_io_fp32_all,exp_fp16x2,2288.89830282,1777.80209653,-511.09620629000005,whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,whole_precision_1785126613655_exp_fp16x2_b0_p1,19.9630288086,0.999951492112,0.999904140228,54,57
exp_packed,exp,11,20260727_abba_confirm_v1_exp_packed_session06_BA,6,BA,fp16_io_fp32_all,exp_fp16x2,2515.53653718,2286.45274361,-229.08379356999967,whole_precision_1785126713177_fp16_io_fp32_all_b0_p1,whole_precision_1785126699143_exp_fp16x2_b0_p0,19.8864622803,0.999902648654,0.999897323881,55,56
reduction_scalar,reduction,2,20260727_abba_confirm_v1_reduction_scalar_session01_BA,1,BA,fp16_io_fp32_all,reduction_fp16_scalar,2079.73344748,2661.58020632,581.8467588399999,whole_precision_1785126261317_fp16_io_fp32_all_b0_p1,whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,19.9335855713,0.999935410338,0.999918803682,52,56
reduction_scalar,reduction,4,20260727_abba_confirm_v1_reduction_scalar_session02_AB,2,AB,fp16_io_fp32_all,reduction_fp16_scalar,2077.9571252,3961.75731115,1883.80018595,whole_precision_1785126346336_fp16_io_fp32_all_b0_p0,whole_precision_1785126362108_reduction_fp16_scalar_b0_p1,19.87790979,0.999937023765,0.999909713244,54,56
reduction_scalar,reduction,6,20260727_abba_confirm_v1_reduction_scalar_session03_AB,3,AB,fp16_io_fp32_all,reduction_fp16_scalar,2317.60880021,4251.74395661,1934.1351564000001,whole_precision_1785126447823_fp16_io_fp32_all_b0_p0,whole_precision_1785126463616_reduction_fp16_scalar_b0_p1,19.9756486816,0.999947338391,0.999901506332,54,56
reduction_scalar,reduction,8,20260727_abba_confirm_v1_reduction_scalar_session04_BA,4,BA,fp16_io_fp32_all,reduction_fp16_scalar,1841.6016951,4108.6635322,2267.0618371,whole_precision_1785126562525_fp16_io_fp32_all_b0_p1,whole_precision_1785126548737_reduction_fp16_scalar_b0_p0,19.9637720947,0.99990552054,0.999911116643,54,57
reduction_scalar,reduction,10,20260727_abba_confirm_v1_reduction_scalar_session05_BA,5,BA,fp16_io_fp32_all,reduction_fp16_scalar,3017.44391096,2727.34410956,-290.0998013999997,whole_precision_1785126663511_fp16_io_fp32_all_b0_p1,whole_precision_1785126649383_reduction_fp16_scalar_b0_p0,19.9665769043,0.99991572045,0.999714828781,54,57
reduction_scalar,reduction,12,20260727_abba_confirm_v1_reduction_scalar_session06_AB,6,AB,fp16_io_fp32_all,reduction_fp16_scalar,2922.94903949,3311.35617448,388.40713499000003,whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,whole_precision_1785126764668_reduction_fp16_scalar_b0_p1,19.9612434082,0.999915861743,0.999924654164,55,55
