run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,0,60235.4234275,60235.4247262,60235.4240768,0.00129864900373,0.000716563496098,7906386847
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,1,60235.9252986,60235.9268064,60235.9260525,0.00150775400107,0.502692198999,7906450208
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,2,60236.4270927,60236.4285281,60236.4278104,0.0014353430015,1.0044501255,7906531572
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,3,60236.9405443,60236.9420175,60236.9412809,0.00147323800047,1.51792064399,7906613990
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,4,60237.4699692,60237.4714233,60237.4706962,0.00145413200516,2.047335946,7906695361
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,5,60237.9726,60237.9740638,60237.9733319,0.00146373800089,2.549971619,7906776376
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,6,60238.4742569,60238.4755892,60238.4749231,0.0013323000021,3.05156280599,7906857780
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,7,60238.9867841,60238.9882569,60238.9875205,0.00147283199476,3.564160252,7906923181
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,8,60239.4920001,60239.4934785,60239.4927393,0.00147843299783,4.0693790095,7907004111
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,9,60240.0075799,60240.0090251,60240.0083025,0.00144514899876,4.5849422485,7907085416
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,10,60240.5299636,60240.5314824,60240.530723,0.00151879499754,5.10736267849,7907165647
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,11,60241.0427586,60241.0441811,60241.0434699,0.00142253600643,5.620109585,7907247000
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,12,60241.5531273,60241.5567109,60241.5549191,0.00358365499415,6.1315588475,7907327627
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,13,60242.0823432,60242.0847662,60242.0835547,0.00242305700522,6.6601944095,7907410638
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,14,60242.5895305,60242.5919985,60242.5907645,0.00246806900395,7.1674042215,7907493350
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,15,60243.0943183,60243.0988262,60243.0965722,0.00450788699527,7.6732119425,7907559217
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,16,60243.6000584,60243.6015142,60243.6007863,0.00145581999823,8.177426059,7907641529
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,17,60244.126913,60244.128298,60244.1276055,0.00138492100086,8.7042452265,7907721195
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,18,60244.6465027,60244.6479867,60244.6472447,0.00148403200001,9.22388445599,7907801385
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,19,60245.1502156,60245.1517008,60245.1509582,0.00148519499635,9.7275979425,7907883175
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,20,60245.6779755,60245.6793515,60245.6786635,0.00137604499469,10.2553031975,7907965637
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,21,60246.2065473,60246.2080285,60246.2072879,0.00148117900244,10.7839276115,7908048168
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,22,60246.7363423,60246.737808,60246.7370752,0.00146571900405,11.3137149075,7908130377
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,23,60247.2535035,60247.254933,60247.2542183,0.00142947099812,11.8308579825,7908212212
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,24,60247.7834176,60247.7848308,60247.7841242,0.00141319800605,12.360763958,7908292182
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,25,60248.2921811,60248.2963032,60248.2942422,0.0041220819985,12.870881887,7908371890
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,26,60248.7965439,60248.7980605,60248.7973022,0.00151665499288,13.3739419115,7908437725
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,27,60249.2986616,60249.3000837,60249.2993727,0.00142207499448,13.8760123905,7908517946
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,28,60249.8052184,60249.8067892,60249.8060038,0.00157075999596,14.382643506,7908597046
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,29,60250.3116605,60250.3139829,60250.3128217,0.0023224300021,14.889461455,7908664054
whole_precision_1785126397851_exp_fp16x2_b0_p0,exp_fp16x2,0,0,30,60250.3140101,60250.3159622,60250.3149862,0.00195214300038,14.8916258995,7908664054
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,0,60251.3642723,60251.3655133,60251.3648928,0.00124105199939,0.000632678995316,7908793526
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,1,60251.8696548,60251.8710859,60251.8703704,0.00143116300023,0.506110240494,7908858159
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,2,60252.3745634,60252.3760342,60252.3752988,0.00147079100134,1.0110387125,7908940099
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,3,60252.878316,60252.8811152,60252.8797156,0.00279923799826,1.515455504,7909022599
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,4,60253.3825161,60253.3839832,60253.3832497,0.00146709300316,2.01898953549,7909105672
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,5,60253.8867828,60253.8882108,60253.8874968,0.00142799199966,2.52323666499,7909169432
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,6,60254.3887884,60254.3902295,60254.389509,0.00144109599933,3.025248864,7909250540
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,7,60254.8936991,60254.8951843,60254.8944417,0.00148516500485,3.5301815605,7909332432
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,8,60255.3983211,60255.399807,60255.3990641,0.00148590499884,4.0348039625,7909414365
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,9,60255.9017983,60255.9032939,60255.9025461,0.00149561399303,4.538285947,7909496523
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,10,60256.4042751,60256.4069322,60256.4056036,0.00265708600637,5.041343501,7909562251
whole_precision_1785126412014_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,11,60256.9124603,60256.9139163,60256.9131883,0.00145603700366,5.5489281605,7909644949
