run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,0,60448.0795257,60448.0809134,60448.0802195,0.00138763900031,0.000716542497685,7939207587
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,1,60448.5892751,60448.5907442,60448.5900096,0.00146912199853,0.510506628998,7939285496
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,2,60449.0914613,60449.0929338,60449.0921975,0.00147250400187,1.01269455499,7939367591
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,3,60449.5943334,60449.5957883,60449.5950608,0.00145485399844,1.515557859,7939433611
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,4,60450.0961762,60450.0976643,60450.0969203,0.00148814500426,2.0174172645,7939517185
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,5,60450.6076474,60450.6100565,60450.608852,0.00240908099659,2.52934899749,7939598036
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,6,60451.1114339,60451.1128431,60451.1121385,0.0014091990015,3.0326354625,7939681203
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,7,60451.6132261,60451.6147723,60451.6139992,0.00154616699729,3.5344961895,7939744736
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,8,60452.1150366,60452.1167729,60452.1159048,0.00173629300116,4.0364017795,7939826002
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,9,60452.6257434,60452.6272496,60452.6264965,0.00150621799548,4.546993484,7939908304
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,10,60453.1365248,60453.1379096,60453.1372172,0.00138478599547,5.057714229,7939990209
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,11,60453.6615839,60453.6630733,60453.6623286,0.00148941399675,5.58282557599,7940071655
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,12,60454.1633713,60454.1647801,60454.1640757,0.00140877599915,6.084572745,7940153450
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,13,60454.6885659,60454.6900262,60454.689296,0.00146035099897,6.60979305249,7940235993
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,14,60455.1957007,60455.1971823,60455.1964415,0.00148159299715,7.1169384865,7940302061
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,15,60455.7211445,60455.7234207,60455.7222826,0.00227623600222,7.642779639,7940384756
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,16,60456.2237004,60456.2250774,60456.2243889,0.00137696500315,8.1448859235,7940467914
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,17,60456.7536216,60456.7589767,60456.7562992,0.00535510899499,8.6767961935,7940548737
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,18,60457.2875038,60457.288944,60457.2882239,0.00144019499567,9.20872090849,7940632206
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,19,60457.8172124,60457.8185256,60457.817869,0.00131317799969,9.738365975,7940715609
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,20,60458.3470356,60458.3484459,60458.3477407,0.00141029000224,10.268237759,7940798797
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,21,60458.876689,60458.8782227,60458.8774559,0.00153371399938,10.797952886,7940881506
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,22,60459.406716,60459.408151,60459.4074335,0.00143501799903,11.3279305,7940963886
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,23,60459.9366434,60459.9380987,60459.9373711,0.00145530600275,11.857868065,7941045766
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,24,60460.4533888,60460.4564085,60460.4548987,0.00301966499683,12.3753956875,7941127374
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,25,60460.9847015,60460.9861457,60460.9854236,0.00144421100413,12.9059206265,7941210727
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,26,60461.5146757,60461.5161066,60461.5153912,0.00143089600169,13.435888202,7941293974
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,27,60462.0446078,60462.0460579,60462.0453329,0.00145012800203,13.965829888,7941377129
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,28,60462.5745679,60462.5761329,60462.5753504,0.00156499299919,14.4958473935,7941457186
whole_precision_1785126597955_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,29,60462.5761402,60462.5774209,60462.5767805,0.00128073699307,14.4972775495,7941457186
