run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,0,60076.3267712,60076.3287796,60076.3277754,0.0020084170028,0.00122086150805,7881953661
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,1,60076.8289406,60076.8336674,60076.831304,0.00472671500029,0.504749456508,7882030027
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,2,60077.3500273,60077.3516859,60077.3508566,0.00165860400011,1.024302063,7882093912
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,3,60077.8802728,60077.8818274,60077.8810501,0.00155461100076,1.5544955115,7882172040
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,4,60078.3913771,60078.3967263,60078.3940517,0.00534919300117,2.0674971935,7882249715
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,5,60078.8975015,60078.8990016,60078.8982515,0.00150007800403,2.571696987,7882329396
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,6,60079.4083638,60079.4112875,60079.4098256,0.00292374600394,3.08327109,7882406411
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,7,60079.9400323,60079.9417918,60079.9409121,0.00175950599805,3.614357545,7882486063
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,8,60080.453548,60080.4550253,60080.4542866,0.00147731999459,4.127732077,7882565535
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,9,60080.9689835,60080.9704222,60080.9697028,0.00143867100269,4.6431483015,7882644302
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,10,60081.5000333,60081.5015169,60081.5007751,0.00148356700083,5.1742205475,7882722187
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,11,60082.0054068,60082.0068182,60082.0061125,0.00141135299782,5.67955797051,7882783606
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,12,60082.5070722,60082.508548,60082.5078101,0.00147573200229,6.181255567,7882861335
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,13,60083.0114194,60083.0128888,60083.0121541,0.0014693789999,6.6855995685,7882939900
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,14,60083.5146608,60083.5171985,60083.5159297,0.00253766199603,7.18937512201,7883018902
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,15,60084.0186554,60084.0200615,60084.0193584,0.0014060579997,7.692803899,7883098618
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,16,60084.5203281,60084.521709,60084.5210186,0.00138085799699,8.194464011,7883162811
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,17,60085.0225592,60085.0240407,60085.0233,0.00148155599891,8.696745409,7883241342
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,18,60085.5296779,60085.5311075,60085.5303927,0.00142956500349,9.2038381555,7883320943
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,19,60086.0331495,60086.036651,60086.0349002,0.00350143399555,9.708345698,7883400732
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,20,60086.5413908,60086.5447193,60086.543055,0.00332852300198,10.2165004795,7883464625
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,21,60087.0448636,60087.046292,60087.0455778,0.00142840100307,10.7190232975,7883544525
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,22,60087.5465184,60087.5479012,60087.5472098,0.001382870003,11.220655244,7883622017
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,23,60088.0496729,60088.0510746,60088.0503737,0.00140161099989,11.7238192005,7883700345
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,24,60088.5598725,60088.5613158,60088.5605941,0.00144329800241,12.234039577,7883763541
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,25,60089.0685765,60089.0700265,60089.0693015,0.00145005900413,12.7427469515,7883842427
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,26,60089.5983803,60089.5997965,60089.5990884,0.00141625300603,13.2725338545,7883921173
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,27,60090.1282026,60090.1297443,60090.1289734,0.0015417579998,13.8024189,7883999802
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,28,60090.6579557,60090.6594442,60090.6586999,0.00148851300037,14.3321453755,7884078152
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,29,60091.1602843,60091.1618187,60091.1610515,0.00153436300025,14.8344969345,7884146102
whole_precision_1785126247444_reduction_fp16_scalar_b0_p0,reduction_fp16_scalar,0,0,30,60091.161826,60091.163013,60091.1624195,0.00118700799794,14.835864909,7884146102
whole_precision_1785126261317_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,0,60092.1802638,60092.1814622,60092.180863,0.00119841699779,0.000613048498053,7884272753
whole_precision_1785126261317_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,1,60092.7098587,60092.7112626,60092.7105606,0.00140389299486,0.530310735499,7884351206
whole_precision_1785126261317_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,2,60093.2396512,60093.2442839,60093.2419675,0.00463266799488,1.06171762499,7884430285
whole_precision_1785126261317_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,3,60093.7703034,60093.7722188,60093.7712611,0.0019154180045,1.591011227,7884512296
whole_precision_1785126261317_fp16_io_fp32_all_b0_p1,fp16_io_fp32_all,0,1,4,60094.2770939,60094.27937,60094.2782319,0.00227608400019,2.097982038,7884594608
