run_id,policy,schedule_block,sequence_index,sample_index,query_start_s,query_end_s,query_midpoint_s,query_latency_s,relative_to_kernel_start_s,energy_mJ
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,0,60607.4285017,60607.4297278,60607.4291148,0.00122612400446,0.000668328997563,7963913579
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,1,60607.956274,60607.9577184,60607.9569962,0.00144444400212,0.528549752999,7963989909
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,2,60608.4621294,60608.463572,60608.4628507,0.00144254200131,1.034404266,7964072397
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,3,60608.9692142,60608.9713572,60608.9702857,0.00214305000554,1.541839278,7964155323
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,4,60609.4741114,60609.4755315,60609.4748215,0.00142013999721,2.046375044,7964238217
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,5,60609.9888608,60609.9903791,60609.98962,0.00151830999675,2.561173565,7964321575
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,6,60610.490629,60610.4922037,60610.4914163,0.00157474000298,3.062969916,7964386614
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,7,60610.9971856,60610.9986143,60610.9978999,0.00142870000127,3.569453501,7964469171
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,8,60611.5029322,60611.5055017,60611.504217,0.00256954599899,4.07577054499,7964551586
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,9,60612.0087872,60612.0102198,60612.0095035,0.00143261199992,4.58105705,7964634239
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,10,60612.51272,60612.5149176,60612.5138188,0.00219758500316,5.08537237749,7964717291
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,11,60613.0162223,60613.0213952,60613.0188088,0.00517291900178,5.5903623625,7964783970
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,12,60613.5220691,60613.5234917,60613.5227804,0.00142258199776,6.094333948,7964867622
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,13,60614.0286232,60614.0300563,60614.0293397,0.00143313899753,6.6008933125,7964948681
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,14,60614.5345882,60614.5359806,60614.5352844,0.0013923890001,7.1068379315,7965029584
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,15,60615.0395217,60615.0409213,60615.0402215,0.00139956699422,7.6117750775,7965093575
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,16,60615.5433476,60615.5447664,60615.544057,0.00141878100112,8.1156105805,7965174382
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,17,60616.0459448,60616.0474336,60616.0466892,0.00148888099648,8.6182427755,7965255568
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,18,60616.5480661,60616.5495212,60616.5487936,0.00145509800495,9.12034721499,7965337633
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,19,60617.0551944,60617.0566533,60617.0559238,0.00145889799751,9.627477407,7965420707
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,20,60617.5648266,60617.5662785,60617.5655525,0.00145182500273,10.1371061175,7965486894
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,21,60618.094162,60618.0956344,60618.0948982,0.00147241199738,10.666451758,7965569624
whole_precision_1785126748885_fp16_io_fp32_all_b0_p0,fp16_io_fp32_all,0,0,22,60618.6058569,60618.6073192,60618.606588,0.00146227599907,11.178141602,7965652026
