session_id,session_index,session_order,stage,policy,policy_position,cell_id,bracket_index,orientation,bracket_schedule,interpolation_weight,treatment_power_at_contrast_W,control_power_at_contrast_W,delta_power_W,bracket_delta_power_W,treatment_result_rate_Gelement_per_s,normalization_source,atc_delta_pJ_per_logical_output_element,effect_pJ_per_logical_output,same_iter_gross_board_energy_contrast_pJ_per_logical_output,treatment_elapsed_at_contrast_s,control_elapsed_at_contrast_s,treatment_over_control_elapsed_ratio,treatment_energy_at_contrast_J,control_energy_at_contrast_J,diagnostic_uses_idle,logical_output_elements_per_role,minimum_trace_fit_points,minimum_trace_r2,max_query_latency_s,idle_power_W_diagnostic_mean,temperature_min_C,temperature_max_C,temperature_span_C,sm_clock_min_mhz,sm_clock_max_mhz,sm_clock_span_fraction,primary_uses_idle,quality_status,session_effect_pJ_per_logical_output,session_same_iter_gross_board_energy_contrast_pJ_per_logical_output
20260728_operand_rate_v2_final_exp_session01_ABC,1,ABC,exp,fp16_scalar,1,20260728_operand_rate_v2_final_exp_session01_ABC_exp_fp16_scalar,0,forward,C-T-C,0.5012512022207067,206.9315939234109,206.16773200249983,0.7638619209110686,0.7638619209110686,32.610857117399775,middle_treatment_result_rate,23.423546279729774,23.423546279729774,34.170341091586366,13.58223046875,13.559157722453296,1.0017016356597501,2810.5925999335536,2795.457593041195,false,442928177152,49,0.9998063433106934,0.005324628989910707,132.55007848121335,59.0,64.0,5.0,1935.0,1935.0,0.0,false,pass,34.806120205395864,50.434135846413355
20260728_operand_rate_v2_final_exp_session01_ABC,1,ABC,exp,fp16_scalar,1,20260728_operand_rate_v2_final_exp_session01_ABC_exp_fp16_scalar,1,reverse,T-C-T,0.5031736780808838,204.47476902194694,202.97003183769044,1.5047371842564985,1.5047371842564985,32.57804128401545,interpolated_outer_treatment_result_rate,46.18869413106196,46.18869413106196,66.69793060124034,13.595956227798128,13.5511806640625,1.0033041817422133,2780.0259636440787,2750.4835708230607,false,442928177152,49,0.9999299738549465,0.005345214012777433,131.58179877037597,59.0,64.0,5.0,1935.0,1950.0,0.007722007722007722,false,pass,34.806120205395864,50.434135846413355
20260728_operand_rate_v2_final_exp_session01_ABC,1,ABC,exp,fp16x2,2,20260728_operand_rate_v2_final_exp_session01_ABC_exp_fp16x2,0,forward,C-T-C,0.49715842992720854,220.08199916405795,222.72129483596777,-2.639295671909821,-2.639295671909821,50.91246486033121,middle_treatment_result_rate,-51.83987220320668,-51.83987220320668,-42.39519090120003,13.5640166015625,13.534715502602555,1.0021648847332114,2985.1958903663462,3014.473056099131,false,690577518592,49,0.9999098505608961,0.01989231799961999,129.769642515648,59.0,66.0,7.0,1935.0,1950.0,0.007751937984496124,false,pass,-24.888481422316612,-15.234323590197135
20260728_operand_rate_v2_final_exp_session01_ABC,1,ABC,exp,fp16x2,2,20260728_operand_rate_v2_final_exp_session01_ABC_exp_fp16x2,1,reverse,T-C-T,0.4987031259154562,222.8018473344975,222.69683715789506,0.10501017660243406,0.10501017660243406,50.90392176758101,interpolated_outer_treatment_result_rate,2.062909358573459,2.062909358573459,11.926543720805759,13.56629304173377,13.5357099609375,1.0022594367701827,3022.5959999554893,3014.3597969873963,false,690577518592,50,0.9999115378168957,0.005113830004120246,130.9195457784233,60.0,66.0,6.0,1935.0,1935.0,0.0,false,pass,-24.888481422316612,-15.234323590197135
20260728_operand_rate_v2_final_exp_session01_ABC,1,ABC,exp,fp32,0,20260728_operand_rate_v2_final_exp_session01_ABC_exp_fp32,0,forward,C-T-C,0.4992273764017987,235.75725636178424,233.88281553953044,1.8744408222538027,1.8744408222538027,36.89168914770431,middle_treatment_result_rate,50.80929785429586,50.80929785429586,53.23303570964093,11.901271484375,11.896526198433445,1.0003988799639831,2805.8111123729896,2782.438721751115,false,439058008064,43,0.9998875982348967,0.005022172990720719,135.7329121249962,55.0,64.0,9.0,1935.0,1950.0,0.007692307692307693,false,pass,-53.67106713550447,-63.97540805096511
20260728_operand_rate_v2_final_exp_session01_ABC,1,ABC,exp,fp32,0,20260728_operand_rate_v2_final_exp_session01_ABC_exp_fp32,1,reverse,T-C-T,0.5055647882204932,237.10937347113588,242.93905912054856,-5.829685649412681,-5.829685649412681,36.86141548685926,interpolated_outer_treatment_result_rate,-158.1514321253048,-158.1514321253048,-181.18385181157115,11.91104582122526,11.9526728515625,0.9965173454628771,2824.2208754645667,2903.771096534318,false,439058008064,42,0.9998475837126257,0.005197581980610266,134.87205870575835,58.0,67.0,9.0,1935.0,1950.0,0.007751937984496124,false,pass,-53.67106713550447,-63.97540805096511
20260728_operand_rate_v2_final_exp_session02_BCA,2,BCA,exp,fp16_scalar,0,20260728_operand_rate_v2_final_exp_session02_BCA_exp_fp16_scalar,0,forward,C-T-C,0.4953108263021405,205.8060706089609,209.9027349765893,-4.096664367628392,-4.096664367628392,32.53034707927497,middle_treatment_result_rate,-125.93362000242446,-125.93362000242446,-115.19844274900542,13.392443359375,13.370160919419197,1.0016665797883881,2756.2461436460408,2806.433592911723,false,435660830720,48,0.9998525217978174,0.006239820009795949,134.35881938622654,59.0,64.0,5.0,1935.0,1935.0,0.0,false,pass,-23.85838640214763,-17.03461385699285
20260728_operand_rate_v2_final_exp_session02_BCA,2,BCA,exp,fp16_scalar,0,20260728_operand_rate_v2_final_exp_session02_BCA_exp_fp16_scalar,1,reverse,T-C-T,0.49819416517688314,206.3531639512466,203.80494755965785,2.5482163915887384,2.5482163915887384,32.57886865644063,interpolated_outer_treatment_result_rate,78.2168471981292,78.2168471981292,81.12921503501973,13.372526331006048,13.3663173828125,1.0004645219783224,2759.466434487663,2724.1216132698446,false,435660830720,49,0.9999199727148189,0.005299976997775957,129.8271784528543,59.0,64.0,5.0,1935.0,1950.0,0.007751937984496124,false,pass,-23.85838640214763,-17.03461385699285
20260728_operand_rate_v2_final_exp_session02_BCA,2,BCA,exp,fp16x2,1,20260728_operand_rate_v2_final_exp_session02_BCA_exp_fp16x2,0,forward,C-T-C,0.49554157016977324,223.13290216983967,223.0602635272784,0.07263864256125885,0.07263864256125885,51.08386270834013,middle_treatment_result_rate,1.4219489034332482,1.4219489034332482,-1.0551494154165784,13.35144921875,13.359044111409423,0.9994314793336945,2979.147612352926,2979.867270257539,false,682043598848,48,0.9997720815269754,0.00543913000728935,129.62446706167847,59.0,66.0,7.0,1935.0,1950.0,0.007751937984496124,false,pass,31.109767896479056,28.97465599710685
20260728_operand_rate_v2_final_exp_session02_BCA,2,BCA,exp,fp16x2,1,20260728_operand_rate_v2_final_exp_session02_BCA_exp_fp16x2,1,reverse,T-C-T,0.49449548500998913,224.47104431911615,221.3659439070123,3.1051004121038375,3.1051004121038375,51.07275750509814,interpolated_outer_treatment_result_rate,60.797586889524865,60.797586889524865,59.00446140963028,13.354352749942308,13.3598603515625,0.99958775006061,2997.6617123974142,2957.418097189502,false,682043598848,48,0.99990856732565,0.005385377997299656,130.92183825319765,60.0,66.0,6.0,1935.0,1935.0,0.0,false,pass,31.109767896479056,28.97465599710685
