scope,stage,policy,session_id,gate,status,detail
run,,,,exact_3x3x3_schedule,pass,
run,,,,six_roles_per_cell,pass,
run,,,,same_symbol_geometry_iters,pass,
run,,,,per_cell_treatment_calibration,pass,
run,,,,treatment_calibration_duration,pass,
run,,,,resource_and_smid_placement,pass,
run,,,,raw_trace_manifest_hashes,pass,
run,,,,static_audit_binding,pass,
run,,,,ncu_dynamic_instruction_audit_binding,pass,
run,,,,guarded_trace_slopes,pass,
run,,,,independent_trace_fit_window_reconstruction,pass,
run,,,,logical_output_denominator,pass,
run,,,,output_equivalence,pass,
run,,,,treatment_invariant_live_sink_dataflow,pass,
run,,,,idle_primary_exclusion,pass,
run,,,,same_iter_diagnostic_separate_from_primary,pass,
fresh_session_cell,exp,fp32,20260728_operand_rate_v2_final_exp_session01_ABC,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998475837126257;min_fit_points=42
fresh_session_cell,exp,fp32,20260728_operand_rate_v2_final_exp_session02_BCA,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998164006059063;min_fit_points=48
fresh_session_cell,exp,fp32,20260728_operand_rate_v2_final_exp_session03_CAB,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998659284805997;min_fit_points=49
fresh_session_cell,exp,fp16_scalar,20260728_operand_rate_v2_final_exp_session01_ABC,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998063433106934;min_fit_points=49
fresh_session_cell,exp,fp16_scalar,20260728_operand_rate_v2_final_exp_session02_BCA,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998525217978174;min_fit_points=48
fresh_session_cell,exp,fp16_scalar,20260728_operand_rate_v2_final_exp_session03_CAB,cell_all_fail_closed_gates,pass,min_trace_r2=0.9999044613958744;min_fit_points=49
fresh_session_cell,exp,fp16x2,20260728_operand_rate_v2_final_exp_session01_ABC,cell_all_fail_closed_gates,pass,min_trace_r2=0.9999098505608961;min_fit_points=49
fresh_session_cell,exp,fp16x2,20260728_operand_rate_v2_final_exp_session02_BCA,cell_all_fail_closed_gates,pass,min_trace_r2=0.9997720815269754;min_fit_points=48
fresh_session_cell,exp,fp16x2,20260728_operand_rate_v2_final_exp_session03_CAB,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998375995778732;min_fit_points=49
fresh_session_cell,reduction,fp32,20260728_operand_rate_v2_final_reduction_session01_ABC,cell_all_fail_closed_gates,pass,min_trace_r2=0.9997478678397843;min_fit_points=33
fresh_session_cell,reduction,fp32,20260728_operand_rate_v2_final_reduction_session02_BCA,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998156226650418;min_fit_points=34
fresh_session_cell,reduction,fp32,20260728_operand_rate_v2_final_reduction_session03_CAB,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998307107966034;min_fit_points=34
fresh_session_cell,reduction,fp16_scalar,20260728_operand_rate_v2_final_reduction_session01_ABC,cell_all_fail_closed_gates,pass,min_trace_r2=0.9997235853209977;min_fit_points=26
fresh_session_cell,reduction,fp16_scalar,20260728_operand_rate_v2_final_reduction_session02_BCA,cell_all_fail_closed_gates,pass,min_trace_r2=0.999661941054482;min_fit_points=26
fresh_session_cell,reduction,fp16_scalar,20260728_operand_rate_v2_final_reduction_session03_CAB,cell_all_fail_closed_gates,pass,min_trace_r2=0.9997819901305176;min_fit_points=26
fresh_session_cell,reduction,fp16x2,20260728_operand_rate_v2_final_reduction_session01_ABC,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998055427118937;min_fit_points=32
fresh_session_cell,reduction,fp16x2,20260728_operand_rate_v2_final_reduction_session02_BCA,cell_all_fail_closed_gates,pass,min_trace_r2=0.9997734594999024;min_fit_points=32
fresh_session_cell,reduction,fp16x2,20260728_operand_rate_v2_final_reduction_session03_CAB,cell_all_fail_closed_gates,pass,min_trace_r2=0.999832451397347;min_fit_points=32
fresh_session_cell,normalization,fp32,20260728_operand_rate_v2_final_normalization_session01_ABC,cell_all_fail_closed_gates,pass,min_trace_r2=0.9997173031343881;min_fit_points=48
fresh_session_cell,normalization,fp32,20260728_operand_rate_v2_final_normalization_session02_BCA,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998992841605211;min_fit_points=48
fresh_session_cell,normalization,fp32,20260728_operand_rate_v2_final_normalization_session03_CAB,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998731899017832;min_fit_points=48
fresh_session_cell,normalization,fp16_scalar,20260728_operand_rate_v2_final_normalization_session01_ABC,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998871604446566;min_fit_points=49
fresh_session_cell,normalization,fp16_scalar,20260728_operand_rate_v2_final_normalization_session02_BCA,cell_all_fail_closed_gates,pass,min_trace_r2=0.9999079851346477;min_fit_points=49
fresh_session_cell,normalization,fp16_scalar,20260728_operand_rate_v2_final_normalization_session03_CAB,cell_all_fail_closed_gates,pass,min_trace_r2=0.9997840667050757;min_fit_points=49
fresh_session_cell,normalization,fp16x2,20260728_operand_rate_v2_final_normalization_session01_ABC,cell_all_fail_closed_gates,pass,min_trace_r2=0.9997273452953261;min_fit_points=48
fresh_session_cell,normalization,fp16x2,20260728_operand_rate_v2_final_normalization_session02_BCA,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998966641168567;min_fit_points=48
fresh_session_cell,normalization,fp16x2,20260728_operand_rate_v2_final_normalization_session03_CAB,cell_all_fail_closed_gates,pass,min_trace_r2=0.9998468533992723;min_fit_points=47
