phase,cycle,sequence_index,role,mode,factor_name,factor_value,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,seconds,iters,command
warmup,0,1,control_before,clocked_empty,load_repeat,4,rtx3090,64,16,82,1,4,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708_warmup.csv --verify-smid 1
warmup,0,2,treatment,shared_scalar_load_only,load_repeat,4,rtx3090,64,16,82,1,4,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708_warmup.csv --verify-smid 1
warmup,0,3,control_after,clocked_empty,load_repeat,4,rtx3090,64,16,82,1,4,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708_warmup.csv --verify-smid 1
warmup,0,4,control_before,clocked_empty,load_repeat,8,rtx3090,64,16,82,1,8,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708_warmup.csv --verify-smid 1
warmup,0,5,treatment,shared_scalar_load_only,load_repeat,8,rtx3090,64,16,82,1,8,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708_warmup.csv --verify-smid 1
warmup,0,6,control_after,clocked_empty,load_repeat,8,rtx3090,64,16,82,1,8,1,5.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708_warmup.csv --verify-smid 1
measure,0,1,control_before,clocked_empty,load_repeat,4,rtx3090,64,16,82,1,4,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,0,2,treatment,shared_scalar_load_only,load_repeat,4,rtx3090,64,16,82,1,4,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,0,3,control_after,clocked_empty,load_repeat,4,rtx3090,64,16,82,1,4,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,0,4,control_before,clocked_empty,load_repeat,8,rtx3090,64,16,82,1,8,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,0,5,treatment,shared_scalar_load_only,load_repeat,8,rtx3090,64,16,82,1,8,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,0,6,control_after,clocked_empty,load_repeat,8,rtx3090,64,16,82,1,8,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,1,7,control_before,clocked_empty,load_repeat,8,rtx3090,64,16,82,1,8,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,1,8,treatment,shared_scalar_load_only,load_repeat,8,rtx3090,64,16,82,1,8,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,1,9,control_after,clocked_empty,load_repeat,8,rtx3090,64,16,82,1,8,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,1,10,control_before,clocked_empty,load_repeat,4,rtx3090,64,16,82,1,4,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,1,11,treatment,shared_scalar_load_only,load_repeat,4,rtx3090,64,16,82,1,4,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,1,12,control_after,clocked_empty,load_repeat,4,rtx3090,64,16,82,1,4,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,2,13,control_before,clocked_empty,load_repeat,4,rtx3090,64,16,82,1,4,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,2,14,treatment,shared_scalar_load_only,load_repeat,4,rtx3090,64,16,82,1,4,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,2,15,control_after,clocked_empty,load_repeat,4,rtx3090,64,16,82,1,4,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,2,16,control_before,clocked_empty,load_repeat,8,rtx3090,64,16,82,1,8,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,2,17,treatment,shared_scalar_load_only,load_repeat,8,rtx3090,64,16,82,1,8,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,2,18,control_after,clocked_empty,load_repeat,8,rtx3090,64,16,82,1,8,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
measure,3,19,control_before,clocked_empty,load_repeat,8,rtx3090,64,16,82,1,8,1,30.0,0,./build/a100_fp16_energy_v2 --gpu-list 0 --mode clocked_empty --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 30.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --output results/raw/rtx3090_strict_scope_shared_lr4_lr8_calibrated_20260708.csv --verify-smid 1
