run_id,gpu_id,n_gpu_active,mode,W_SM_KiB,blocks_per_SM,threads_per_block,active_SM,ITER,sweeps,elapsed_s,E_before_mJ,E_after_mJ,delta_E_J,idle_baseline_J,net_E_J,N_MMA,FLOP,input_bits,w_block_bytes,tiles_per_block,reuse_factor,load_repeat,store_repeat,reg_payload_bytes_per_block,reg_payload_regs_per_thread,reg_payload_bytes_per_sm,expected_reg_pressure_ops,expected_reg_operand_ops,expected_shared_bytes,expected_l1_bytes,expected_l2_bytes,expected_dram_bytes,expected_store_bytes,expected_addr_ops,pJ_per_FLOP,pJ_per_input_bit,ncu_tensor_inst,ncu_shared_bytes,ncu_l1_bytes,ncu_l2_bytes,ncu_dram_bytes,ncu_spill_bytes,smid_histogram_ok,clock_sm_mhz,clock_mem_mhz,temp_C,profile_name,architecture_family,chip,compute_capability,sm_count,l2_mib,shared_kib_per_sm,tensor_modes,energy_source,energy_integration_method,mode_family,denominator_level,nvml_total_energy_supported,nvml_power_usage_semantics,nvml_field_power_instant_supported,nvml_field_power_average_supported,power_before_mw,power_after_mw,power_sample_count,power_sample_period_ms,driver_version,nvml_version,notes
clocked_empty_1783214185817_r0,0,1,clocked_empty,2048,16,32,82,44048070,0,2.787807898,2494705539,2495546678,841.139,310.217262065,530.921737935,0,0,0,131072,128,1,1,1,0,0,0,0,0,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,true,1935,9501,68,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,control,none,true,one_sec_average,false,false,106518,313749,0,0,591.86,13.590.57,"regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=5248;expected_addr_ops=0;mode_family=control;denominator_level=none;gpu_active=1;energy_source=nvml_total_energy;power_mw=106518;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=313749;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_operand_only_1783214192458_r0,0,1,reg_operand_only,2048,16,32,82,24280543,0,3.290336294,2495988142,2496796738,808.596,403.026574928,405.569425072,0,0,0,131072,128,1,1,1,0,0,0,0,31856072416,0,0,0,0,1343488,0,0,0,0,0,0,0,0,0,true,1950,9501,65,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,register_tensor,logical_register_operand,true,one_sec_average,false,false,109513,252756,0,0,591.86,13.590.57,"regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=31856072416;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=register_tensor;denominator_level=logical_register_operand;gpu_active=1;energy_source=nvml_total_energy;power_mw=109513;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=252756;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_mma_1783214199105_r0,0,1,reg_mma,2048,16,32,82,21912240,0,3.331594029,2497227443,2498101390,873.947,422.074574277,451.872425723,28748858880,235510651944960,235510651944960,131072,128,1,1,1,0,0,0,0,28748858880,0,0,0,0,1343488,0,1.91869209308,1.91869209308,0,0,0,0,0,0,true,1935,9501,65,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,register_tensor,FLOP,true,one_sec_average,false,false,110521,244683,0,0,591.86,13.590.57,"regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=28748858880;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=register_tensor;denominator_level=FLOP;gpu_active=1;energy_source=nvml_total_energy;power_mw=110521;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=244683;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
clocked_empty_1783214205654_r0,0,1,clocked_empty,2048,16,32,82,50418211,0,3.212536108,2498540992,2499526503,985.511,422.075603466,563.435396534,0,0,0,131072,128,2,1,1,0,0,0,0,0,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,true,1920,9501,72,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,control,none,true,one_sec_average,false,false,110814,320648,0,0,591.86,13.590.57,"regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=2;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=5248;expected_addr_ops=0;mode_family=control;denominator_level=none;gpu_active=1;energy_source=nvml_total_energy;power_mw=110814;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=320648;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_operand_only_1783214212257_r0,0,1,reg_operand_only,2048,16,32,82,7548675,0,3.273596352,2499990062,2500675846,685.784,424.981395455,260.802604545,0,0,0,131072,128,2,1,1,0,0,0,0,19807723200,0,0,0,0,1343488,0,0,0,0,0,0,0,0,0,true,1935,9501,64,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,register_tensor,logical_register_operand,true,one_sec_average,false,false,113817,213890,0,0,591.86,13.590.57,"regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=2;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=19807723200;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=register_tensor;denominator_level=logical_register_operand;gpu_active=1;energy_source=nvml_total_energy;power_mw=113817;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=213890;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_mma_1783214218924_r0,0,1,reg_mma,2048,16,32,82,7676551,0,3.341000304,2501104793,2501836621,731.828,424.315012322,307.512987678,20143269824,165013666398208,165013666398208,131072,128,2,1,1,0,0,0,0,20143269824,0,0,0,0,1343488,0,1.86356072434,1.86356072434,0,0,0,0,0,0,true,1935,9501,66,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,register_tensor,FLOP,true,one_sec_average,false,false,112349,222318,0,0,591.86,13.590.57,"regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=2;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=20143269824;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=register_tensor;denominator_level=FLOP;gpu_active=1;energy_source=nvml_total_energy;power_mw=112349;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=222318;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
clocked_empty_1783214225432_r0,0,1,clocked_empty,2048,16,32,82,49119319,0,3.191032905,2502261574,2503243935,982.361,397.433725944,584.927274056,0,0,0,131072,128,4,1,1,0,0,0,0,0,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,true,1905,9501,74,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,control,none,true,one_sec_average,false,false,113279,323995,0,0,591.86,13.590.57,"regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=4;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=5248;expected_addr_ops=0;mode_family=control;denominator_level=none;gpu_active=1;energy_source=nvml_total_energy;power_mw=113279;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=323995;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_operand_only_1783214231970_r0,0,1,reg_operand_only,2048,16,32,82,5823857,0,3.135722154,2503693764,2504382797,689.033,399.269584411,289.763415589,0,0,0,131072,128,4,1,1,0,0,0,0,30563601536,0,0,0,0,1343488,0,0,0,0,0,0,0,0,0,true,1935,9501,67,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,register_tensor,logical_register_operand,true,one_sec_average,false,false,114139,222272,0,0,591.86,13.590.57,"regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=4;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=30563601536;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=register_tensor;denominator_level=logical_register_operand;gpu_active=1;energy_source=nvml_total_energy;power_mw=114139;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=222272;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_mma_1783214238617_r0,0,1,reg_mma,2048,16,32,82,6011818,0,3.322167716,2504813742,2505608686,794.944,426.14888433,368.79511567,31550020864,258457770917888,258457770917888,131072,128,4,1,1,0,0,0,0,31550020864,0,0,0,0,1343488,0,1.42690666394,1.42690666394,0,0,0,0,0,0,true,1920,9501,69,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,register_tensor,FLOP,true,one_sec_average,false,false,113470,248592,0,0,591.86,13.590.57,"regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=4;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=31550020864;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=register_tensor;denominator_level=FLOP;gpu_active=1;energy_source=nvml_total_energy;power_mw=113470;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=248592;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
clocked_empty_1783214245198_r0,0,1,clocked_empty,2048,16,32,82,50023506,0,3.251698619,2506052677,2507078520,1025.843,427.945448631,597.897551369,0,0,0,131072,128,8,1,1,0,0,0,0,0,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,true,1920,9501,75,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,control,none,true,one_sec_average,false,false,115156,324059,0,0,591.86,13.590.57,"regime=dram_mixed_streaming;feasibility_reason=full-GPU working set exceeds the nominal L2 size;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=1;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=8;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=5248;expected_addr_ops=0;mode_family=control;denominator_level=none;gpu_active=1;energy_source=nvml_total_energy;power_mw=115156;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=324059;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
