mode,softmax_mode_enum,exp_implementation,exp_implementation_enum,cache_policy,cache_policy_bool,softmax_cols,binary,binary_sha256,cuobjdump,binary_architectures,embedded_ptx_architectures,expected_cuda_arch,sass_lowering_contract,allow_unestablished_sass_lowering,native_arch_gate_pass,embedded_ptx_arch_gate_pass,architecture_gate_pass,expected_variant_count,ptx_observed_selected_cols_section_count,sass_observed_selected_cols_section_count,resource_observed_selected_cols_section_count,ptx_observed_s512_section_count,sass_observed_s512_section_count,resource_observed_s512_section_count,ptx_exact_variant_set_gate_pass,sass_exact_variant_set_gate_pass,resource_exact_variant_set_gate_pass,exact_variant_set_gate_pass,ptx_section_count,sass_section_count,resource_section_count,section_multiplicity_gate_pass,function_name_consistent,sass_arch_header_present,ptx_ex2_approx_f32_static_count,ptx_ex2_approx_ftz_f32_static_count,ptx_ex2_approx_f16_static_count,ptx_ex2_approx_f16x2_static_count,expected_ptx_ex2_approx_f32_static_count,expected_ptx_ex2_approx_ftz_f32_static_count,expected_ptx_ex2_approx_f16_static_count,expected_ptx_ex2_approx_f16x2_static_count,ptx_opcode_count_gate_pass,sass_mufu_ex2_plain_static_count,sass_mufu_ex2_f16_static_count,expected_sass_mufu_ex2_plain_static_count,expected_sass_mufu_ex2_f16_static_count,sass_opcode_count_gate_pass,sass_predicated_mufu_ex2_plain_static_count,sass_predicated_mufu_ex2_f16_static_count,expected_sass_predicated_mufu_ex2_plain_static_count,expected_sass_predicated_mufu_ex2_f16_static_count,predicated_probe_count_gate_pass,sass_prmt_static_count,sass_uprmt_static_count,sass_prmt_or_uprmt_static_count,sass_prmt_or_uprmt_present,packed_path_prmt_observation_pass,sass_ldl_static_count,sass_stl_static_count,resource_registers,resource_shared_bytes,resource_stack_bytes,resource_local_bytes,resource_metadata_gate_pass,spill_local_gate_pass,verdict,failure_reasons,provisional_reasons,ptx_functions,sass_functions,resource_functions
full,0,fp32_fast___expf,0,default,0,512,build-softmax-rtx3090-main-recheck/a100_fp16_softmax_energy,07800c5f4feeb12985fb61bbd5e4da3da7604bcc869b7e75ba17043fdbe389ae,/home/bang001/miniforge3/lib/python3.12/site-packages/triton/backends/nvidia/bin/cuobjdump,86,86,86,established_ampere,false,true,true,true,10,10,10,10,10,10,10,true,true,true,true,1,1,1,true,true,true,4,0,0,0,4,0,0,0,true,4,0,4,0,true,2,0,2,0,true,0,0,0,false,true,0,0,27,32,0,0,true,true,pass,,,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE0ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE0ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE0ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i
full,0,fp32_fast___expf,0,cg,1,512,build-softmax-rtx3090-main-recheck/a100_fp16_softmax_energy,07800c5f4feeb12985fb61bbd5e4da3da7604bcc869b7e75ba17043fdbe389ae,/home/bang001/miniforge3/lib/python3.12/site-packages/triton/backends/nvidia/bin/cuobjdump,86,86,86,established_ampere,false,true,true,true,10,10,10,10,10,10,10,true,true,true,true,1,1,1,true,true,true,4,0,0,0,4,0,0,0,true,4,0,4,0,true,2,0,2,0,true,1,0,1,true,true,0,0,27,32,0,0,true,true,pass,,,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE0ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE0ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE0ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i
full,0,ptx_ex2_approx_f16,1,default,0,512,build-softmax-rtx3090-main-recheck/a100_fp16_softmax_energy,07800c5f4feeb12985fb61bbd5e4da3da7604bcc869b7e75ba17043fdbe389ae,/home/bang001/miniforge3/lib/python3.12/site-packages/triton/backends/nvidia/bin/cuobjdump,86,86,86,established_ampere,false,true,true,true,10,10,10,10,10,10,10,true,true,true,true,1,1,1,true,true,true,0,0,4,0,0,0,4,0,true,0,4,0,4,true,0,2,0,2,true,2,0,2,true,true,0,0,27,32,0,0,true,true,pass,,,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE1ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE1ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE1ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i
full,0,ptx_ex2_approx_f16,1,cg,1,512,build-softmax-rtx3090-main-recheck/a100_fp16_softmax_energy,07800c5f4feeb12985fb61bbd5e4da3da7604bcc869b7e75ba17043fdbe389ae,/home/bang001/miniforge3/lib/python3.12/site-packages/triton/backends/nvidia/bin/cuobjdump,86,86,86,established_ampere,false,true,true,true,10,10,10,10,10,10,10,true,true,true,true,1,1,1,true,true,true,0,0,4,0,0,0,4,0,true,0,4,0,4,true,0,2,0,2,true,3,0,3,true,true,0,0,28,32,0,0,true,true,pass,,,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE1ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE1ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE1ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i
full,0,ptx_ex2_approx_f16x2,2,default,0,512,build-softmax-rtx3090-main-recheck/a100_fp16_softmax_energy,07800c5f4feeb12985fb61bbd5e4da3da7604bcc869b7e75ba17043fdbe389ae,/home/bang001/miniforge3/lib/python3.12/site-packages/triton/backends/nvidia/bin/cuobjdump,86,86,86,established_ampere,false,true,true,true,10,10,10,10,10,10,10,true,true,true,true,1,1,1,true,true,true,0,0,0,2,0,0,0,2,true,0,4,0,4,true,0,2,0,2,true,1,0,1,true,true,0,0,27,32,0,0,true,true,pass,,,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE2ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE2ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE2ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i
full,0,ptx_ex2_approx_f16x2,2,cg,1,512,build-softmax-rtx3090-main-recheck/a100_fp16_softmax_energy,07800c5f4feeb12985fb61bbd5e4da3da7604bcc869b7e75ba17043fdbe389ae,/home/bang001/miniforge3/lib/python3.12/site-packages/triton/backends/nvidia/bin/cuobjdump,86,86,86,established_ampere,false,true,true,true,10,10,10,10,10,10,10,true,true,true,true,1,1,1,true,true,true,0,0,0,2,0,0,0,2,true,0,4,0,4,true,0,2,0,2,true,2,0,2,true,true,0,0,28,32,0,0,true,true,pass,,,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE2ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE2ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE0ELNS_17ExpImplementationE2ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i
linear_control,1,fp32_fast___expf,0,default,0,512,build-softmax-rtx3090-main-recheck/a100_fp16_softmax_energy,07800c5f4feeb12985fb61bbd5e4da3da7604bcc869b7e75ba17043fdbe389ae,/home/bang001/miniforge3/lib/python3.12/site-packages/triton/backends/nvidia/bin/cuobjdump,86,86,86,established_ampere,false,true,true,true,10,10,10,10,10,10,10,true,true,true,true,1,1,1,true,true,true,0,0,0,0,0,0,0,0,true,0,0,0,0,true,0,0,0,0,true,0,0,0,false,true,0,0,26,32,0,0,true,true,pass,,,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE1ELNS_17ExpImplementationE0ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE1ELNS_17ExpImplementationE0ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE1ELNS_17ExpImplementationE0ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i
linear_control,1,fp32_fast___expf,0,cg,1,512,build-softmax-rtx3090-main-recheck/a100_fp16_softmax_energy,07800c5f4feeb12985fb61bbd5e4da3da7604bcc869b7e75ba17043fdbe389ae,/home/bang001/miniforge3/lib/python3.12/site-packages/triton/backends/nvidia/bin/cuobjdump,86,86,86,established_ampere,false,true,true,true,10,10,10,10,10,10,10,true,true,true,true,1,1,1,true,true,true,0,0,0,0,0,0,0,0,true,0,0,0,0,true,0,0,0,0,true,0,0,0,false,true,0,0,26,32,0,0,true,true,pass,,,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE1ELNS_17ExpImplementationE0ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE1ELNS_17ExpImplementationE0ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE1ELNS_17ExpImplementationE0ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i
io_control,2,fp32_fast___expf,0,default,0,512,build-softmax-rtx3090-main-recheck/a100_fp16_softmax_energy,07800c5f4feeb12985fb61bbd5e4da3da7604bcc869b7e75ba17043fdbe389ae,/home/bang001/miniforge3/lib/python3.12/site-packages/triton/backends/nvidia/bin/cuobjdump,86,86,86,established_ampere,false,true,true,true,10,10,10,10,10,10,10,true,true,true,true,1,1,1,true,true,true,0,0,0,0,0,0,0,0,true,0,0,0,0,true,0,0,0,0,true,1,0,1,true,true,0,0,30,0,0,0,true,true,pass,,,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE2ELNS_17ExpImplementationE0ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE2ELNS_17ExpImplementationE0ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE2ELNS_17ExpImplementationE0ELb0EEEvPK6__halfPS4_PjmmmbbPiS9_i
io_control,2,fp32_fast___expf,0,cg,1,512,build-softmax-rtx3090-main-recheck/a100_fp16_softmax_energy,07800c5f4feeb12985fb61bbd5e4da3da7604bcc869b7e75ba17043fdbe389ae,/home/bang001/miniforge3/lib/python3.12/site-packages/triton/backends/nvidia/bin/cuobjdump,86,86,86,established_ampere,false,true,true,true,10,10,10,10,10,10,10,true,true,true,true,1,1,1,true,true,true,0,0,0,0,0,0,0,0,true,0,0,0,0,true,0,0,0,0,true,0,0,0,false,true,0,0,32,0,0,0,true,true,pass,,,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE2ELNS_17ExpImplementationE0ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE2ELNS_17ExpImplementationE0ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i,_ZN11fp16softmax51_GLOBAL__N__66d4a4a5_18_softmax_kernels_cu_6edd6ec918softmax_row_kernelILi512ELNS_11SoftmaxModeE2ELNS_17ExpImplementationE0ELb1EEEvPK6__halfPS4_PjmmmbbPiS9_i
