profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,ITER,reuse_factor,load_repeat,store_repeat,pair,numerator_mode,baseline_mode,delta_E_J,denominator,denominator_column,coefficient,coefficient_unit,numerator_rows,baseline_rows
rtx3090,0,1,64,16,82,3411304,4,4,4,l2_load_minus_empty,l2_load_only,empty,1168.42743053647,18332183953408.0,expected_l2_bytes,63.73640115689851,pJ/byte,3.0,3.0
rtx3090,0,1,64,16,82,3411304,4,4,4,l2_mma_minus_l2_load,l2_mma,l2_load_only,-501.91899806699996,146657471627264.0,FLOP,-3.4223895482300946,pJ/FLOP,3.0,3.0
rtx3090,0,1,64,16,82,3981322,4,4,4,shared_load_minus_empty,shared_load_only,empty,1171.45895073319,21395433324544.0,expected_shared_bytes,54.75275648609268,pJ/byte,3.0,3.0
rtx3090,0,1,64,16,82,3981322,4,4,4,shared_mma_minus_shared_load,shared_mma,shared_load_only,-651.902109072,171163466596352.0,FLOP,-3.808652173476685,pJ/FLOP,3.0,3.0
rtx3090,0,1,64,16,82,5012200,4,4,4,reg_fragment_minus_empty,reg_fragment_only,empty,115.15657268816,0.0,,115.15657268816,J,3.0,3.0
rtx3090,0,1,64,16,82,5012200,4,4,4,reg_mma_minus_empty,reg_mma,empty,302.00285763915997,215482577715200.0,FLOP,1.4015186788711638,pJ/FLOP,3.0,3.0
rtx3090,0,1,64,16,82,5012200,4,4,4,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,72.606370637,215482577715200.0,FLOP,0.3369477542307978,pJ/FLOP,3.0,3.0
rtx3090,0,1,64,16,82,5012200,4,4,4,reg_operand_minus_empty,reg_operand_only,empty,229.39648700216,26304025600.0,expected_reg_operand_ops,8720.965014653879,pJ/reg-op,3.0,3.0
rtx3090,0,1,64,16,82,5576378,4,4,4,store_only_minus_empty,store_only,empty,447.38950585333,117059326976.0,expected_store_bytes,3821.903964517545,pJ/byte,3.0,3.0
rtx3090,0,1,64,16,82,5576378,4,4,4,store_path_minus_store_only,store_path,store_only,-51.635844253000016,117059326976.0,expected_store_bytes,-441.1083301682284,pJ/byte,3.0,3.0
rtx3090,0,1,8192,16,82,1438005,4,4,4,dram_load_minus_empty,dram_load_only,empty,2322.54739568668,7727769845760.0,expected_dram_bytes,300.54562209315714,pJ/byte,3.0,3.0
rtx3090,0,1,8192,16,82,1438005,4,4,4,dram_mma_minus_dram_load,dram_mma,dram_load_only,-1570.629851796,61822158766080.0,FLOP,-25.40561318375958,pJ/FLOP,3.0,3.0
rtx3090,0,1,8192,16,82,5151818,4,4,4,reg_fragment_minus_empty,reg_fragment_only,empty,134.53207702935,0.0,,134.53207702935,J,3.0,3.0
rtx3090,0,1,8192,16,82,5151818,4,4,4,reg_mma_minus_empty,reg_mma,empty,295.18043918235,221484981157888.0,FLOP,1.3327334324846496,pJ/FLOP,3.0,3.0
rtx3090,0,1,8192,16,82,5151818,4,4,4,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,61.96068210100003,221484981157888.0,FLOP,0.2797511676732188,pJ/FLOP,3.0,3.0
rtx3090,0,1,8192,16,82,5151818,4,4,4,reg_operand_minus_empty,reg_operand_only,empty,233.21975708135,27036740864.0,expected_reg_operand_ops,8626.030713335242,pJ/reg-op,3.0,3.0
rtx3090,0,1,8192,16,82,5481384,4,4,4,store_only_minus_empty,store_only,empty,453.34835749971,115065212928.0,expected_store_bytes,3939.9254211034627,pJ/byte,3.0,3.0
rtx3090,0,1,8192,16,82,5481384,4,4,4,store_path_minus_store_only,store_path,store_only,-49.641496996,115065212928.0,expected_store_bytes,-431.4205460781816,pJ/byte,3.0,3.0
