label,mode,kernel_regex,W_SM_KiB,blocks_per_SM,active_SM,ITER,reuse_factor,load_repeat,store_repeat,status,shared_accesses,shared_bytes,shared_bytes_source,shared_bank_conflicts,shared_inst,legacy_shared_read_accesses,legacy_shared_write_accesses,l1_hit_rate_pct,l2_hit_rate_pct,l1_accesses,l1_access_unit,l1_read_accesses,l1_write_accesses,l2_accesses,l2_access_unit,l2_read_accesses,l2_write_accesses,dram_accesses,dram_access_unit,dram_read_accesses,dram_write_accesses,shared_read_accesses,shared_write_accesses,l1_bytes,l2_bytes,dram_bytes,tensor_hmma_inst,spill_local_read_inst,spill_local_write_inst,stall_long_scoreboard_pct,stall_short_scoreboard_pct,stall_wait_pct,stall_not_selected_pct,missing_metrics,optional_missing_metrics,validation_notes,source_files,component_candidate,acceptance,acceptance_reason,expected_shared_bytes,shared_bytes_to_expected,l2_to_l1_bytes,dram_to_l2_bytes
addr_only_W64_B16,addr_only,global_addr_only_kernel,64,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,21.3034,46.4094,0,sectors,0,,1.0939e+06,sectors,1.0939e+06,,2.88773e+06,sectors,2.88773e+06,,0,0,0,1.81784e+08,1.4475e+08,0,,,0.002716,95.8172,308.059,62.2426,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_component_sep_ncu_scalarshared_20260705/addr_only_W64_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,,0.796275
clocked_empty_W64_B16,clocked_empty,clocked_empty_kernel,64,16,82,1000000,1,4,1,ok,0,0,sass,0,0,0,0,21.1128,55.079,0,sectors,0,,1.39085e+06,sectors,1.39085e+06,,3.24639e+06,sectors,3.24639e+06,,0,0,0,2.55347e+08,1.77452e+08,0,,,0.001384,0.000312,245.714,100.273,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_component_sep_ncu_scalarshared_20260705/clocked_empty_W64_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,,0.694945
dram_cg_load_only_W8192_B16,dram_cg_load_only,global_cg_load_only_kernel,8192,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,7e-06,0.160443,1.67936e+10,sectors,1.67936e+10,,1.68064e+10,sectors,1.68064e+10,,1.68228e+10,sectors,1.68228e+10,,0,0,5.37395e+11,5.39242e+11,5.3894e+11,0,,,1768.24,74.1252,236.086,10.9619,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_component_sep_ncu_scalarshared_20260705/dram_cg_load_only_W8192_B16_raw_metrics.csv,dram_sanity_path,accepted,pass,,,1.00344,0.99944
dram_load_only_W8192_B16,dram_load_only,global_load_only_kernel,8192,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,49.9997,0.163338,3.35872e+10,sectors,3.35872e+10,,1.68086e+10,sectors,1.68086e+10,,1.68241e+10,sectors,1.68241e+10,,0,0,1.07479e+12,5.39328e+11,5.38995e+11,0,,,1338.86,65.1606,152.837,19.7433,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_component_sep_ncu_scalarshared_20260705/dram_load_only_W8192_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,0.501798,0.999383
dram_mma_W8192_B16,dram_mma,global_mma_kernel,8192,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,49.9999,0.231574,8.3968e+09,sectors,8.3968e+09,,4.20213e+09,sectors,4.20213e+09,,4.20775e+09,sectors,4.20775e+09,,0,0,2.68698e+11,1.34922e+11,1.34821e+11,2.624e+08,,,108.567,115.401,258.454,56.3904,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_component_sep_ncu_scalarshared_20260705/dram_mma_W8192_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,0.502133,0.999251
empty_W64_B16,empty,empty_kernel,64,16,82,1000000,1,4,1,ok,0,0,sass,0,0,0,0,21.1509,16.0966,0,sectors,0,,0,sectors,0,,110592,sectors,110592,,0,0,0,4.23981e+06,3.59488e+06,0,,,0.11756,0.030084,366.646,99.9675,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_component_sep_ncu_scalarshared_20260705/empty_W64_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,,0.847887
global_l1_load_only_W16_B16,global_l1_load_only,global_l1_load_only_kernel,16,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,99.9991,48.3978,3.35872e+10,sectors,3.35872e+10,,2.59032e+06,sectors,2.59032e+06,,6.14099e+06,sectors,6.14099e+06,,0,0,1.07479e+12,3.76402e+08,3.00274e+08,0,,,17.4197,52.7511,210.023,80.9225,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_component_sep_ncu_scalarshared_20260705/global_l1_load_only_W16_B16_raw_metrics.csv,global_l1_hit_path,accepted,pass,,,0.00035021,0.797748
l2_cg_load_only_W64_B16,l2_cg_load_only,global_cg_load_only_kernel,64,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,6e-06,99.9313,1.67936e+10,sectors,1.67936e+10,,1.67976e+10,sectors,1.67976e+10,,1.24128e+07,sectors,1.24128e+07,,0,0,5.37395e+11,5.38035e+11,5.85991e+08,0,,,868.636,52.6343,309.019,15.4992,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_component_sep_ncu_scalarshared_20260705/l2_cg_load_only_W64_B16_raw_metrics.csv,l2_hit_path,accepted,pass,,,1.00119,0.00108913
l2_load_only_W64_B16,l2_load_only,global_load_only_kernel,64,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,88.3824,99.7322,3.35872e+10,sectors,3.35872e+10,,3.90438e+09,sectors,3.90438e+09,,8.09132e+06,sectors,8.09132e+06,,0,0,1.07479e+12,1.25281e+11,3.68831e+08,0,,,70.6814,50.5004,188.871,80.8788,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_component_sep_ncu_scalarshared_20260705/l2_load_only_W64_B16_raw_metrics.csv,l2_capacity_candidate,rejected,l1_hit_too_high_for_l2,,,0.116563,0.00294403
l2_mma_W64_B16,l2_mma,global_mma_kernel,64,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,99.9972,44.7625,8.3968e+09,sectors,8.3968e+09,,1.53917e+06,sectors,1.53917e+06,,3.69478e+06,sectors,3.69478e+06,,0,0,2.68698e+11,2.31516e+08,1.85169e+08,2.624e+08,,,0.03074,50.2162,325.973,59.7945,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_component_sep_ncu_scalarshared_20260705/l2_mma_W64_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,0.000861622,0.799811
