component,path,median,unit,ci,rows,confidence,reporting_status,evidence_level,power_final_rows,power_provisional_rows,power_reject_rows,measurement_scopes,power_state_status_counts,ncu_required,ncu_accepted_rows,ncu_denominator_rows,reliability_status,reliability_cautions,reliability_reasons,risks,next_action,source_artifact
tensor_mma_increment_duration_targeted,reg_mma_minus_reg_operand_only,0.10665776832378673,pJ/FLOP,0.08345353248067165-0.13353183373845223,12,medium-high,accepted,strong_candidate,24,0,0,gpu_device_total_energy_counter=24,ok=24,"tensor_increment_candidate,register_control_candidate",10,0,accepted,,,,use_with_auxiliary_range_not_as_single_final,results/summary/rtx3090_tensor_targeted_rf8_rf16_matched_control_summary_20260708.csv
tensor_mma_increment_fixed_iter_aux,reg_mma_minus_reg_operand_only,0.14563510742808028,pJ/FLOP,0.108536-0.201568,10,medium-high,accepted_auxiliary,auxiliary_support,20,0,0,gpu_device_total_energy_counter=20,ok=20,"tensor_increment_candidate,register_control_candidate",10,0,accepted,,,auxiliary_not_primary,use_to_bound_method_sensitivity_not_as_single_final,results/summary/rtx3090_tensor_fixed_iter_rf8_rf16_matched_control_summary_20260708.csv
tensor_mma_increment_rf8_duration_scaling_aux,reg_mma_minus_reg_operand_only,0.14311392977894904,pJ/FLOP,0.11532833618001187-0.15992343819986568,15,medium-high,accepted_auxiliary,auxiliary_support,30,0,0,gpu_device_total_energy_counter=30,caution=1;ok=29,"tensor_increment_candidate,register_control_candidate",10,0,accepted,,,power_state_caution_rows:1;auxiliary_not_primary,use_to_bound_method_sensitivity_not_as_single_final,results/summary/rtx3090_tensor_rf8_duration_scaling_matched_control_summary_20260708.csv
tensor_mma_increment_rf16_duration_scaling_aux,reg_mma_minus_reg_operand_only,0.07664658010202229,pJ/FLOP,0.054059047134561826-0.09480166280533711,15,medium-high,accepted_auxiliary,auxiliary_support,30,0,0,gpu_device_total_energy_counter=30,ok=30,"tensor_increment_candidate,register_control_candidate",10,0,accepted,,,auxiliary_not_primary,use_to_bound_method_sensitivity_not_as_single_final,results/summary/rtx3090_tensor_rf16_duration_scaling_matched_control_summary_20260708.csv
shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,0.14873523687352952,pJ/bit,0.12426786507364977-0.17908585345022285,10,medium-high,accepted,strong_candidate,30,0,0,gpu_device_total_energy_counter=30,ok=30,shared_memory_path,3,10,accepted,,,,keep_as_current_primary_candidate,results/summary/rtx3090_shared_fixediter_lr4_lr8_focus_matched_control_summary_20260708.csv
shared_l1_scalar_path_lr4_paired_30s_aux,shared_scalar_load_only_minus_clocked_empty,0.2363226800687383,pJ/bit,0.21234753084982103-0.2967710266789834,6,medium,accepted_auxiliary,auxiliary_support,18,0,0,gpu_device_total_energy_counter=18,ok=18,shared_memory_path,3,6,accepted,,,auxiliary_not_primary,use_to_bound_method_sensitivity_not_as_single_final,results/summary/rtx3090_shared_paired_lr4_30s_stability_matched_control_summary_20260708.csv
shared_l1_scalar_path_lr8_paired_30s_aux,shared_scalar_load_only_minus_clocked_empty,0.17683780985788863,pJ/bit,0.1499503129616267-0.18115958218032208,12,medium-high,accepted_auxiliary,auxiliary_support,36,0,0,gpu_device_total_energy_counter=36,ok=36,shared_memory_path,3,12,accepted,,,auxiliary_not_primary,use_to_bound_method_sensitivity_not_as_single_final,results/summary/rtx3090_shared_paired_lr8_30s_combined_matched_control_summary_20260708.csv
shared_l1_scalar_path_lr4_30s_aux,shared_scalar_load_only_minus_clocked_empty,0.2162184841866812,pJ/bit,0.18958184892467048-0.2345338862794146,9,medium-high,accepted_auxiliary,auxiliary_support,30,0,0,gpu_device_total_energy_counter=30,ok=20,shared_memory_path,3,9,accepted_with_caution,invalid_detail_rows:1,,reliability_accepted_with_caution;reliability_cautions:invalid_detail_rows:1;auxiliary_not_primary,use_to_bound_method_sensitivity_not_as_single_final,results/summary/rtx3090_shared_l2_30s_stability_matched_control_summary_20260708.csv
shared_l1_scalar_path_lr16_paired_30s_aux,shared_scalar_load_only_minus_clocked_empty,0.06354557112089149,pJ/bit,0.04571628485881329-0.10405951151729738,11,medium,accepted_auxiliary,auxiliary_support,36,0,0,gpu_device_total_energy_counter=36,ok=35;reject=1,shared_memory_path,3,11,accepted_with_caution,invalid_detail_rows:1,,power_state_reject_rows:1;reliability_accepted_with_caution;reliability_cautions:invalid_detail_rows:1;auxiliary_not_primary,use_to_bound_method_sensitivity_not_as_single_final,results/summary/rtx3090_shared_paired_lr16_30s_combined_matched_control_summary_20260708.csv
shared_l1_scalar_path_lr16_paired_60s_aux,shared_scalar_load_only_minus_clocked_empty,0.076818689336874,pJ/bit,0.04195117453052969-0.10610654663240027,5,low,accepted_low_stability_auxiliary,auxiliary_support,18,0,0,gpu_device_total_energy_counter=18,ok=18,shared_memory_path,3,5,accepted_low_stability,few_valid_rows;low_stability;invalid_detail_rows:1,,reliability_accepted_low_stability;reliability_cautions:few_valid_rows;low_stability;invalid_detail_rows:1;low_or_missing_confidence;auxiliary_not_primary,use_to_bound_method_sensitivity_not_as_single_final,results/summary/rtx3090_shared_paired_lr16_60s_stability_matched_control_summary_20260708.csv
