profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,pair,pairing,numerator_mode,control_mode,numerator_run_id,control_run_id,run_order_distance,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,delta_signal_fraction,denominator_column,denominator,denominator_scale,denominator_source,ncu_denominator_bytes_representative,numerator_energy_source,control_energy_source,numerator_energy_integration_method,control_energy_integration_method,numerator_nvml_total_energy_supported,control_nvml_total_energy_supported,numerator_power_semantics,control_power_semantics,numerator_power_sample_period_ms,control_power_sample_period_ms,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,8192,16,82,1,1,1,dram_cg_stream_path,dram_cg_load_only_minus_clocked_empty,median-control,dram_cg_load_only,clocked_empty,dram_cg_load_only_1783263688861_r0,clocked_empty_1783263741896_r0,53035,5.491489613,5.371312323,1.0223739158651044,1258.79961576,1008.31252001,187.72181905944998,1030.872419498435,227.9271962615651,0.18106710028184594,expected_dram_bytes,4713940853982.5,1.0020763118092606,ncu_actual_same_working_set,538511000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,48.35173018112952,pJ/byte,6.04396627264119,True,,results/raw/rtx3090_finalplan_dram_energy_20260705.csv
rtx3090,0,1,8192,16,82,1,4,1,dram_cg_stream_path,dram_cg_load_only_minus_clocked_empty,median-control,dram_cg_load_only,clocked_empty,dram_cg_load_only_1783263709960_r0,clocked_empty_1783263646075_r0,63885,5.499596346,5.501454949,1.0003379526210778,1249.28781731,1098.58156005,199.68927678844108,1098.2104169610932,151.07740034890685,0.12093082014856332,expected_dram_bytes,4714146834440.0,1.0020763118092606,ncu_actual_same_working_set,538511000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,32.04766538988248,pJ/byte,4.00595817373531,True,,results/raw/rtx3090_finalplan_dram_energy_20260705.csv
rtx3090,0,1,8192,16,82,1,16,1,dram_cg_stream_path,dram_cg_load_only_minus_clocked_empty,median-control,dram_cg_load_only,clocked_empty,dram_cg_load_only_1783263731800_r0,clocked_empty_1783263773878_r0,42078,5.492809721,5.506551479,1.0025017720798632,1240.87002449,1137.08200803,206.4962095362988,1134.244387090635,106.62563739936513,0.085928127277624,expected_dram_bytes,4717377900440.0,1.0020763118092606,ncu_actual_same_working_set,538511000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,22.602733902115393,pJ/byte,2.825341737764424,True,,results/raw/rtx3090_finalplan_dram_energy_20260705.csv
rtx3090,0,1,16,16,82,1,1,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,median-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783263276234_r0,clocked_empty_1783263062975_r0,213259,5.613591709,5.359618752,1.0473863848814295,1149.39514685,1017.18032279,189.78594744456927,1065.3808210595437,84.01432579045627,0.07309438013611208,expected_l1_bytes,37485689970775.0,1.9999992556688262,ncu_actual_same_working_set,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,2.24123727897116,pJ/byte,0.280154659871395,True,,results/raw/rtx3090_finalplan_l1_energy_20260705.csv
rtx3090,0,1,16,16,82,1,2,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,median-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783262678215_r0,clocked_empty_1783262667244_r0,10971,5.643301507,5.484450425,1.0289639015198135,1164.88592003,907.061865927,165.3879232442875,933.333916484088,231.55200354591204,0.198776549329353,expected_l1_bytes,41964745634000.0,1.9999992556688262,ncu_actual_same_working_set,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,5.517774504471384,pJ/byte,0.689721813058923,True,,results/raw/rtx3090_finalplan_l1_energy_20260705.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,median-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783262699424_r0,clocked_empty_1783263095040_r0,395616,5.740559203,5.601712399,1.0247864927918804,1171.80313512,1090.24794709,194.62761909815785,1117.2713699719086,54.53176514809138,0.04653662677093536,expected_l1_bytes,43574856289300.0,1.9999992556688262,ncu_actual_same_working_set,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,1.2514502580581521,pJ/byte,0.15643128225726902,True,,results/raw/rtx3090_finalplan_l1_energy_20260705.csv
rtx3090,0,1,16,16,82,1,8,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,median-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783262720510_r0,clocked_empty_1783262710223_r0,10287,5.580476011,5.478769898,1.0185636766817177,1177.09065863,1105.17608232,201.71974784402596,1125.6922137885558,51.39844484144419,0.04366566369770205,expected_l1_bytes,44785746947000.0,1.9999992556688262,ncu_actual_same_working_set,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,1.147651838927008,pJ/byte,0.143456479865876,True,,results/raw/rtx3090_finalplan_l1_energy_20260705.csv
rtx3090,0,1,16,16,82,1,16,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,median-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783263148360_r0,clocked_empty_1783263137369_r0,10991,5.610064182,5.524392029,1.015507978534157,1159.28367686,1113.40122088,201.5427607300966,1130.6678231133112,28.6158537466888,0.024684082350056733,expected_l1_bytes,45341004956800.0,1.9999992556688262,ncu_actual_same_working_set,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.6311252645139518,pJ/byte,0.07889065806424397,True,,results/raw/rtx3090_finalplan_l1_energy_20260705.csv
rtx3090,0,1,64,16,82,1,1,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,median-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783262763166_r0,clocked_empty_1783263497567_r0,734401,5.607497259,5.366141216,1.0449775794718854,1089.98829147,1003.85353241,187.07176945266585,1049.0044344421035,40.98385702789642,0.03760027272643821,expected_l1_bytes,16164292755456.0,1.0,expected_no_ncu_match,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,2.5354562459321315,pJ/byte,0.31693203074151644,False,missing_ncu_denominator,results/raw/rtx3090_finalplan_l1_energy_20260705.csv
rtx3090,0,1,64,16,82,1,2,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,median-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783262987913_r0,clocked_empty_1783263316521_r0,328608,5.621213341,5.439159627,1.0334709268498545,1091.60864773,909.366198507,167.1887315078793,939.8035280169582,151.8051197130418,0.13906551585929675,expected_l1_bytes,17538126118912.0,1.0,expected_no_ncu_match,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,8.655720610273454,pJ/byte,1.0819650762841817,False,missing_ncu_denominator,results/raw/rtx3090_finalplan_l1_energy_20260705.csv
rtx3090,0,1,64,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,median-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783263009098_r0,clocked_empty_1783263201382_r0,192284,5.576695205,5.527577751,1.0088858911104623,1082.23827753,1088.84190081,196.98355226446455,1098.5172313771063,-16.278953847106322,-0.014819024574333668,expected_l1_bytes,17487683518464.0,1.0,expected_no_ncu_match,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,-0.9308810872474067,pJ/byte,-0.11636013590592584,False,missing_ncu_denominator;negative_coefficient,results/raw/rtx3090_finalplan_l1_energy_20260705.csv
rtx3090,0,1,64,16,82,1,8,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,median-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783263233460_r0,clocked_empty_1783263358798_r0,125338,5.66646763,5.493235853,1.0315354704650799,1082.27925616,1105.40816812,201.23078595220113,1140.2677347576064,-57.988478597606445,-0.05085514290197241,expected_l1_bytes,18222748794880.0,1.0,expected_no_ncu_match,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,-3.1822026001861654,pJ/byte,-0.3977753250232707,False,missing_ncu_denominator;negative_coefficient,results/raw/rtx3090_finalplan_l1_energy_20260705.csv
rtx3090,0,1,64,16,82,1,16,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,median-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783263052244_r0,clocked_empty_1783263572517_r0,520273,5.576810458,5.569943434,1.0012328714072898,1062.86728286,1140.84118696,204.82096460730412,1142.2476974396614,-79.38041457966142,-0.06949492194870863,expected_l1_bytes,18218320658432.0,1.0,expected_no_ncu_match,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,-4.357175179201916,pJ/byte,-0.5446468974002395,False,missing_ncu_denominator;negative_coefficient,results/raw/rtx3090_finalplan_l1_energy_20260705.csv
rtx3090,0,1,64,16,82,1,1,1,l2_hit_cg_path,l2_cg_load_only_minus_clocked_empty,median-control,l2_cg_load_only,clocked_empty,l2_cg_load_only_1783263305745_r0,clocked_empty_1783263497567_r0,191822,5.606829696,5.366141216,1.0448531766704814,1244.734793,1003.85353241,187.07176945266585,1048.8795522504727,195.8552407495274,0.15734696406893753,expected_l2_bytes,12826694346165.0,1.0010454131335746,ncu_actual_same_working_set,537957000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,15.269346525598417,pJ/byte,1.908668315699802,True,,results/raw/rtx3090_finalplan_l2_energy_20260705.csv
