label,mode,kernel_regex,W_SM_KiB,blocks_per_SM,active_SM,ITER,reuse_factor,load_repeat,store_repeat,status,shared_accesses,shared_bytes,shared_bytes_source,shared_bank_conflicts,shared_inst,legacy_shared_read_accesses,legacy_shared_write_accesses,l1_hit_rate_pct,l2_hit_rate_pct,l1_accesses,l1_access_unit,l1_read_accesses,l1_write_accesses,l2_accesses,l2_access_unit,l2_read_accesses,l2_write_accesses,dram_accesses,dram_access_unit,dram_read_accesses,dram_write_accesses,shared_read_accesses,shared_write_accesses,l1_bytes,l2_bytes,dram_bytes,tensor_hmma_inst,spill_local_read_inst,spill_local_write_inst,stall_long_scoreboard_pct,stall_short_scoreboard_pct,stall_wait_pct,stall_not_selected_pct,missing_metrics,optional_missing_metrics,validation_notes,source_files,component_candidate,acceptance,acceptance_reason,expected_shared_bytes,shared_bytes_to_expected,l2_to_l1_bytes,dram_to_l2_bytes,tensor_l2_bytes_per_hmma,tensor_dram_bytes_per_hmma,register_l2_bytes_per_op,register_dram_bytes_per_op
clocked_empty_W64_B16,clocked_empty,clocked_empty_kernel,64,16,82,1000000,1,1,1,ok,0,0,sass,0,0,0,0,20.8841,72.874,0,sectors,0,,988096,sectors,988096,,3.20812e+06,sectors,3.20812e+06,,0,0,0,2.04873e+08,1.56682e+08,0,,,0.002485,0.000585,378.947,34.0443,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/clocked_empty_W64_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,,0.764776,,,,
dram_cg_load_only_W8192_B16_LR16,dram_cg_load_only,global_cg_load_only_kernel,8192,16,82,100000,1,16,1,ok,0,0,sass,0,0,0,0,2e-06,0.191041,6.71744e+10,sectors,6.71744e+10,,6.72186e+10,sectors,6.72186e+10,,6.72761e+10,sectors,6.72761e+10,,0,0,2.14958e+12,2.15615e+12,2.15497e+12,0,,,1839.39,77.6475,230.512,10.512,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/dram_cg_load_only_W8192_B16_LR16_raw_metrics.csv,dram_sanity_path,accepted,pass,,,1.00306,0.999453,,,,
dram_cg_load_only_W8192_B16_LR4,dram_cg_load_only,global_cg_load_only_kernel,8192,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,6e-06,0.104067,1.67936e+10,sectors,1.67936e+10,,1.68016e+10,sectors,1.68016e+10,,1.68197e+10,sectors,1.68197e+10,,0,0,5.37395e+11,5.38836e+11,5.38608e+11,0,,,1747.88,74.165,236.244,11.0743,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/dram_cg_load_only_W8192_B16_LR4_raw_metrics.csv,dram_sanity_path,accepted,pass,,,1.00268,0.999577,,,,
dram_cg_load_only_W8192_B16_LR8,dram_cg_load_only,global_cg_load_only_kernel,8192,16,82,100000,1,8,1,ok,0,0,sass,0,0,0,0,3e-06,0.081395,3.35872e+10,sectors,3.35872e+10,,3.36066e+10,sectors,3.36066e+10,,3.36376e+10,sectors,3.36376e+10,,0,0,1.07479e+12,1.07786e+12,1.07733e+12,0,,,1819.66,76.4441,232.476,10.6825,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/dram_cg_load_only_W8192_B16_LR8_raw_metrics.csv,dram_sanity_path,accepted,pass,,,1.00286,0.999508,,,,
global_l1_load_only_W16_B16_LR16,global_l1_load_only,global_l1_load_only_kernel,16,16,82,100000,1,16,1,ok,0,0,sass,0,0,0,0,99.9992,24.9571,1.34349e+11,sectors,1.34349e+11,,1.0906e+07,sectors,1.0906e+07,,2.48529e+07,sectors,2.48529e+07,,0,0,4.29916e+12,1.56133e+09,1.22093e+09,0,,,19.1984,56.592,212.32,79.4642,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/global_l1_load_only_W16_B16_LR16_raw_metrics.csv,global_l1_hit_path,accepted,pass,,,0.000363171,0.781981,,,,
global_l1_load_only_W16_B16_LR4,global_l1_load_only,global_l1_load_only_kernel,16,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,99.9982,66.9942,3.35872e+10,sectors,3.35872e+10,,5.66108e+06,sectors,5.66108e+06,,7.19713e+06,sectors,7.19713e+06,,0,0,1.07479e+12,5.92794e+08,4.52661e+08,0,,,17.4469,52.7524,210.022,80.9237,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/global_l1_load_only_W16_B16_LR4_raw_metrics.csv,global_l1_hit_path,accepted,pass,,,0.000551544,0.763606,,,,
global_l1_load_only_W16_B16_LR8,global_l1_load_only,global_l1_load_only_kernel,16,16,82,100000,1,8,1,ok,0,0,sass,0,0,0,0,99.9997,27.0991,6.71744e+10,sectors,6.71744e+10,,1.40358e+06,sectors,1.40358e+06,,9.36747e+06,sectors,9.36747e+06,,0,0,2.14958e+12,4.42726e+08,3.53405e+08,0,,,18.5812,55.2786,211.504,79.9835,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/global_l1_load_only_W16_B16_LR8_raw_metrics.csv,global_l1_hit_path,accepted,pass,,,0.000205959,0.798248,,,,
l2_cg_load_only_W64_B16_LR16,l2_cg_load_only,global_cg_load_only_kernel,64,16,82,100000,1,16,1,ok,0,0,sass,0,0,0,0,2e-06,99.9232,6.71744e+10,sectors,6.71744e+10,,6.71875e+10,sectors,6.71875e+10,,4.25513e+07,sectors,4.25513e+07,,0,0,2.14958e+12,2.15181e+12,1.97364e+09,0,,,984.081,56.9352,305.09,13.4612,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/l2_cg_load_only_W64_B16_LR16_raw_metrics.csv,l2_hit_path,accepted,pass,,,1.00104,0.0009172,,,,
l2_cg_load_only_W64_B16_LR4,l2_cg_load_only,global_cg_load_only_kernel,64,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,6e-06,99.8978,1.67936e+10,sectors,1.67936e+10,,1.6797e+10,sectors,1.6797e+10,,1.19183e+07,sectors,1.19183e+07,,0,0,5.37395e+11,5.37997e+11,5.40672e+08,0,,,867.454,52.6329,309.007,15.4794,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/l2_cg_load_only_W64_B16_LR4_raw_metrics.csv,l2_hit_path,accepted,pass,,,1.00112,0.00100497,,,,
l2_cg_load_only_W64_B16_LR8,l2_cg_load_only,global_cg_load_only_kernel,64,16,82,100000,1,8,1,ok,0,0,sass,0,0,0,0,3e-06,99.9368,3.35872e+10,sectors,3.35872e+10,,3.35976e+10,sectors,3.35976e+10,,2.42346e+07,sectors,2.42346e+07,,0,0,1.07479e+12,1.07618e+12,1.26191e+09,0,,,945.037,55.4243,306.457,14.1222,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/l2_cg_load_only_W64_B16_LR8_raw_metrics.csv,l2_hit_path,accepted,pass,,,1.00129,0.00117258,,,,
reg_mma_W2048_B16_RF1,reg_mma,reg_mma_kernel,2048,16,82,100000,1,1,1,ok,0,0,sass,0,0,0,0,41.2587,33.0425,0,sectors,0,,0,sectors,0,,378244,sectors,378244,,0,0,0,1.77891e+07,1.21038e+07,2.624e+08,,,0.02072,0.00647,293.027,23.3948,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/reg_mma_W2048_B16_RF1_raw_metrics.csv,tensor_increment_candidate,accepted,pass,,,,0.680405,0.0677938,0.0461273,,
reg_mma_W2048_B16_RF16,reg_mma,reg_mma_kernel,2048,16,82,100000,16,1,1,ok,0,0,sass,0,0,0,0,35.5771,32.9416,0,sectors,0,,4.68674e+06,sectors,4.68674e+06,,9.30035e+06,sectors,9.30035e+06,,0,0,0,7.31657e+08,5.20539e+08,4.1984e+09,,,0.006081,0.001642,531.208,77.403,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/reg_mma_W2048_B16_RF16_raw_metrics.csv,tensor_increment_candidate,accepted,pass,,,,0.711452,0.17427,0.123985,,
reg_mma_W2048_B16_RF2,reg_mma,reg_mma_kernel,2048,16,82,100000,2,1,1,ok,0,0,sass,0,0,0,0,43.787,47.9334,0,sectors,0,,435906,sectors,435906,,1.55476e+06,sectors,1.55476e+06,,0,0,0,9.86899e+07,7.44187e+07,7.872e+08,,,0.013766,0.003887,330.346,37.4579,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/reg_mma_W2048_B16_RF2_raw_metrics.csv,tensor_increment_candidate,accepted,pass,,,,0.754066,0.125368,0.094536,,
reg_mma_W2048_B16_RF4,reg_mma,reg_mma_kernel,2048,16,82,100000,4,1,1,ok,0,0,sass,0,0,0,0,34.9586,77.5795,0,sectors,0,,0,sectors,0,,1.99776e+06,sectors,1.99776e+06,,0,0,0,8.02851e+07,6.39284e+07,1.0496e+09,,,0.010039,0.002957,408.943,28.9519,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/reg_mma_W2048_B16_RF4_raw_metrics.csv,tensor_increment_candidate,accepted,pass,,,,0.796267,0.0764911,0.0609074,,
reg_mma_W2048_B16_RF8,reg_mma,reg_mma_kernel,2048,16,82,100000,8,1,1,ok,0,0,sass,0,0,0,0,42.1429,97.3512,0,sectors,0,,0,sectors,0,,3.78346e+06,sectors,3.78346e+06,,0,0,0,1.5188e+08,1.21071e+08,2.0992e+09,,,0.010504,0.002438,489.976,55.7892,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/reg_mma_W2048_B16_RF8_raw_metrics.csv,tensor_increment_candidate,accepted,pass,,,,0.797149,0.0723514,0.0576748,,
reg_operand_only_W2048_B16_RF1,reg_operand_only,reg_operand_only_kernel,2048,16,82,100000,1,1,1,ok,0,0,sass,0,0,0,0,34.1071,19.9438,0,sectors,0,,0,sectors,0,,633196,sectors,633196,,0,0,0,2.5177e+07,2.02623e+07,0,,,0.020298,670.655,327.265,5.35134,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_factor_stability_20260708/reg_operand_only_W2048_B16_RF1_raw_metrics.csv,register_control_candidate,accepted,pass,,,,0.804794,,,0.191898,0.154438
