label,mode,kernel_regex,W_SM_KiB,blocks_per_SM,active_SM,ITER,reuse_factor,load_repeat,store_repeat,status,shared_accesses,shared_bytes,shared_bytes_source,shared_bank_conflicts,shared_inst,legacy_shared_read_accesses,legacy_shared_write_accesses,l1_hit_rate_pct,l2_hit_rate_pct,l1_accesses,l1_access_unit,l1_read_accesses,l1_write_accesses,l2_accesses,l2_access_unit,l2_read_accesses,l2_write_accesses,dram_accesses,dram_access_unit,dram_read_accesses,dram_write_accesses,shared_read_accesses,shared_write_accesses,l1_bytes,l2_bytes,dram_bytes,tensor_hmma_inst,spill_local_read_inst,spill_local_write_inst,stall_long_scoreboard_pct,stall_short_scoreboard_pct,stall_wait_pct,stall_not_selected_pct,missing_metrics,optional_missing_metrics,validation_notes,source_files,component_candidate,acceptance,acceptance_reason,expected_shared_bytes,shared_bytes_to_expected,l2_to_l1_bytes,dram_to_l2_bytes
addr_only_W64_B16,addr_only,global_addr_only_kernel,64,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,20.9413,61.0798,0,sectors,0,,1.08721e+06,sectors,1.08721e+06,,1.80271e+06,sectors,1.80271e+06,,0,0,0,1.47209e+08,9.93574e+07,0,,,0.002881,95.8083,308.071,62.2306,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/addr_only_W64_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,,0.674941
clocked_empty_W64_B16,clocked_empty,clocked_empty_kernel,64,16,82,1000000,4,4,1,ok,0,0,sass,0,0,0,0,21.17,57.6372,0,sectors,0,,1.33186e+06,sectors,1.33186e+06,,3.25856e+06,sectors,3.25856e+06,,0,0,0,2.61842e+08,1.58831e+08,0,,,0.001438,0.000313,245.714,100.11,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/clocked_empty_W64_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,,0.606591
dram_cg_load_only_W8192_B16,dram_cg_load_only,global_cg_load_only_kernel,8192,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,6e-06,0.156441,1.67936e+10,sectors,1.67936e+10,,1.68054e+10,sectors,1.68054e+10,,1.68135e+10,sectors,1.68135e+10,,0,0,5.37395e+11,5.3889e+11,5.38511e+11,0,,,1770.6,74.1217,236.11,10.9534,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/dram_cg_load_only_W8192_B16_raw_metrics.csv,dram_sanity_path,accepted,pass,,,1.00278,0.999297
dram_load_only_W8192_B16,dram_load_only,global_load_only_kernel,8192,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,49.9997,0.162914,3.35872e+10,sectors,3.35872e+10,,1.68081e+10,sectors,1.68081e+10,,1.68151e+10,sectors,1.68151e+10,,0,0,1.07479e+12,5.39014e+11,5.38596e+11,0,,,1340.46,65.1464,152.842,19.6557,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/dram_load_only_W8192_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,0.501506,0.999225
dram_mma_W8192_B16,dram_mma,global_mma_kernel,8192,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,49.9999,0.251429,8.3968e+09,sectors,8.3968e+09,,4.20256e+09,sectors,4.20256e+09,,4.20504e+09,sectors,4.20504e+09,,0,0,2.68698e+11,1.34858e+11,1.34716e+11,1.0496e+09,,,70.4117,103.392,292.117,54.7522,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/dram_mma_W8192_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,0.501894,0.998947
empty_W64_B16,empty,empty_kernel,64,16,82,1000000,4,4,1,ok,0,0,sass,0,0,0,0,21.0938,3241.94,0,sectors,0,,0,sectors,0,,188,sectors,188,,0,0,0,660224,6016,0,,,0.129696,0.029991,366.646,99.967,,spill_local_read_inst;spill_local_write_inst,l2_hit_rate_pct_out_of_range,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/empty_W64_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,,0.00911206
global_l1_load_only_W16_B16,global_l1_load_only,global_l1_load_only_kernel,16,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,99.9991,58.1914,3.35872e+10,sectors,3.35872e+10,,2.49634e+06,sectors,2.49634e+06,,4.3202e+06,sectors,4.3202e+06,,0,0,1.07479e+12,3.14066e+08,2.19269e+08,0,,,17.4289,52.7462,210.023,80.9203,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/global_l1_load_only_W16_B16_raw_metrics.csv,global_l1_hit_path,accepted,pass,,,0.000292212,0.698162
l2_cg_load_only_W64_B16,l2_cg_load_only,global_cg_load_only_kernel,64,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,6e-06,99.9409,1.67936e+10,sectors,1.67936e+10,,1.67978e+10,sectors,1.67978e+10,,9.80863e+06,sectors,9.80863e+06,,0,0,5.37395e+11,5.37957e+11,4.83025e+08,0,,,866.815,52.6345,308.991,15.5027,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/l2_cg_load_only_W64_B16_raw_metrics.csv,l2_hit_path,accepted,pass,,,1.00105,0.000897888
l2_load_only_W64_B16,l2_load_only,global_load_only_kernel,64,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,88.3689,99.7936,3.35872e+10,sectors,3.35872e+10,,3.90919e+09,sectors,3.90919e+09,,6.16224e+06,sectors,6.16224e+06,,0,0,1.07479e+12,1.25376e+11,2.95498e+08,0,,,70.7279,50.5002,188.871,80.8411,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/l2_load_only_W64_B16_raw_metrics.csv,l2_capacity_candidate,rejected,l1_hit_too_high_for_l2,,,0.116652,0.00235689
l2_mma_W64_B16,l2_mma,global_mma_kernel,64,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,99.9968,61.7257,8.3968e+09,sectors,8.3968e+09,,1.76085e+06,sectors,1.76085e+06,,3.11888e+06,sectors,3.11888e+06,,0,0,2.68698e+11,2.3418e+08,1.60002e+08,1.0496e+09,,,0.033717,45.2919,368.384,45.1212,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/l2_mma_W64_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,0.000871536,0.683244
reg_fragment_only_W2048_B16,reg_fragment_only,reg_fragment_only_kernel,2048,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,28.1555,78.0094,0,sectors,0,,229976,sectors,229976,,244968,sectors,244968,,0,0,0,3.36911e+07,1.8176e+07,0,,,0.010795,258.054,22.8771,104.063,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/reg_fragment_only_W2048_B16_raw_metrics.csv,register_control_candidate,accepted,pass,,,,0.53949
reg_mma_W2048_B16,reg_mma,reg_mma_kernel,2048,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,36.4199,40.8386,0,sectors,0,,753952,sectors,753952,,1.62581e+06,sectors,1.62581e+06,,0,0,0,1.26372e+08,8.09829e+07,1.0496e+09,,,0.012802,0.002958,409.317,30.189,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/reg_mma_W2048_B16_raw_metrics.csv,tensor_increment_candidate,accepted,pass,,,,0.640829
reg_operand_only_W2048_B16,reg_operand_only,reg_operand_only_kernel,2048,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,31.4046,60.1825,0,sectors,0,,732094,sectors,732094,,1.51327e+06,sectors,1.51327e+06,,0,0,0,1.21153e+08,7.73731e+07,0,,,0.010143,788.11,171.431,12.8754,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/reg_operand_only_W2048_B16_raw_metrics.csv,register_control_candidate,accepted,pass,,,,0.63864
reg_pressure_P256_B16,reg_pressure,reg_pressure_kernel,1,16,82,100000,4,4,1,ok,0,0,sass,0,0,0,0,21.4367,67.282,0,sectors,0,,274699,sectors,274699,,430648,sectors,430648,,0,0,0,4.21656e+07,2.5264e+07,0,,,0.006855,0.001401,222.857,109.719,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_finalplan_ncu_lr4_20260705/reg_pressure_P256_B16_raw_metrics.csv,register_control_candidate,accepted,pass,,,,0.599161
