input_file,row_index,run_id,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,elapsed_s,net_E_J,average_power_W,group_rows,group_power_median_W,group_power_mad_W,average_power_delta_W,endpoint_after_W,group_endpoint_after_median_W,endpoint_after_ratio,temp_C,group_temp_median_C,clock_sm_mhz,group_clock_sm_median_mhz,status,coefficient_eligible,reasons,notes
results/raw/rtx3090_l1_60s_stability_20260708.csv,2,clocked_empty_1783468123154_r0,clocked_empty,16,16,82,1,4,1,60.050341888,17235.4001942,287.01585457,8,284.899121113,0.8399729395,2.1167334565,247.535,250.378,0.988645168505,73,76,1920,1905,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,3,global_l1_load_only_1783468243652_r0,global_l1_load_only,16,16,82,1,4,1,67.394238424,19786.9963451,293.600711393,8,291.466018338,1.27518196,2.134693055,275.905,279.1515,0.988370114436,78,78.5,1905,1897.5,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,4,global_l1_load_only_1783468363170_r0,global_l1_load_only,16,16,82,1,4,1,66.617345383,19191.505768,288.085717881,8,291.466018338,1.27518196,-3.380300457,278.548,279.1515,0.997838091502,78,78.5,1890,1897.5,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,5,clocked_empty_1783468482547_r0,clocked_empty,16,16,82,1,4,1,66.512995781,18918.7205105,284.436451679,8,284.899121113,0.8399729395,-0.4626694345,251.129,250.378,1.00299946481,76,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,6,clocked_empty_1783468602253_r0,clocked_empty,16,16,82,1,4,1,66.637773383,18735.0270524,281.147254797,8,284.899121113,0.8399729395,-3.7518663165,249.598,250.378,0.996884710318,76,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,7,global_l1_load_only_1783468724285_r0,global_l1_load_only,16,16,82,1,4,1,67.229768722,19705.2921042,293.103672358,8,291.466018338,1.27518196,1.63765402,278.61,279.1515,0.998060193121,79,78.5,1890,1897.5,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,8,global_l1_load_only_1783468843277_r0,global_l1_load_only,16,16,82,1,4,1,66.012533365,19223.7950357,291.214320308,8,291.466018338,1.27518196,-0.25169803,279.693,279.1515,1.00193980688,78,78.5,1890,1897.5,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,9,clocked_empty_1783468963661_r0,clocked_empty,16,16,82,1,4,1,67.492790376,19173.3204021,284.079533463,8,284.899121113,0.8399729395,-0.8195876505,249.627,250.378,0.997000535191,75,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,10,clocked_empty_1783469082573_r0,clocked_empty,16,16,82,1,4,1,66.058533943,18853.3338263,285.403455102,8,284.899121113,0.8399729395,0.5043339885,253.477,250.378,1.01237728554,76,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,11,global_l1_load_only_1783469205732_r0,global_l1_load_only,16,16,82,1,4,1,70.19646177,20523.9522191,292.378728238,8,291.466018338,1.27518196,0.9127099,279.783,279.1515,1.00226221245,79,78.5,1890,1897.5,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,12,global_l1_load_only_1783469336286_r0,global_l1_load_only,16,16,82,1,4,1,77.70941769,21160.7589896,272.306235443,8,291.466018338,1.27518196,-19.159782895,171.758,279.1515,0.61528596479,68,78.5,1920,1897.5,reject,false,avg_power_low_outlier,endpoint_power_after_low;temperature_outlier
results/raw/rtx3090_l1_60s_stability_20260708.csv,13,clocked_empty_1783469457078_r0,clocked_empty,16,16,82,1,4,1,67.974899666,19424.4719369,285.759479342,8,284.899121113,0.8399729395,0.8603582285,249.255,250.378,0.99551478165,77,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,14,clocked_empty_1783469577877_r0,clocked_empty,16,16,82,1,4,1,67.913101874,19379.8043524,285.361790548,8,284.899121113,0.8399729395,0.4626694345,255.311,250.378,1.01970221026,77,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,15,global_l1_load_only_1783469699157_r0,global_l1_load_only,16,16,82,1,4,1,68.379157896,19947.4117886,291.717716368,8,291.466018338,1.27518196,0.25169803,282.857,279.1515,1.013274154,80,78.5,1905,1897.5,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,16,global_l1_load_only_1783469819028_r0,global_l1_load_only,16,16,82,1,4,1,67.0639296,19509.305261,290.90608584,8,291.466018338,1.27518196,-0.559932498,283.456,279.1515,1.01541994222,79,78.5,1905,1897.5,ok,true,,
results/raw/rtx3090_l1_60s_stability_20260708.csv,17,clocked_empty_1783469938347_r0,clocked_empty,16,16,82,1,4,1,66.451095726,18869.51821,283.960979181,8,284.899121113,0.8399729395,-0.9381419325,254.971,250.378,1.01834426347,77,76,1905,1905,ok,true,,
