input_file,row_index,run_id,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,elapsed_s,net_E_J,average_power_W,group_rows,group_power_median_W,group_power_mad_W,average_power_delta_W,endpoint_after_W,group_endpoint_after_median_W,endpoint_after_ratio,temp_C,group_temp_median_C,clock_sm_mhz,group_clock_sm_median_mhz,status,coefficient_eligible,reasons,notes
results/raw/rtx3090_l1_duration_scaling_20260708.csv,2,clocked_empty_1783448912497_r0,clocked_empty,16,16,82,1,4,1,9.41067582,2147.4391643,228.191811659,15,258.500358991,12.112602688,-30.308547332,256.258,253.39,1.01131852086,70,75,1920,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,3,global_l1_load_only_1783448932333_r0,global_l1_load_only,16,16,82,1,4,1,11.221987004,2619.63862914,233.438038041,15,266.582080652,12.592684437,-33.144042611,293.386,281.789,1.04115490669,73,78,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,4,global_l1_load_only_1783448952321_r0,global_l1_load_only,16,16,82,1,4,1,11.379588948,2653.86356757,233.212603697,15,266.582080652,12.592684437,-33.369476955,297.411,281.789,1.05543864381,74,78,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,5,clocked_empty_1783448974107_r0,clocked_empty,16,16,82,1,4,1,11.416235096,2472.93307924,216.61546547,15,258.500358991,12.112602688,-41.884893521,248.475,253.39,0.980603023008,73,75,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,6,clocked_empty_1783448993853_r0,clocked_empty,16,16,82,1,4,1,11.14483001,2412.46881972,216.465286375,15,258.500358991,12.112602688,-42.035072616,249.453,253.39,0.984462685978,73,75,1920,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,7,global_l1_load_only_1783449014060_r0,global_l1_load_only,16,16,82,1,4,1,11.56952877,2656.88159589,229.644754658,15,266.582080652,12.592684437,-36.937325994,294.78,281.789,1.04610187055,76,78,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,8,global_l1_load_only_1783449034086_r0,global_l1_load_only,16,16,82,1,4,1,11.420950514,2616.9998369,229.14028335,15,266.582080652,12.592684437,-37.441797302,295.701,281.789,1.0493702735,76,78,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,9,clocked_empty_1783449055799_r0,clocked_empty,16,16,82,1,4,1,11.368157726,2518.97401013,221.581550049,15,258.500358991,12.112602688,-36.918808942,251.097,253.39,0.990950708394,74,75,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,10,clocked_empty_1783449075698_r0,clocked_empty,16,16,82,1,4,1,11.304073248,2483.41579635,219.692118218,15,258.500358991,12.112602688,-38.808240773,252.258,253.39,0.995532578239,74,75,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,11,global_l1_load_only_1783449096053_r0,global_l1_load_only,16,16,82,1,4,1,11.776288051,2700.23347368,229.294108805,15,266.582080652,12.592684437,-37.287971847,295.791,281.789,1.04968966141,77,78,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,12,clocked_empty_1783449137131_r0,clocked_empty,16,16,82,1,4,1,22.436867183,5799.93822145,258.500358991,15,258.500358991,12.112602688,0,250.928,253.39,0.990283752319,74,75,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,13,global_l1_load_only_1783449178015_r0,global_l1_load_only,16,16,82,1,4,1,22.211641699,5881.40181204,264.789153892,15,266.582080652,12.592684437,-1.79292676,277.864,281.789,0.986071138334,77,78,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,14,global_l1_load_only_1783449219378_r0,global_l1_load_only,16,16,82,1,4,1,22.753045778,6065.55428466,266.582080652,15,266.582080652,12.592684437,0,278.384,281.789,0.987916490708,77,78,1890,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,15,clocked_empty_1783449258771_r0,clocked_empty,16,16,82,1,4,1,22.613172458,5785.18320975,255.832445469,15,258.500358991,12.112602688,-2.667913522,253.199,253.39,0.99924622124,75,75,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,16,clocked_empty_1783449300112_r0,clocked_empty,16,16,82,1,4,1,22.718516865,5912.52908002,260.251543494,15,258.500358991,12.112602688,1.751184503,255.567,253.39,1.00859149927,75,75,1905,1905,ok,true,,
results/raw/rtx3090_l1_duration_scaling_20260708.csv,17,global_l1_load_only_1783449341901_r0,global_l1_load_only,16,16,82,1,4,1,23.135586745,6224.44543701,269.042039245,15,266.582080652,12.592684437,2.459958593,279.099,281.789,0.990453850221,78,78,1905,1905,ok,true,,
