profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,pair,pairing,numerator_mode,control_mode,numerator_run_id,control_run_id,run_order_distance,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,delta_signal_fraction,denominator_column,denominator,denominator_scale,denominator_source,ncu_denominator_bytes_representative,numerator_energy_source,control_energy_source,numerator_energy_integration_method,control_energy_integration_method,numerator_nvml_total_energy_supported,control_nvml_total_energy_supported,numerator_power_semantics,control_power_semantics,numerator_power_sample_period_ms,control_power_sample_period_ms,numerator_power_state_status,control_power_state_status,numerator_power_state_reasons,control_power_state_reasons,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783448932333_r0,clocked_empty_1783448912497_r0,19836,11.221987004,9.41067582,1.1924740814204353,2619.63862914,2147.4391643,228.19181165885703,2560.7655448549094,58.8730842850905,0.02247374261098674,expected_l1_bytes,81099128534100.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,0.7259397893571193,pJ/byte,0.09074247366963992,True,,results/raw/rtx3090_l1_duration_scaling_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783448952321_r0,clocked_empty_1783448974107_r0,21786,11.379588948,11.416235096,1.0032203402220816,2653.86356757,2472.93307924,216.61546547043886,2464.994956833282,188.86861073671844,0.07116741532785548,expected_l1_bytes,82297454896700.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,2.2949508095212283,pJ/byte,0.28686885119015354,True,,results/raw/rtx3090_l1_duration_scaling_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783449014060_r0,clocked_empty_1783448993853_r0,20207,11.56952877,11.14483001,1.0381072443113917,2656.88159589,2412.46881972,216.46528637541775,2504.4013584266845,152.48023746331546,0.05739067849285838,expected_l1_bytes,83108512926500.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.8347126196105428,pJ/byte,0.22933907745131785,True,,results/raw/rtx3090_l1_duration_scaling_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783449034086_r0,clocked_empty_1783449055799_r0,21713,11.420950514,11.368157726,1.0046439176225763,2616.9998369,2518.97401013,221.5815500491236,2530.6719179264546,86.32791897354537,0.0329873612356836,expected_l1_bytes,82806045524700.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.0425315981040881,pJ/byte,0.13031644976301102,True,,results/raw/rtx3090_l1_duration_scaling_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783449096053_r0,clocked_empty_1783449075698_r0,20355,11.776288051,11.304073248,1.041773862628106,2700.23347368,2483.41579635,219.6921182184824,2587.1576666751935,113.07580700480639,0.041876307403411896,expected_l1_bytes,84299305011200.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.3413610822744404,pJ/byte,0.16767013528430505,True,,results/raw/rtx3090_l1_duration_scaling_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783449178015_r0,clocked_empty_1783449137131_r0,40884,22.211641699,22.436867183,1.0101399746606816,5881.40181204,5799.93822145,258.5003589914953,5741.717352981967,139.6844590580322,0.023750198255810342,expected_l1_bytes,161230236706800.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,0.8663663957279354,pJ/byte,0.10829579946599192,True,,results/raw/rtx3090_l1_duration_scaling_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783449219378_r0,clocked_empty_1783449258771_r0,39393,22.753045778,22.613172458,1.006185479735751,6065.55428466,5785.18320975,255.83244546933707,5820.967343261515,244.58694139848467,0.04032392258314358,expected_l1_bytes,165608791444100.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.476895877723032,pJ/byte,0.184611984715379,True,,results/raw/rtx3090_l1_duration_scaling_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783449341901_r0,clocked_empty_1783449300112_r0,41789,23.135586745,22.718516865,1.0183581473420271,6224.44543701,5912.52908002,260.25154349440845,6021.072160035027,203.37327697497312,0.03267331668870188,expected_l1_bytes,168531543126400.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.2067371674300849,pJ/byte,0.1508421459287606,True,,results/raw/rtx3090_l1_duration_scaling_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783449381119_r0,clocked_empty_1783449422039_r0,40920,22.276988536,22.275122159,1.0000837875090731,6010.19240547,5729.15082143,257.19952422865634,5729.630852706432,280.5615527635682,0.04668096024816499,expected_l1_bytes,162581279980500.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.725669479273498,pJ/byte,0.21570868490918724,True,,results/raw/rtx3090_l1_duration_scaling_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783449502006_r0,clocked_empty_1783449462938_r0,39068,22.237467993,22.306571163,1.0031075107121799,5885.51306359,5768.17550246,258.5863806817471,5750.306363836064,135.20669975393594,0.02297279749328491,expected_l1_bytes,161311738032500.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,0.8381702497476992,pJ/byte,0.1047712812184624,True,,results/raw/rtx3090_l1_duration_scaling_20260708.csv
