input_file,row_index,run_id,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,elapsed_s,net_E_J,average_power_W,group_rows,group_power_median_W,group_power_mad_W,average_power_delta_W,endpoint_after_W,group_endpoint_after_median_W,endpoint_after_ratio,temp_C,group_temp_median_C,clock_sm_mhz,group_clock_sm_median_mhz,status,coefficient_eligible,reasons,notes
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,2,clocked_empty_1783470485752_r0,clocked_empty,16,16,82,1,4,1,33.444710617,8916.06763136,266.59126262,12,270.121413602,0.8313985035,-3.530150982,247.996,252.388,0.982598221786,73,76,1920,1905,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,3,global_l1_load_only_1783470547096_r0,global_l1_load_only,16,16,82,1,4,1,34.674185217,9682.87573863,279.253158453,6,279.363952697,0.29500146,-0.1107942435,277.06,277.956,0.996776468218,76,78,1905,1890,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,4,clocked_empty_1783470607025_r0,clocked_empty,16,16,82,1,4,1,33.288228699,9013.45255118,270.769965944,12,270.121413602,0.8313985035,0.648552342,254.53,252.388,1.00848693282,75,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,5,clocked_empty_1783470666709_r0,clocked_empty,16,16,82,1,4,1,33.067816721,8935.58401279,270.219957011,12,270.121413602,0.8313985035,0.098543409,254.492,252.388,1.00833637098,75,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,6,global_l1_load_only_1783470727388_r0,global_l1_load_only,16,16,82,1,4,1,34.046882819,9506.52411207,279.218633982,6,279.363952697,0.29500146,-0.1453187145,278.044,277.956,1.00031659687,77,78,1890,1890,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,7,clocked_empty_1783470787737_r0,clocked_empty,16,16,82,1,4,1,33.696579975,9132.61577981,271.0250057,12,270.121413602,0.8313985035,0.903592098,250.667,252.388,0.99318113381,75,76,1890,1905,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,8,clocked_empty_1783470848144_r0,clocked_empty,16,16,82,1,4,1,33.797058704,9089.53116847,268.944444192,12,270.121413602,0.8313985035,-1.17696941,251.078,252.388,0.994809578902,76,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,9,global_l1_load_only_1783470909486_r0,global_l1_load_only,16,16,82,1,4,1,34.704698654,9699.08687395,279.47474694,6,279.363952697,0.29500146,0.1107942435,277.868,277.956,0.999683403129,78,78,1890,1890,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,10,clocked_empty_1783470969593_r0,clocked_empty,16,16,82,1,4,1,33.466748236,8971.62385984,268.075756765,12,270.121413602,0.8313985035,-2.045656837,252.657,252.388,1.00106581929,76,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,11,clocked_empty_1783471029638_r0,clocked_empty,16,16,82,1,4,1,33.429788265,9018.51223731,269.774734013,12,270.121413602,0.8313985035,-0.346679589,252.971,252.388,1.0023099355,76,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,12,global_l1_load_only_1783471090752_r0,global_l1_load_only,16,16,82,1,4,1,34.523070459,9613.99867161,278.480405821,6,279.363952697,0.29500146,-0.8835468755,278.313,277.956,1.00128437594,78,78,1905,1890,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,13,clocked_empty_1783471150452_r0,clocked_empty,16,16,82,1,4,1,33.007265483,8941.02848938,270.880618511,12,270.121413602,0.8313985035,0.759204909,252.119,252.388,0.998934180706,76,76,1890,1905,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,14,clocked_empty_1783471210494_r0,clocked_empty,16,16,82,1,4,1,33.399539826,9000.89451316,269.49157264,12,270.121413602,0.8313985035,-0.629840962,250.842,252.388,0.993874510674,76,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,15,global_l1_load_only_1783471271059_r0,global_l1_load_only,16,16,82,1,4,1,33.964418457,9503.53763162,279.808636902,6,279.363952697,0.29500146,0.4446842055,281.162,277.956,1.01153419966,78,78,1890,1890,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,16,clocked_empty_1783471331036_r0,clocked_empty,16,16,82,1,4,1,33.31402909,8995.54975256,270.022870193,12,270.121413602,0.8313985035,-0.098543409,253.225,252.388,1.00331632249,75,76,1905,1905,ok,true,,
results/raw/rtx3090_l1_paired_30s_stability_20260708.csv,17,clocked_empty_1783471390899_r0,clocked_empty,16,16,82,1,4,1,33.272940308,9037.62539229,271.620881973,12,270.121413602,0.8313985035,1.499468371,253.748,252.388,1.00538852877,76,76,1905,1905,ok,true,,
