input_file,row_index,run_id,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,elapsed_s,net_E_J,average_power_W,group_rows,group_power_median_W,group_power_mad_W,average_power_delta_W,endpoint_after_W,group_endpoint_after_median_W,endpoint_after_ratio,temp_C,group_temp_median_C,clock_sm_mhz,group_clock_sm_median_mhz,status,coefficient_eligible,reasons,notes
results/raw/rtx3090_l1_paired_lr8_30s_stability_20260708.csv,2,clocked_empty_1783481413144_r0,clocked_empty,16,16,82,1,8,1,33.308991056,9227.91418456,277.039738881,12,271.878466182,0.9405490035,5.1612726995,269.481,272.1975,0.990020114072,76,79,1905,1890,ok,true,,
results/raw/rtx3090_l1_paired_lr8_30s_stability_20260708.csv,3,global_l1_load_only_1783481474713_r0,global_l1_load_only,16,16,82,1,8,1,33.070100754,9273.00983233,280.404644102,6,277.292751756,0.8183615385,3.111892346,280.899,284.209,0.988353641158,78,80,1905,1897.5,ok,true,,
results/raw/rtx3090_l1_paired_lr8_30s_stability_20260708.csv,4,clocked_empty_1783481534637_r0,clocked_empty,16,16,82,1,8,1,33.405560489,9113.45238916,272.812437683,12,271.878466182,0.9405490035,0.9339715015,265.209,272.1975,0.974325627531,78,79,1905,1890,ok,true,,
results/raw/rtx3090_l1_paired_lr8_30s_stability_20260708.csv,5,clocked_empty_1783481594685_r0,clocked_empty,16,16,82,1,8,1,33.521910531,9105.83316793,271.63825163,12,271.878466182,0.9405490035,-0.2402145515,269.499,272.1975,0.990086242526,78,79,1890,1890,ok,true,,
results/raw/rtx3090_l1_paired_lr8_30s_stability_20260708.csv,6,global_l1_load_only_1783481656301_r0,global_l1_load_only,16,16,82,1,8,1,35.093363948,9746.9642956,277.74380108,6,277.292751756,0.8183615385,0.451049324,284.282,284.209,1.00025685323,79,80,1905,1897.5,ok,true,,
results/raw/rtx3090_l1_paired_lr8_30s_stability_20260708.csv,7,clocked_empty_1783481716757_r0,clocked_empty,16,16,82,1,8,1,33.908786378,9147.18493332,269.758546689,12,271.878466182,0.9405490035,-2.1199194925,275.037,272.1975,1.0104317637,79,79,1905,1890,ok,true,,
results/raw/rtx3090_l1_paired_lr8_30s_stability_20260708.csv,8,clocked_empty_1783481777157_r0,clocked_empty,16,16,82,1,8,1,33.891080089,9239.30720992,272.617667707,12,271.878466182,0.9405490035,0.7392015255,272.254,272.1975,1.00020756987,79,79,1890,1890,ok,true,,
results/raw/rtx3090_l1_paired_lr8_30s_stability_20260708.csv,9,global_l1_load_only_1783481837811_r0,global_l1_load_only,16,16,82,1,8,1,34.138505769,9553.26108547,279.838290232,6,277.292751756,0.8183615385,2.545538476,285.855,284.209,1.00579151258,80,80,1890,1897.5,ok,true,,
results/raw/rtx3090_l1_paired_lr8_30s_stability_20260708.csv,10,clocked_empty_1783481897538_r0,clocked_empty,16,16,82,1,8,1,33.160302143,9055.55856205,273.08432001,12,271.878466182,0.9405490035,1.2058538285,275.883,272.1975,1.01353980106,79,79,1890,1890,ok,true,,
results/raw/rtx3090_l1_paired_lr8_30s_stability_20260708.csv,11,clocked_empty_1783481957430_r0,clocked_empty,16,16,82,1,8,1,33.356377002,9061.0732996,271.644408476,12,271.878466182,0.9405490035,-0.2340577055,270.277,272.1975,0.992944461283,79,79,1890,1890,ok,true,,
