profile_name,kernel_demangled,payload_regs_per_thread,target_payload_bytes_per_block,ptxas_registers_per_thread,compiler_footprint_bytes_per_block,compiler_footprint_kib_per_block,max_resident_blocks_per_sm_est,stack_frame_bytes,spill_stores_bytes,spill_loads_bytes,spill_free,registers_per_sm_32bit_assumed,threads_per_block,kernel_mangled
rtx3090,"void a100fp16::(anonymous namespace)::reg_pressure_kernel<128>(unsigned long, float*, unsigned long, int*, int*, int*, int)",128,16384,140,17920,17.5,14,0,0,0,True,65536,32,_ZN8a100fp1643_GLOBAL__N__c7fbec0c_10_kernels_cu_2a82c5d619reg_pressure_kernelILi128EEEvmPfmPiS3_S3_i
rtx3090,"void a100fp16::(anonymous namespace)::reg_pressure_kernel<64>(unsigned long, float*, unsigned long, int*, int*, int*, int)",64,8192,76,9728,9.5,16,0,0,0,True,65536,32,_ZN8a100fp1643_GLOBAL__N__c7fbec0c_10_kernels_cu_2a82c5d619reg_pressure_kernelILi64EEEvmPfmPiS3_S3_i
rtx3090,"void a100fp16::(anonymous namespace)::reg_pressure_kernel<32>(unsigned long, float*, unsigned long, int*, int*, int*, int)",32,4096,44,5632,5.5,16,0,0,0,True,65536,32,_ZN8a100fp1643_GLOBAL__N__c7fbec0c_10_kernels_cu_2a82c5d619reg_pressure_kernelILi32EEEvmPfmPiS3_S3_i
rtx3090,"void a100fp16::(anonymous namespace)::reg_pressure_kernel<16>(unsigned long, float*, unsigned long, int*, int*, int*, int)",16,2048,31,3968,3.875,16,0,0,0,True,65536,32,_ZN8a100fp1643_GLOBAL__N__c7fbec0c_10_kernels_cu_2a82c5d619reg_pressure_kernelILi16EEEvmPfmPiS3_S3_i
rtx3090,"void a100fp16::(anonymous namespace)::reg_pressure_kernel<8>(unsigned long, float*, unsigned long, int*, int*, int*, int)",8,1024,19,2432,2.375,16,0,0,0,True,65536,32,_ZN8a100fp1643_GLOBAL__N__c7fbec0c_10_kernels_cu_2a82c5d619reg_pressure_kernelILi8EEEvmPfmPiS3_S3_i
rtx3090,"void a100fp16::(anonymous namespace)::reg_pressure_kernel<4>(unsigned long, float*, unsigned long, int*, int*, int*, int)",4,512,22,2816,2.75,16,0,0,0,True,65536,32,_ZN8a100fp1643_GLOBAL__N__c7fbec0c_10_kernels_cu_2a82c5d619reg_pressure_kernelILi4EEEvmPfmPiS3_S3_i
rtx3090,"void a100fp16::(anonymous namespace)::reg_pressure_kernel<2>(unsigned long, float*, unsigned long, int*, int*, int*, int)",2,256,21,2688,2.625,16,0,0,0,True,65536,32,_ZN8a100fp1643_GLOBAL__N__c7fbec0c_10_kernels_cu_2a82c5d619reg_pressure_kernelILi2EEEvmPfmPiS3_S3_i
rtx3090,"a100fp16::(anonymous namespace)::reg_operand_only_kernel(unsigned long, float*, unsigned long, int*, int*, int*, int)",,0,26,3328,3.25,16,0,0,0,True,65536,32,_ZN8a100fp1643_GLOBAL__N__c7fbec0c_10_kernels_cu_2a82c5d623reg_operand_only_kernelEmPfmPiS2_S2_i
rtx3090,"a100fp16::(anonymous namespace)::reg_mma_kernel(unsigned long, float*, unsigned long, int*, int*, int*, int)",,0,26,3328,3.25,16,0,0,0,True,65536,32,_ZN8a100fp1643_GLOBAL__N__c7fbec0c_10_kernels_cu_2a82c5d614reg_mma_kernelEmPfmPiS2_S2_i
rtx3090,"a100fp16::(anonymous namespace)::clocked_empty_kernel(unsigned long, unsigned long, float*, int*, int*, int*, int)",,0,16,2048,2.0,16,0,0,0,True,65536,32,_ZN8a100fp1643_GLOBAL__N__c7fbec0c_10_kernels_cu_2a82c5d620clocked_empty_kernelEmmPfPiS2_S2_i
rtx3090,"a100fp16::(anonymous namespace)::empty_kernel(unsigned long, float*, int*, int*, int*, int)",,0,16,2048,2.0,16,0,0,0,True,65536,32,_ZN8a100fp1643_GLOBAL__N__c7fbec0c_10_kernels_cu_2a82c5d612empty_kernelEmPfPiS2_S2_i
