profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,ITER,reuse_factor,load_repeat,store_repeat,pair,numerator_mode,baseline_mode,delta_E_J,denominator,denominator_column,coefficient,coefficient_unit,numerator_rows,baseline_rows
rtx3090,0,1,32,1,82,30093036,8,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,102.02228739110001,0.0,,102.02228739110001,J,3.0,3.0
rtx3090,0,1,32,1,82,30093036,8,1,1,reg_mma_minus_empty,reg_mma,empty,801.800240686,161718530998272.0,FLOP,4.957998540653127,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,1,82,30093036,8,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,343.644737486,161718530998272.0,FLOP,2.1249558437410734,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,1,82,30093036,8,1,1,reg_operand_minus_empty,reg_operand_only,empty,458.1555032,19741031616.0,expected_reg_operand_ops,23208.28577310354,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,1,82,49736930,4,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,187.80394921680002,0.0,,187.80394921680002,J,3.0,3.0
rtx3090,0,1,32,1,82,49736930,4,1,1,reg_mma_minus_empty,reg_mma,empty,832.0733420278,133641937223680.0,FLOP,6.226139483709646,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,1,82,49736930,4,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,373.057763675,133641937223680.0,FLOP,2.7914722835138455,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,1,82,49736930,4,1,1,reg_operand_minus_empty,reg_operand_only,empty,459.0155783528,16313713040.0,expected_reg_operand_ops,28136.793704004,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,1,82,78617172,2,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,304.9116676189,0.0,,304.9116676189,J,3.0,3.0
rtx3090,0,1,32,1,82,78617172,2,1,1,reg_mma_minus_empty,reg_mma,empty,823.3491384468999,105621227175936.0,FLOP,7.795299869745179,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,1,82,78617172,2,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,118.75328496999998,105621227175936.0,FLOP,1.1243316153881604,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,1,82,78617172,2,1,1,reg_operand_minus_empty,reg_operand_only,empty,704.5958534769,12893216208.0,expected_reg_operand_ops,54648.57193969271,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,1,82,153337753,1,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,594.1169337416001,0.0,,594.1169337416001,J,3.0,3.0
rtx3090,0,1,32,1,82,153337753,1,1,1,reg_mma_minus_empty,reg_mma,empty,801.9803585536,103003715551232.0,FLOP,7.7859362088225925,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,1,82,153337753,1,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,-159.891317749,103003715551232.0,FLOP,-1.5522868946360797,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,1,82,153337753,1,1,1,reg_operand_minus_empty,reg_operand_only,empty,961.8716763026,12573695746.0,expected_reg_operand_ops,76498.72366353344,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,2,82,29754992,8,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,146.547832953,0.0,,146.547832953,J,3.0,3.0
rtx3090,0,1,32,2,82,29754992,8,1,1,reg_mma_minus_empty,reg_mma,empty,951.615468088,319803797536768.0,FLOP,2.9756227894029066,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,2,82,29754992,8,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,356.74256617799995,319803797536768.0,FLOP,1.1155044715720897,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,2,82,29754992,8,1,1,reg_operand_minus_empty,reg_operand_only,empty,594.87290191,39038549504.0,expected_reg_operand_ops,15238.08925967005,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,2,82,48537469,4,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,256.0670531562,0.0,,256.0670531562,J,3.0,3.0
rtx3090,0,1,32,2,82,48537469,4,1,1,reg_mma_minus_empty,reg_mma,empty,967.0246524612,260838028607488.0,FLOP,3.707376020374658,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,2,82,48537469,4,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,399.11172906900003,260838028607488.0,FLOP,1.5301132706749132,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,2,82,48537469,4,1,1,reg_operand_minus_empty,reg_operand_only,empty,567.9129233922,31840579664.0,expected_reg_operand_ops,17836.13644554031,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,2,82,79350339,2,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,417.6706085122,0.0,,417.6706085122,J,3.0,3.0
rtx3090,0,1,32,2,82,79350339,2,1,1,reg_mma_minus_empty,reg_mma,empty,934.4582077142,213212456484864.0,FLOP,4.382756163125664,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,2,82,79350339,2,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,78.894018426,213212456484864.0,FLOP,0.37002537153170834,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,2,82,79350339,2,1,1,reg_operand_minus_empty,reg_operand_only,empty,855.5641892881999,26026911192.0,expected_reg_operand_ops,32872.29064473768,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,2,82,162541222,1,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,861.5799040126,0.0,,861.5799040126,J,3.0,3.0
rtx3090,0,1,32,2,82,162541222,1,1,1,reg_mma_minus_empty,reg_mma,empty,1044.2138954046,218372181262336.0,FLOP,4.781808238431981,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,2,82,162541222,1,1,1,reg_mma_minus_reg_operand,reg_mma,reg_operand_only,-83.17413822000003,218372181262336.0,FLOP,-0.3808824811805165,pJ/FLOP,3.0,3.0
rtx3090,0,1,32,2,82,162541222,1,1,1,reg_operand_minus_empty,reg_operand_only,empty,1127.3880336246,26656760408.0,expected_reg_operand_ops,42292.76237506557,pJ/reg-op,3.0,3.0
rtx3090,0,1,32,4,82,29255209,8,1,1,reg_fragment_minus_empty,reg_fragment_only,empty,217.62295281270002,0.0,,217.62295281270002,J,3.0,3.0
rtx3090,0,1,32,4,82,29255209,8,1,1,reg_mma_minus_empty,reg_mma,empty,1204.6012956557001,628864355663872.0,FLOP,1.9155184815396973,pJ/FLOP,3.0,3.0
