profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,pair,pairing,numerator_mode,control_mode,numerator_run_id,control_run_id,run_order_distance,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,delta_signal_fraction,denominator_column,denominator,denominator_scale,denominator_source,ncu_denominator_bytes_representative,numerator_energy_source,control_energy_source,numerator_energy_integration_method,control_energy_integration_method,numerator_measurement_scope,control_measurement_scope,numerator_nvml_total_energy_supported,control_nvml_total_energy_supported,numerator_power_semantics,control_power_semantics,numerator_power_sample_period_ms,control_power_sample_period_ms,numerator_power_state_status,control_power_state_status,numerator_power_state_reasons,control_power_state_reasons,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,64,16,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,nearest-control,shared_scalar_load_only,clocked_empty,shared_scalar_load_only_1783500152127_r0,clocked_empty_1783500107706_r0,44421,16.123593204,33.293944147,2.064920872522405,4500.45423538,9014.17548456,270.7451975278284,4365.385426875331,135.0688085046686,0.030012261305277763,expected_shared_bytes,91358170000000.0,1.0000107928020199,ncu_actual_exact,537401000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.4784535253351572,pJ/byte,0.18480669066689465,True,,results/raw/rtx3090_shared_fixediter_lr4_lr8_focus_20260708.csv
rtx3090,0,1,64,16,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,nearest-control,shared_scalar_load_only,clocked_empty,shared_scalar_load_only_1783500669146_r0,clocked_empty_1783500624727_r0,44419,16.152863409,30.460101339,1.8857400429714737,4518.03624747,8241.36394271,270.56259107575784,4370.360577231838,147.67567023816173,0.032685809088153474,expected_shared_bytes,91358170000000.0,1.0000107928020199,ncu_actual_exact,537401000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.616447332933242,pJ/byte,0.20205591661665526,True,,results/raw/rtx3090_shared_fixediter_lr4_lr8_focus_20260708.csv
rtx3090,0,1,64,16,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,nearest-control,shared_scalar_load_only,clocked_empty,shared_scalar_load_only_1783500831915_r0,clocked_empty_1783500785393_r0,46522,16.249112929,29.836140525,1.8361704208327003,4498.9148183,8079.84026403,270.80715273008656,4400.376006692127,98.53881160787296,0.02190279558240396,expected_shared_bytes,91358170000000.0,1.0000107928020199,ncu_actual_exact,537401000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.078598789882426,pJ/byte,0.13482484873530326,True,,results/raw/rtx3090_shared_fixediter_lr4_lr8_focus_20260708.csv
rtx3090,0,1,64,16,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,nearest-control,shared_scalar_load_only,clocked_empty,shared_scalar_load_only_1783501349116_r0,clocked_empty_1783501302444_r0,46672,16.181939648,29.974411388,1.8523373612819447,4512.43436176,8116.10268041,270.76770834136255,4381.546715007195,130.88764675280436,0.029005994605039265,expected_shared_bytes,91358170000000.0,1.0000107928020199,ncu_actual_exact,537401000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.4326868276017828,pJ/byte,0.17908585345022285,True,,results/raw/rtx3090_shared_fixediter_lr4_lr8_focus_20260708.csv
rtx3090,0,1,64,16,82,1,4,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,nearest-control,shared_scalar_load_only,clocked_empty,shared_scalar_load_only_1783501513241_r0,clocked_empty_1783501466506_r0,46735,16.341978451,30.520806801,1.867632300000516,4473.43963956,8205.4275401,268.8470063586639,4393.491984529145,79.94765503085455,0.017871629321619297,expected_shared_bytes,91358170000000.0,1.0000107928020199,ncu_actual_exact,537401000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,0.8751013185887431,pJ/byte,0.10938766482359288,True,,results/raw/rtx3090_shared_fixediter_lr4_lr8_focus_20260708.csv
rtx3090,0,1,64,16,82,1,8,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,nearest-control,shared_scalar_load_only,clocked_empty,shared_scalar_load_only_1783500329368_r0,clocked_empty_1783500269893_r0,59475,31.185164989,30.125395001,1.0351786254741164,8756.99630445,8283.93310637,274.9817257531401,8575.350486571624,181.64581787837596,0.02074293645482868,expected_shared_bytes,182716000000000.03,1.0000089319740855,ncu_actual_exact,1074800000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,0.9941429205891982,pJ/byte,0.12426786507364977,True,,results/raw/rtx3090_shared_fixediter_lr4_lr8_focus_20260708.csv
rtx3090,0,1,64,16,82,1,8,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,nearest-control,shared_scalar_load_only,clocked_empty,shared_scalar_load_only_1783500507521_r0,clocked_empty_1783500565859_r0,58338,31.226150027,29.999890422,1.0408754694684064,8749.80979682,8238.12089244,274.6050327703427,8574.857951455971,174.9518453640285,0.01999493125297562,expected_shared_bytes,182716000000000.03,1.0000089319740855,ncu_actual_exact,1074800000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,0.957506980034745,pJ/byte,0.11968837250434312,True,,results/raw/rtx3090_shared_fixediter_lr4_lr8_focus_20260708.csv
rtx3090,0,1,64,16,82,1,8,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,nearest-control,shared_scalar_load_only,clocked_empty,shared_scalar_load_only_1783501008325_r0,clocked_empty_1783501067114_r0,58789,31.293424194,30.514905127,1.0255127474183479,8766.59312137,8345.56329776,273.4913729217442,8558.481546239585,208.11157513041508,0.023739162095148363,expected_shared_bytes,182716000000000.03,1.0000089319740855,ncu_actual_exact,1074800000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.1389893338865509,pJ/byte,0.14237366673581886,True,,results/raw/rtx3090_shared_fixediter_lr4_lr8_focus_20260708.csv
rtx3090,0,1,64,16,82,1,8,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,nearest-control,shared_scalar_load_only,clocked_empty,shared_scalar_load_only_1783501185080_r0,clocked_empty_1783501244019_r0,58939,31.231308898,30.578192823,1.0213588840511447,8780.76111243,8375.16753463,273.8934764101053,8554.051766911074,226.70934551892606,0.025818871805770627,expected_shared_bytes,182716000000000.03,1.0000089319740855,ncu_actual_exact,1074800000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.2407744560899212,pJ/byte,0.15509680701124015,True,,results/raw/rtx3090_shared_fixediter_lr4_lr8_focus_20260708.csv
rtx3090,0,1,64,16,82,1,8,1,shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,nearest-control,shared_scalar_load_only,clocked_empty,shared_scalar_load_only_1783501690005_r0,clocked_empty_1783501748289_r0,58284,31.113337252,29.901774299,1.040518095711816,8754.44799151,8182.63738577,273.6505634732067,8514.182270541713,240.2657209682875,0.027444988102196213,expected_shared_bytes,182716000000000.03,1.0000089319740855,ncu_actual_exact,1074800000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,true,one_sec_average,one_sec_average,0,0,ok,ok,,,1.314968152588101,pJ/byte,0.16437101907351262,True,,results/raw/rtx3090_shared_fixediter_lr4_lr8_focus_20260708.csv
