input_file,row_index,run_id,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,elapsed_s,net_E_J,average_power_W,group_rows,group_power_median_W,group_power_mad_W,average_power_delta_W,endpoint_after_W,group_endpoint_after_median_W,endpoint_after_ratio,temp_C,group_temp_median_C,clock_sm_mhz,group_clock_sm_median_mhz,status,coefficient_eligible,reasons,notes
results/raw/rtx3090_shared_fixediter_lr4_lr8_lr16_20260708.csv,2,clocked_empty_1783495998757_r0,clocked_empty,64,16,82,1,4,1,33.656246923,9076.4701922,269.681590255,6,270.023444488,0.7432244745,-0.341854233,256.037,254.5445,1.00586341484,77,76.5,1890,1897.5,ok,true,,
results/raw/rtx3090_shared_fixediter_lr4_lr8_lr16_20260708.csv,3,shared_scalar_load_only_1783496045345_r0,shared_scalar_load_only,64,16,82,1,4,1,16.265874622,4499.04094041,276.593853387,3,276.583649273,0.010204114,0.010204114,299.993,295.67,1.0146210302,77,77,1890,1905,caution,true,,small_group
results/raw/rtx3090_shared_fixediter_lr4_lr8_lr16_20260708.csv,4,clocked_empty_1783496103757_r0,clocked_empty,64,16,82,1,4,1,30.035884808,8120.66096845,270.365298721,6,270.023444488,0.7432244745,0.341854233,253.46,254.5445,0.995739448309,75,76.5,1905,1897.5,ok,true,,
results/raw/rtx3090_shared_fixediter_lr4_lr8_lr16_20260708.csv,5,clocked_empty_1783496162499_r0,clocked_empty,64,16,82,1,8,1,30.335470087,8417.4279938,277.478079939,6,274.418693576,1.451173727,3.0593863635,268.959,269.697,0.997263595813,78,78,1890,1890,ok,true,,
results/raw/rtx3090_shared_fixediter_lr4_lr8_lr16_20260708.csv,6,shared_scalar_load_only_1783496221931_r0,shared_scalar_load_only,64,16,82,1,8,1,31.113147396,8790.97320762,282.548502591,3,282.411656917,0.136845674,0.136845674,269.534,269.534,1,78,78,1890,1890,caution,true,,small_group
results/raw/rtx3090_shared_fixediter_lr4_lr8_lr16_20260708.csv,7,clocked_empty_1783496280047_r0,clocked_empty,64,16,82,1,8,1,29.662432377,8093.12263403,272.840828802,6,274.418693576,1.451173727,-1.5778647735,266.482,269.697,0.988079214823,77,78,1905,1890,ok,true,,
results/raw/rtx3090_shared_fixediter_lr4_lr8_lr16_20260708.csv,8,clocked_empty_1783496339216_r0,clocked_empty,64,16,82,1,16,1,30.731829587,8560.05736686,278.540441031,6,278.028013343,0.70560485,0.5124276875,291.688,292.694,0.996562963368,79,79.5,1890,1890,ok,true,,
results/raw/rtx3090_shared_fixediter_lr4_lr8_lr16_20260708.csv,9,shared_scalar_load_only_1783496426895_r0,shared_scalar_load_only,64,16,82,1,16,1,61.352833666,17381.292837,283.300571439,3,282.770666268,0.529905171,0.529905171,276.167,274.257,1.00696427074,79,79,1890,1890,caution,true,,small_group
results/raw/rtx3090_shared_fixediter_lr4_lr8_lr16_20260708.csv,10,clocked_empty_1783496488076_r0,clocked_empty,64,16,82,1,16,1,30.840258593,8550.70020652,277.257733775,6,278.028013343,0.70560485,-0.7702795685,296.203,292.694,1.01198862976,80,79.5,1890,1890,ok,true,,
results/raw/rtx3090_shared_fixediter_lr4_lr8_lr16_20260708.csv,11,clocked_empty_1783496547160_r0,clocked_empty,64,16,82,1,8,1,30.722498589,8390.13650889,273.094210895,6,274.418693576,1.451173727,-1.3244826805,270.626,269.697,1.00344460635,78,78,1890,1890,ok,true,,
