comparison_protocol,coordinate_id,implementation,grid_blocks,softmax_cols,order_index,macroblock_index,original_matrix_tag,reproduction_matrix_tag,original_effect_pJ_per_logical_scalar_exponent_result,reproduction_effect_pJ_per_logical_scalar_exponent_result,signed_delta_pJ_per_logical_scalar_exponent_result,absolute_delta_pJ_per_logical_scalar_exponent_result,squared_delta_pJ2_per_logical_scalar_exponent_result2,original_point_estimate_sign,reproduction_point_estimate_sign,point_estimate_sign_agreement,original_standalone_verdict,reproduction_standalone_verdict,verdict_transition,standalone_verdict_agreement,numeric_interpretation,procedural_quality_status
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g16_s128,fp32,16,128,13,5,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,132.78470367977923,57.86739700800029,-74.91730667177893,74.91730667177893,5612.602838953372,positive,positive,1,not_identified,not_identified,not_identified->not_identified,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g16_s256,fp32,16,256,27,9,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,8.523358401820994,104.10168383725727,95.57832543543627,95.57832543543627,9135.216293042164,positive,positive,1,not_identified,positive_identified_pilot,not_identified->positive_identified_pilot,0,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g16_s512,fp32,16,512,24,8,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,36.0534114593599,42.64132441457436,6.587912955214463,6.587912955214463,43.40059710548256,positive,positive,1,not_identified,not_identified,not_identified->not_identified,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g16_s1024,fp32,16,1024,53,18,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,79.13841872638487,20.396668508278427,-58.741750218106446,58.741750218106446,3450.593218686409,positive,positive,1,positive_identified_pilot,not_identified,positive_identified_pilot->not_identified,0,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g16_s2048,fp32,16,2048,49,17,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,26.789976122442557,55.41647794194434,28.626501819501787,28.626501819501787,819.4766064219391,positive,positive,1,not_identified,not_identified,not_identified->not_identified,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g32_s128,fp32,32,128,30,10,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,77.95256858831218,101.44965552006413,23.49708693175195,23.49708693175195,552.1130942783084,positive,positive,1,not_identified,not_identified,not_identified->not_identified,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g32_s256,fp32,32,256,31,11,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,62.49739739615679,16.23550046554837,-46.26189693060842,46.26189693060842,2140.163107618237,positive,positive,1,not_identified,not_identified,not_identified->not_identified,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g32_s512,fp32,32,512,5,2,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,97.61906982292027,118.88875902749383,21.269689204573567,21.269689204573567,452.3996788591533,positive,positive,1,positive_identified_pilot,positive_identified_pilot,positive_identified_pilot->positive_identified_pilot,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g32_s1024,fp32,32,1024,19,7,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,88.38202384118567,77.13029402204448,-11.25172981914119,11.25172981914119,126.60142392295103,positive,positive,1,positive_identified_pilot,positive_identified_pilot,positive_identified_pilot->positive_identified_pilot,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g32_s2048,fp32,32,2048,18,6,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,62.25754333042982,59.88753694271287,-2.3700063877169484,2.3700063877169484,5.616930277819138,positive,positive,1,positive_identified_pilot,not_identified,positive_identified_pilot->not_identified,0,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g48_s128,fp32,48,128,48,16,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,-12.313197125325507,156.93914837614167,169.25234550146718,169.25234550146718,28646.356457748017,negative,positive,0,not_identified,positive_identified_pilot,not_identified->positive_identified_pilot,0,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g48_s256,fp32,48,256,60,20,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,67.20231653271503,52.98728481510034,-14.215031717614693,14.215031717614693,202.06712673279173,positive,positive,1,not_identified,not_identified,not_identified->not_identified,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g48_s512,fp32,48,512,8,3,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,72.41441265745077,66.44633327117663,-5.968079386274141,5.968079386274141,35.61797156087033,positive,positive,1,positive_identified_pilot,not_identified,positive_identified_pilot->not_identified,0,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g48_s1024,fp32,48,1024,43,15,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,69.74045921829891,76.21158536170584,6.471126143406934,6.471126143406934,41.875473563884704,positive,positive,1,positive_identified_pilot,positive_identified_pilot,positive_identified_pilot->positive_identified_pilot,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g48_s2048,fp32,48,2048,41,14,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,72.28792920608319,49.62027779397858,-22.66765141210461,22.66765141210461,513.8224205406882,positive,positive,1,positive_identified_pilot,positive_identified_pilot,positive_identified_pilot->positive_identified_pilot,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g64_s128,fp32,64,128,35,12,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,97.22043522106492,149.10626919171582,51.88583397065091,51.88583397065091,2692.139766829952,positive,positive,1,not_identified,positive_identified_pilot,not_identified->positive_identified_pilot,0,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g64_s256,fp32,64,256,38,13,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,106.10932028564643,75.77614712015132,-30.33317316549511,30.33317316549511,920.1013942879127,positive,positive,1,positive_identified_pilot,positive_identified_pilot,positive_identified_pilot->positive_identified_pilot,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g64_s512,fp32,64,512,1,1,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,78.01992702701607,82.01006816538496,3.990141138368898,3.990141138368898,15.921226304103845,positive,positive,1,positive_identified_pilot,positive_identified_pilot,positive_identified_pilot->positive_identified_pilot,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g64_s1024,fp32,64,1024,12,4,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,100.38324563125286,65.10890073995188,-35.274344891300984,35.274344891300984,1244.2794075104518,positive,positive,1,positive_identified_pilot,positive_identified_pilot,positive_identified_pilot->positive_identified_pilot,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
rtx3090_softmax_ex2_factorial_coordinate_paired_reproduction_v1,fp32_g64_s2048,fp32,64,2048,55,19,matrix60_p20_strat_v2_20260723,matrix60_p20_repro_v1_20260724,88.04719339740682,73.44032630538989,-14.606867092016927,14.606867092016927,213.36056624384702,positive,positive,1,positive_identified_pilot,positive_identified_pilot,positive_identified_pilot->positive_identified_pilot,1,descriptive_only_no_preregistered_numeric_acceptance_tolerance,pass
