target_tag,session_id,session_index,implementation_position,implementation,matched_block,orientation_order,forward_incremental_pJ_per_element,reverse_incremental_pJ_per_element,order_balanced_incremental_pJ_per_element,middle_position_bias_pJ_per_element,incremental_pJ_per_ptx_ex2_instruction,logical_added_results_equals_elements,logical_added_results,added_ptx_ex2_instructions,max_temperature_span_C,quality_status,matched_source
targeted_g48s1024_confirm_v1_20260725,session01_g48_s1024,1,1,fp32,0,F-R,58.08720806414287,101.03374107307124,79.56047456860705,-21.473266504464185,not_applicable,true,603310374912,not_applicable,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess01_pos1_fp32_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session01_g48_s1024,1,1,fp32,1,R-F,86.21005354958444,138.26355429717776,112.2368039233811,-26.02675037379666,not_applicable,true,603310374912,not_applicable,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess01_pos1_fp32_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session01_g48_s1024,1,1,fp32,2,F-R,26.456659910894466,91.96530713921375,59.210983525054104,-32.754323614159645,not_applicable,true,603310374912,not_applicable,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess01_pos1_fp32_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session01_g48_s1024,1,2,ptx_f16,0,F-R,-1.1622919057258314,-5.446413347631176,-3.3043526266785035,2.1420607209526725,-3.3043526266785035,true,745947906048,745947906048,2.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess01_pos2_ptx_f16_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session01_g48_s1024,1,2,ptx_f16,1,R-F,74.994875830554,15.818790091092147,45.40683296082307,29.588042869730923,45.40683296082307,true,745947906048,745947906048,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess01_pos2_ptx_f16_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session01_g48_s1024,1,2,ptx_f16,2,F-R,15.620447900009205,6.755602287210468,11.188025093609838,4.4324228063993685,11.188025093609838,true,745947906048,745947906048,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess01_pos2_ptx_f16_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session01_g48_s1024,1,3,ptx_f16x2,0,F-R,23.10369425303178,20.214292720304343,21.65899348666806,1.4447007663637184,43.31798697333612,true,738579775488,369289887744,4.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess01_pos3_ptx_f16x2_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session01_g48_s1024,1,3,ptx_f16x2,1,R-F,24.63310977943571,1.6392030644369764,13.136156421936343,11.496953357499367,26.272312843872687,true,738579775488,369289887744,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess01_pos3_ptx_f16x2_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session01_g48_s1024,1,3,ptx_f16x2,2,F-R,27.180520495080938,37.313590917173855,32.2470557061274,-5.0665352110464585,64.4941114122548,true,738579775488,369289887744,3.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess01_pos3_ptx_f16x2_g48_s1024_matched.csv
targeted_g48s1024_confirm_v1_20260725,session02_g48_s1024,2,1,ptx_f16x2,0,F-R,18.838806574051482,12.971410125804995,15.905108349928238,2.933698224123243,31.810216699856475,true,741429067776,370714533888,2.0,pass,results/summary/rtx3090_softmax_ex2_targeted_targeted_g48s1024_confirm_v1_20260725_sess02_pos1_ptx_f16x2_g48_s1024_matched.csv
