label,mode,kernel_regex,W_SM_KiB,blocks_per_SM,active_SM,ITER,reuse_factor,load_repeat,store_repeat,status,shared_accesses,shared_bytes,shared_bytes_source,shared_bank_conflicts,shared_inst,legacy_shared_read_accesses,legacy_shared_write_accesses,l1_hit_rate_pct,l2_hit_rate_pct,l1_accesses,l1_access_unit,l1_read_accesses,l1_write_accesses,l2_accesses,l2_access_unit,l2_read_accesses,l2_write_accesses,dram_accesses,dram_access_unit,dram_read_accesses,dram_write_accesses,shared_read_accesses,shared_write_accesses,l1_bytes,l2_bytes,dram_bytes,tensor_hmma_inst,spill_local_read_inst,spill_local_write_inst,stall_long_scoreboard_pct,stall_short_scoreboard_pct,stall_wait_pct,stall_not_selected_pct,missing_metrics,optional_missing_metrics,validation_notes,source_files,component_candidate,acceptance,acceptance_reason,expected_shared_bytes,shared_bytes_to_expected,l2_to_l1_bytes,dram_to_l2_bytes,tensor_l2_bytes_per_hmma,tensor_dram_bytes_per_hmma,register_l2_bytes_per_op,register_dram_bytes_per_op
clocked_empty_W64_B16,clocked_empty,clocked_empty_kernel,64,16,82,1000000,1,1,1,ok,0,0,sass,0,0,0,0,20.846,50.2693,0,sectors,0,,700453,sectors,700453,,2.43666e+06,sectors,2.43666e+06,,0,0,0,1.58399e+08,1.18954e+08,0,,,0.002551,0.000583,378.947,33.6618,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_strict_scope_fresh_ncu_tensor_b16_20260708/clocked_empty_W64_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,,0.750977,,,,
dram_cg_load_only_W128_B16_LR4,dram_cg_load_only,global_cg_load_only_kernel,128,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,6e-06,1.14747,1.67936e+10,sectors,1.67936e+10,,1.6807e+10,sectors,1.6807e+10,,1.66523e+10,sectors,1.66523e+10,,0,0,5.37395e+11,5.39261e+11,5.33522e+11,0,,,1787.03,74.0485,235.952,10.5928,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_strict_scope_fresh_ncu_tensor_b16_20260708/dram_cg_load_only_W128_B16_LR4_raw_metrics.csv,dram_sanity_path,accepted,pass,,,1.00347,0.989358,,,,
global_l1_load_only_W16_B16_LR4,global_l1_load_only,global_l1_load_only_kernel,16,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,99.9997,101.675,3.35872e+10,sectors,3.35872e+10,,506521,sectors,506521,,4.67812e+06,sectors,4.67812e+06,,0,0,1.07479e+12,2.1452e+08,1.70847e+08,0,,,17.4317,52.7463,210.022,80.9255,,spill_local_read_inst;spill_local_write_inst,l2_hit_rate_pct_out_of_range,results/ncu/rtx3090_strict_scope_fresh_ncu_tensor_b16_20260708/global_l1_load_only_W16_B16_LR4_raw_metrics.csv,global_l1_hit_path,accepted,pass,,,0.000199592,0.796415,,,,
l2_cg_load_only_W64_B16_LR4,l2_cg_load_only,global_cg_load_only_kernel,64,16,82,100000,1,4,1,ok,0,0,sass,0,0,0,0,7e-06,99.961,1.67936e+10,sectors,1.67936e+10,,1.67979e+10,sectors,1.67979e+10,,1.27413e+07,sectors,1.27413e+07,,0,0,5.37395e+11,5.38069e+11,6.08968e+08,0,,,865.733,52.6332,309.022,15.4742,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_strict_scope_fresh_ncu_tensor_b16_20260708/l2_cg_load_only_W64_B16_LR4_raw_metrics.csv,l2_hit_path,accepted,pass,,,1.00125,0.00113177,,,,
reg_mma_W2048_B16_RF16,reg_mma,reg_mma_kernel,2048,16,82,100000,16,1,1,ok,0,0,sass,0,0,0,0,35.7274,81.6141,0,sectors,0,,2.92258e+06,sectors,2.92258e+06,,7.66716e+06,sectors,7.66716e+06,,0,0,0,5.44255e+08,3.85784e+08,4.1984e+09,,,0.005973,0.00163,531.335,77.2843,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_strict_scope_fresh_ncu_tensor_b16_20260708/reg_mma_W2048_B16_RF16_raw_metrics.csv,tensor_increment_candidate,accepted,pass,,,,0.70883,0.129634,0.0918883,,
reg_mma_W2048_B16_RF8,reg_mma,reg_mma_kernel,2048,16,82,100000,8,1,1,ok,0,0,sass,0,0,0,0,37.5218,48.263,0,sectors,0,,1.2988e+06,sectors,1.2988e+06,,4.5037e+06,sectors,4.5037e+06,,0,0,0,2.83158e+08,2.10225e+08,2.0992e+09,,,0.008349,0.002432,490.197,56.5579,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_strict_scope_fresh_ncu_tensor_b16_20260708/reg_mma_W2048_B16_RF8_raw_metrics.csv,tensor_increment_candidate,accepted,pass,,,,0.74243,0.134889,0.100145,,
reg_operand_only_W2048_B16_RF16,reg_operand_only,reg_operand_only_kernel,2048,16,82,100000,16,1,1,ok,0,0,sass,0,0,0,0,31.9991,58.8888,0,sectors,0,,2.49823e+06,sectors,2.49823e+06,,8.26175e+06,sectors,8.26175e+06,,0,0,0,5.18752e+08,3.88583e+08,0,,,0.003941,1075.88,107.748,17.9031,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_strict_scope_fresh_ncu_tensor_b16_20260708/reg_operand_only_W2048_B16_RF16_raw_metrics.csv,register_control_candidate,accepted,pass,,,,0.749073,,,0.247119,0.18511
reg_operand_only_W2048_B16_RF8,reg_operand_only,reg_operand_only_kernel,2048,16,82,100000,8,1,1,ok,0,0,sass,0,0,0,0,32.01,22.8084,0,sectors,0,,0,sectors,0,,3.34845e+06,sectors,3.34845e+06,,0,0,0,1.38338e+08,1.07153e+08,0,,,0.005612,970.907,133.752,15.212,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_strict_scope_fresh_ncu_tensor_b16_20260708/reg_operand_only_W2048_B16_RF8_raw_metrics.csv,register_control_candidate,accepted,pass,,,,0.774574,,,0.131801,0.102089
shared_scalar_load_only_W64_B16_LR4,shared_scalar_load_only,shared_scalar_load_only_kernel,64,16,82,100000,1,4,1,ok,4.19844e+09,5.37401e+11,sass,0,4.19844e+09,4.1984e+09,42003,20.7889,58.2832,0,sectors,0,,4.34067e+06,sectors,4.34067e+06,,5.21698e+06,sectors,5.21698e+06,,4.1984e+09,41984,0,3.98446e+08,2.94741e+08,0,,,0.001958,91.0426,307.003,51.0063,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_strict_scope_fresh_ncu_tensor_b16_20260708/shared_scalar_load_only_W64_B16_LR4_raw_metrics.csv,shared_memory_path,accepted,pass,5.37395e+11,1.00001,,0.739726,,,,
clocked_empty_W64_B16,clocked_empty,clocked_empty_kernel,64,16,82,1000000,1,1,1,ok,0,0,sass,0,0,0,0,21.0366,46.7131,0,sectors,0,,938141,sectors,938141,,3.01965e+06,sectors,3.01965e+06,,0,0,0,1.98628e+08,1.50755e+08,0,,,0.003149,0.000585,378.947,33.8267,,spill_local_read_inst;spill_local_write_inst,,results/ncu/rtx3090_strict_scope_fresh_ncu_20260708/clocked_empty_W64_B16_raw_metrics.csv,not_selected,rejected,mode_not_final_component_candidate,,,,0.758982,,,,
