input_file,row_index,run_id,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,elapsed_s,net_E_J,average_power_W,group_rows,group_power_median_W,group_power_mad_W,average_power_delta_W,endpoint_after_W,group_endpoint_after_median_W,endpoint_after_ratio,temp_C,group_temp_median_C,clock_sm_mhz,group_clock_sm_median_mhz,status,coefficient_eligible,reasons,notes
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,2,clocked_empty_1783511717480_r0,clocked_empty,16,16,82,1,4,1,33.299404657,8999.95978143,270.273894508,12,268.229876388,0.698460046,2.0440181195,252.964,252.331,1.00250860972,74,75,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,3,global_l1_load_only_1783511777895_r0,global_l1_load_only,16,16,82,1,4,1,34.140972979,9518.86097999,278.810477541,6,277.524107242,0.855081565,1.2863702995,277.881,278.516,0.997720059171,77,78,1890,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,4,clocked_empty_1783511837915_r0,clocked_empty,16,16,82,1,4,1,33.836506432,9036.11171355,267.052147706,12,268.229876388,0.698460046,-1.1777286825,251.651,252.331,0.997305126996,75,75,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,5,clocked_empty_1783511897718_r0,clocked_empty,16,16,82,1,4,1,33.640091796,8953.1095089,266.144027287,12,268.229876388,0.698460046,-2.0858491015,252.495,252.331,1.00064993996,75,75,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,6,global_l1_load_only_1783511956927_r0,global_l1_load_only,16,16,82,1,4,1,32.822622818,9033.43210335,275.219690804,6,277.524107242,0.855081565,-2.3044164375,278.963,278.516,1.00160493473,77,78,1905,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,7,clocked_empty_1783512017145_r0,clocked_empty,16,16,82,1,4,1,33.987391679,9079.50689919,267.14338614,12,268.229876388,0.698460046,-1.0864902485,251.305,252.331,0.995933912203,75,75,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,8,clocked_empty_1783512077399_r0,clocked_empty,16,16,82,1,4,1,34.04269475,9147.22876632,268.698727686,12,268.229876388,0.698460046,0.4688512975,251.871,252.331,0.998176997674,76,75,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,9,global_l1_load_only_1783512138962_r0,global_l1_load_only,16,16,82,1,4,1,33.236627047,9294.47611507,279.645588041,6,277.524107242,0.855081565,2.1214807995,278.069,278.516,0.998395065275,78,78,1905,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,10,clocked_empty_1783512198743_r0,clocked_empty,16,16,82,1,4,1,33.48931894,9002.22034866,268.808701807,12,268.229876388,0.698460046,0.5788254185,249.602,252.331,0.989184840547,75,75,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,11,clocked_empty_1783512258723_r0,clocked_empty,16,16,82,1,4,1,33.737043333,9051.71973303,268.302104713,12,268.229876388,0.698460046,0.0722283245,252.271,252.331,0.999762217088,75,75,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,12,global_l1_load_only_1783512319458_r0,global_l1_load_only,16,16,82,1,4,1,34.479090251,9564.29147828,277.393962795,6,277.524107242,0.855081565,-0.1301444465,277.181,278.516,0.995206738572,78,78,1890,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,13,clocked_empty_1783512379027_r0,clocked_empty,16,16,82,1,4,1,33.286738122,8898.41459888,267.32612148,12,268.229876388,0.698460046,-0.9037549085,252.758,252.331,1.00169222172,75,75,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,14,clocked_empty_1783512438493_r0,clocked_empty,16,16,82,1,4,1,33.35483775,8944.35484259,268.157648064,12,268.229876388,0.698460046,-0.0722283245,253.22,252.331,1.00352315015,76,75,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,15,global_l1_load_only_1783512498782_r0,global_l1_load_only,16,16,82,1,4,1,34.045205449,9433.93713411,277.100314411,6,277.524107242,0.855081565,-0.4237928305,280.594,278.516,1.00746097172,78,78,1890,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,16,clocked_empty_1783512558699_r0,clocked_empty,16,16,82,1,4,1,33.677130549,9039.19438563,268.407499044,12,268.229876388,0.698460046,0.1776226555,255.02,252.331,1.01065663751,75,75,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,17,clocked_empty_1783512618121_r0,clocked_empty,16,16,82,1,4,1,33.172597528,8923.73104101,269.009113123,12,268.229876388,0.698460046,0.7792367345,252.36,252.331,1.00011492841,76,75,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,18,global_l1_load_only_1783512678216_r0,global_l1_load_only,16,16,82,1,4,1,33.870424915,9404.26748414,277.654251688,6,277.524107242,0.855081565,0.1301444465,280.995,278.516,1.00890074538,78,78,1905,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_l1_lr4_focus_20260708.csv,19,clocked_empty_1783512737611_r0,clocked_empty,16,16,82,1,4,1,33.174911103,8878.01071388,267.612193031,12,268.229876388,0.698460046,-0.6176833575,252.302,252.331,0.999885071592,76,75,1905,1905,ok,true,,
