input_file,row_index,run_id,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,elapsed_s,net_E_J,average_power_W,group_rows,group_power_median_W,group_power_mad_W,average_power_delta_W,endpoint_after_W,group_endpoint_after_median_W,endpoint_after_ratio,temp_C,group_temp_median_C,clock_sm_mhz,group_clock_sm_median_mhz,status,coefficient_eligible,reasons,notes
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,2,clocked_empty_1783513179911_r0,clocked_empty,64,16,82,1,8,1,33.409715565,9199.26474404,275.346993785,12,272.531855191,0.8080345455,2.815138594,262.272,269.401,0.973537588947,73,77,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,3,shared_scalar_load_only_1783513239895_r0,shared_scalar_load_only,64,16,82,1,8,1,33.810434118,9520.08851728,281.572501674,6,280.15485096,1.1893113175,1.417650714,266.379,268.8965,0.990637661703,75,77,1905,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,4,clocked_empty_1783513299029_r0,clocked_empty,64,16,82,1,8,1,32.908893689,8980.94074403,272.903149796,12,272.531855191,0.8080345455,0.371294605,269.796,269.401,1.00146621579,75,77,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,5,clocked_empty_1783513358852_r0,clocked_empty,64,16,82,1,8,1,33.573186479,9215.53704978,274.490985702,12,272.531855191,0.8080345455,1.959130511,266.932,269.401,0.990835223329,76,77,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,6,shared_scalar_load_only_1783513420350_r0,shared_scalar_load_only,64,16,82,1,8,1,35.316062178,9873.56580593,279.57720077,6,280.15485096,1.1893113175,-0.57765019,267.018,268.8965,0.993014040718,77,77,1890,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,7,clocked_empty_1783513479891_r0,clocked_empty,64,16,82,1,8,1,33.277424155,9057.85912262,272.192315139,12,272.531855191,0.8080345455,-0.339540052,269.582,269.401,1.00067186091,77,77,1890,1905,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,8,clocked_empty_1783513538864_r0,clocked_empty,64,16,82,1,8,1,32.73722471,8970.67113516,274.020513792,12,272.531855191,0.8080345455,1.488658601,269.22,269.401,0.999328139094,76,77,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,9,shared_scalar_load_only_1783513600008_r0,shared_scalar_load_only,64,16,82,1,8,1,34.966844726,9831.93754219,281.178860124,6,280.15485096,1.1893113175,1.024009164,270.558,268.8965,1.00617895733,77,77,1890,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,10,clocked_empty_1783513659151_r0,clocked_empty,64,16,82,1,8,1,32.982591669,8947.94541698,271.292974997,12,272.531855191,0.8080345455,-1.238880194,271.138,269.401,1.00644763754,77,77,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,11,clocked_empty_1783513719482_r0,clocked_empty,64,16,82,1,8,1,34.067622222,9251.71757637,271.56921948,12,272.531855191,0.8080345455,-0.962635711,267.133,269.401,0.991581323009,77,77,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,12,shared_scalar_load_only_1783513780230_r0,shared_scalar_load_only,64,16,82,1,8,1,34.562420552,9702.79476735,280.73250115,6,280.15485096,1.1893113175,0.57765019,268.407,268.8965,0.998179596982,77,77,1905,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,13,clocked_empty_1783513841948_r0,clocked_empty,64,16,82,1,8,1,33.37014391,9068.02394393,271.740630439,12,272.531855191,0.8080345455,-0.791224752,272.508,269.401,1.01153299357,77,77,1890,1905,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,14,clocked_empty_1783513901084_r0,clocked_empty,64,16,82,1,8,1,32.896264418,8938.1456732,271.707010852,12,272.531855191,0.8080345455,-0.824844339,266.911,269.401,0.990757272616,77,77,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,15,shared_scalar_load_only_1783513962087_r0,shared_scalar_load_only,64,16,82,1,8,1,34.800802075,9702.47188332,278.800237489,6,280.15485096,1.1893113175,-1.354613471,269.83,268.8965,1.00347159595,78,77,1890,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,16,clocked_empty_1783514020887_r0,clocked_empty,64,16,82,1,8,1,32.680802375,8906.22807475,272.521707777,12,272.531855191,0.8080345455,-0.010147414,264.654,269.401,0.982379426951,75,77,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,17,clocked_empty_1783514080859_r0,clocked_empty,64,16,82,1,8,1,33.717000107,9189.29873101,272.542002605,12,272.531855191,0.8080345455,0.010147414,272.787,269.401,1.01256862447,77,77,1905,1905,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,18,shared_scalar_load_only_1783514140365_r0,shared_scalar_load_only,64,16,82,1,8,1,33.184123704,9216.98151156,277.752746879,6,280.15485096,1.1893113175,-2.402104081,269.386,268.8965,1.00182040302,77,77,1905,1897.5,ok,true,,
results/raw/rtx3090_strict_scope_shared_lr8_focus_20260708.csv,19,clocked_empty_1783514199610_r0,clocked_empty,64,16,82,1,8,1,33.038727049,9006.5052638,272.604487771,12,272.531855191,0.8080345455,0.07263258,271.604,269.401,1.00817740097,77,77,1905,1905,ok,true,,
