profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,pair,pairing,numerator_mode,control_mode,numerator_run_id,control_run_id,run_order_distance,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,delta_signal_fraction,denominator_column,denominator,denominator_scale,denominator_source,ncu_denominator_bytes_representative,numerator_energy_source,control_energy_source,numerator_energy_integration_method,control_energy_integration_method,numerator_nvml_total_energy_supported,control_nvml_total_energy_supported,numerator_power_semantics,control_power_semantics,numerator_power_sample_period_ms,control_power_sample_period_ms,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783445723097_r0,clocked_empty_1783445683195_r0,39902,22.954789815,22.251567884,1.0316032530680974,6188.00771016,5733.51206256,257.6677783987835,5914.709695242073,273.2980149179266,0.04416575216433596,expected_l1_bytes,167129930983200.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,1.6352427917019763,pJ/byte,0.20440534896274704,True,,results/raw/rtx3090_targeted_l1_stability_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783445926790_r0,clocked_empty_1783446128883_r0,202093,22.178515284,22.438793631,1.011735607350947,5928.11136709,5797.5958705,258.3737773892806,5730.346770812973,197.76459627702752,0.03336047250645807,expected_l1_bytes,160746624198400.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,1.2302877106329677,pJ/byte,0.15378596382912096,True,,results/raw/rtx3090_targeted_l1_stability_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783446370740_r0,clocked_empty_1783446330208_r0,40532,21.744516743,22.512758346,1.0353303599284318,5766.24709831,5798.95258282,257.58516542911065,5601.064942421721,165.18215588827934,0.028646388729454852,expected_l1_bytes,157910210396800.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,1.0460511418052465,pJ/byte,0.1307563927256558,True,,results/raw/rtx3090_targeted_l1_stability_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783446574610_r0,clocked_empty_1783446533765_r0,40845,22.148398084,22.269980278,1.0054894351067236,5938.25585723,5761.26220866,258.70082221632765,5729.808795105336,208.44706212466463,0.03510240500514544,expected_l1_bytes,161191426039900.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,1.2931647001687754,pJ/byte,0.16164558752109692,True,,results/raw/rtx3090_targeted_l1_stability_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783446776931_r0,clocked_empty_1783446735952_r0,40979,22.345652724,22.678077681,1.0148764934775418,5962.56460083,5878.65056301,259.2217314757332,5792.478790070714,170.08581075928578,0.028525613078575204,expected_l1_bytes,162088940177300.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,1.0493363123556638,pJ/byte,0.13116703904445798,True,,results/raw/rtx3090_targeted_l1_stability_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783446980232_r0,clocked_empty_1783446940434_r0,39798,22.973529332,22.582387488,1.0173206594833184,6159.84742911,5784.03422036,256.1303238390345,5884.217507530717,275.6299215792833,0.04474622541407774,expected_l1_bytes,166761600450200.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,1.6528380684472659,pJ/byte,0.20660475855590824,True,,results/raw/rtx3090_targeted_l1_stability_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783447183950_r0,clocked_empty_1783447142799_r0,41151,22.506254116,22.629630331,1.0054818635906315,5955.39784352,5848.27897288,258.43457835316593,5816.394292777665,139.00355074233448,0.023340766544015637,expected_l1_bytes,163395035733200.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.8507207707907772,pJ/byte,0.10634009634884715,True,,results/raw/rtx3090_targeted_l1_stability_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783447388436_r0,clocked_empty_1783447590315_r0,201879,23.022942049,22.156477662,1.03910659447851,6147.79140714,5633.98344066,254.28154811460394,5854.309346372532,293.4820607674683,0.04773780392526337,expected_l1_bytes,167424939342400.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,1.7529172291785602,pJ/byte,0.21911465364732002,True,,results/raw/rtx3090_targeted_l1_stability_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783447837052_r0,clocked_empty_1783447795830_r0,41222,22.625029802,22.75599975,1.0057887193584347,6030.4895614,5898.50456529,259.2065666238197,5864.5562947380195,165.93326666198027,0.027515720734198282,expected_l1_bytes,164280189785600.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,1.0100625454507794,pJ/byte,0.12625781818134743,True,,results/raw/rtx3090_targeted_l1_stability_20260708.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,nearest-control,global_l1_load_only,clocked_empty,global_l1_load_only_1783448040581_r0,clocked_empty_1783447998691_r0,41890,23.296772401,22.441676525,1.0381030300943614,6154.82637527,5794.56962808,258.2057370635771,6015.360289002605,139.46608626739544,0.022659629657104233,expected_l1_bytes,169191045018300.0,1.9999992556688262,ncu_actual_exact,1074790000000.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.8243112763580989,pJ/byte,0.10303890954476236,True,,results/raw/rtx3090_targeted_l1_stability_20260708.csv
