input_file,row_index,run_id,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,elapsed_s,net_E_J,average_power_W,group_rows,group_power_median_W,group_power_mad_W,average_power_delta_W,endpoint_after_W,group_endpoint_after_median_W,endpoint_after_ratio,temp_C,group_temp_median_C,clock_sm_mhz,group_clock_sm_median_mhz,status,coefficient_eligible,reasons,notes
results/raw/rtx3090_targeted_shared_stability_20260708.csv,2,clocked_empty_1783443246966_r0,clocked_empty,64,16,82,1,4,1,19.672127023,5199.74579182,264.320466503,10,259.055616513,1.300796852,5.26484999,243.702,252.6845,0.964451717458,68,76,1920,1905,caution,true,,temperature_outlier
results/raw/rtx3090_targeted_shared_stability_20260708.csv,3,shared_scalar_load_only_1783443287955_r0,shared_scalar_load_only,64,16,82,1,4,1,22.178881688,6070.76236678,273.718145585,10,268.610269447,0.952167771,5.107876138,270.694,273.274,0.990558926206,72,78,1905,1890,ok,true,,
results/raw/rtx3090_targeted_shared_stability_20260708.csv,4,clocked_empty_1783443329288_r0,clocked_empty,64,16,82,1,8,1,22.696952146,5963.6980858,262.75325636,10,261.626222037,1.1149293755,1.127034323,268.863,270.3245,0.994593534807,73,77,1905,1905,ok,true,,
results/raw/rtx3090_targeted_shared_stability_20260708.csv,5,shared_scalar_load_only_1783443369063_r0,shared_scalar_load_only,64,16,82,1,8,1,22.860418855,6126.69498157,268.004493725,10,268.424830231,0.5584623015,-0.420336506,267.533,275.5005,0.971079907296,75,78,1905,1905,ok,true,,
results/raw/rtx3090_targeted_shared_stability_20260708.csv,6,clocked_empty_1783443409910_r0,clocked_empty,64,16,82,1,16,1,22.222842924,5910.49232532,265.964725824,10,265.66494549,0.877578894,0.299780334,286.256,293.5215,0.975247128405,76,79,1905,1905,ok,true,,
results/raw/rtx3090_targeted_shared_stability_20260708.csv,7,shared_scalar_load_only_1783443451339_r0,shared_scalar_load_only,64,16,82,1,16,1,22.827667792,6128.01604944,268.44687356,10,268.545218175,0.8648804605,-0.098344615,267.704,274.008,0.976993372456,76,78,1905,1905,ok,true,,
results/raw/rtx3090_targeted_shared_stability_20260708.csv,8,shared_scalar_load_only_1783443490808_r0,shared_scalar_load_only,64,16,82,1,4,1,22.492105127,6029.20533974,268.058739086,10,268.610269447,0.952167771,-0.551530361,274.613,273.274,1.00489984411,76,78,1890,1890,ok,true,,
results/raw/rtx3090_targeted_shared_stability_20260708.csv,9,clocked_empty_1783443531898_r0,clocked_empty,64,16,82,1,8,1,22.427807095,5896.67464123,262.918020306,10,261.626222037,1.1149293755,1.291798269,267.558,270.3245,0.989766003451,76,77,1905,1905,ok,true,,
results/raw/rtx3090_targeted_shared_stability_20260708.csv,10,shared_scalar_load_only_1783443574200_r0,shared_scalar_load_only,64,16,82,1,8,1,23.639701962,6371.49998104,269.525393818,10,268.424830231,0.5584623015,1.100563587,268.805,275.5005,0.975696958808,77,78,1905,1905,ok,true,,
results/raw/rtx3090_targeted_shared_stability_20260708.csv,11,clocked_empty_1783443613421_r0,clocked_empty,64,16,82,1,16,1,22.318346032,5866.6938914,262.864187292,10,265.66494549,0.877578894,-2.800758198,290.435,293.5215,0.989484586308,78,79,1905,1905,ok,true,,
results/raw/rtx3090_targeted_shared_stability_20260708.csv,12,shared_scalar_load_only_1783443654148_r0,shared_scalar_load_only,64,16,82,1,16,1,22.061050199,5920.32435843,268.360948596,10,268.545218175,0.8648804605,-0.184269579,274.473,274.008,1.00169703074,77,78,1905,1905,ok,true,,
results/raw/rtx3090_targeted_shared_stability_20260708.csv,13,clocked_empty_1783443695208_r0,clocked_empty,64,16,82,1,4,1,22.420538822,5785.24310419,258.033187789,10,259.055616513,1.300796852,-1.022428724,251.041,252.6845,0.993495841652,75,76,1905,1905,ok,true,,
