input_file,row_index,run_id,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,elapsed_s,net_E_J,average_power_W,group_rows,group_power_median_W,group_power_mad_W,average_power_delta_W,endpoint_after_W,group_endpoint_after_median_W,endpoint_after_ratio,temp_C,group_temp_median_C,clock_sm_mhz,group_clock_sm_median_mhz,status,coefficient_eligible,reasons,notes
results/raw/rtx3090_tensor_fixed_iter_rf8_rf16_20260708.csv,2,reg_operand_only_1783452164850_r0,reg_operand_only,2048,16,82,8,1,1,9.353765565,1040.65958694,111.25568411,5,109.97892041,0.939297755,1.2767637,213.291,219.149,0.973269328174,62,69,1950,1935,ok,true,,
results/raw/rtx3090_tensor_fixed_iter_rf8_rf16_20260708.csv,3,reg_mma_1783452182948_r0,reg_mma,2048,16,82,8,1,1,9.604016542,1172.15652662,122.048574312,5,123.417238519,2.134090136,-1.368664207,226.2,229.793,0.984364188639,64,70,1950,1935,ok,true,,
results/raw/rtx3090_tensor_fixed_iter_rf8_rf16_20260708.csv,4,reg_operand_only_1783452209953_r0,reg_operand_only,2048,16,82,16,1,1,18.535724208,2106.50707714,113.645793037,5,114.937946718,2.191017634,-1.292153681,213.835,216.486,0.987754404442,65,69,1950,1935,ok,true,,
results/raw/rtx3090_tensor_fixed_iter_rf8_rf16_20260708.csv,5,reg_mma_1783452237044_r0,reg_mma,2048,16,82,16,1,1,18.586772226,2236.79640544,120.343455993,5,122.976160048,2.632704055,-2.632704055,220.896,225.907,0.977818305763,67,70,1935,1935,ok,true,,
results/raw/rtx3090_tensor_fixed_iter_rf8_rf16_20260708.csv,6,reg_mma_1783452256851_r0,reg_mma,2048,16,82,8,1,1,9.53717014,1225.98862501,128.548469516,5,123.417238519,2.134090136,5.131230997,224.744,229.793,0.978028051333,67,70,1935,1935,ok,true,,
results/raw/rtx3090_tensor_fixed_iter_rf8_rf16_20260708.csv,7,reg_operand_only_1783452283916_r0,reg_operand_only,2048,16,82,16,1,1,18.592041624,2136.93108955,114.937946718,5,114.937946718,2.191017634,0,215.221,216.486,0.99415666602,67,69,1935,1935,ok,true,,
results/raw/rtx3090_tensor_fixed_iter_rf8_rf16_20260708.csv,8,reg_mma_1783452311013_r0,reg_mma,2048,16,82,16,1,1,18.622685544,2315.24067843,124.323673563,5,122.976160048,2.632704055,1.347513515,224.55,225.907,0.993993103357,69,70,1935,1935,ok,true,,
results/raw/rtx3090_tensor_fixed_iter_rf8_rf16_20260708.csv,9,reg_operand_only_1783452328952_r0,reg_operand_only,2048,16,82,8,1,1,9.452569054,1035.79718049,109.578377537,5,109.97892041,0.939297755,-0.400542873,219.149,219.149,1,68,69,1935,1935,ok,true,,
results/raw/rtx3090_tensor_fixed_iter_rf8_rf16_20260708.csv,10,reg_operand_only_1783452356061_r0,reg_operand_only,2048,16,82,16,1,1,18.603677483,2179.02947672,117.128964352,5,114.937946718,2.191017634,2.191017634,216.486,216.486,1,69,69,1935,1935,ok,true,,
results/raw/rtx3090_tensor_fixed_iter_rf8_rf16_20260708.csv,11,reg_mma_1783452383321_r0,reg_mma,2048,16,82,16,1,1,18.775762206,2213.43672334,117.887982339,5,122.976160048,2.632704055,-5.088177709,225.907,225.907,1,70,70,1935,1935,ok,true,,
