profile,blocks_per_SM,reuse_factor,target_duration_s,measurement_valid_rows,total_rows,treatment_active_power_median_W,control_active_power_median_W,delta_active_power_median_W,treatment_throughput_median_TFLOP_per_s,matched_iter_completion_median_pJ_per_FLOP,clocked_mi_atc_median_pJ_per_FLOP,operand_rate_atc_median_pJ_per_FLOP,operand_rate_positive_fraction,interpretation_status
rtx3090,4,1,5.0,1,1,162.18445298989795,125.92540054608165,36.2590524438163,40.74492688228379,2.6791877155347796,0.8744647628221154,0.8899034853730957,1.0,diagnostic_low_sample
rtx3090,4,1,15.0,1,1,169.1236200271074,138.03497598777167,31.08864403933572,41.202931713051385,2.7196471840072975,0.8400036511001584,0.7545250482622365,1.0,diagnostic_low_sample
rtx3090,4,4,5.0,1,1,170.42170322262788,136.3471099813924,34.074593241235476,33.9661070371807,3.033096008671316,1.079464178898277,1.003193954607045,1.0,diagnostic_low_sample
rtx3090,4,4,15.0,1,1,175.89150187974053,140.6739952410444,35.217506638696136,34.43617536629537,3.1277996926782685,1.2219753922167147,1.0226892581446625,1.0,diagnostic_low_sample
rtx3090,4,16,5.0,1,1,166.96292594068734,136.02775138014434,30.935174560543004,34.47951907186313,2.977300590062334,0.9506162684604436,0.8972043518375962,1.0,diagnostic_low_sample
rtx3090,4,16,15.0,0,1,nan,nan,nan,nan,nan,nan,nan,0.0,diagnostic_low_sample
rtx3090,8,1,5.0,1,1,206.50115673594476,138.812412339982,67.68874439596277,67.11884578951475,2.29250381928205,0.7388643247831884,1.0084908880619794,1.0,diagnostic_low_sample
rtx3090,8,1,15.0,1,1,216.17981066042174,155.83047895880256,60.34933170161918,69.19989936426852,2.3278173975272582,0.7436987206603468,0.8721014373726192,1.0,diagnostic_low_sample
rtx3090,8,4,5.0,1,1,230.06594744117785,144.28353535441312,85.78241208676474,61.402173327207784,2.4998680841143317,1.2508051712365802,1.3970582381447056,1.0,diagnostic_low_sample
rtx3090,8,4,15.0,1,1,238.78668212981003,179.60104337364385,59.185638756166185,62.9169921456954,2.3913947641796134,1.072524150660635,0.9406940277613934,1.0,diagnostic_low_sample
rtx3090,8,16,5.0,1,1,228.52802967783856,151.89136554567966,76.6366641321589,63.06200752006065,2.4357696357003404,1.0625875828473546,1.2152588721153543,1.0,diagnostic_low_sample
rtx3090,8,16,15.0,1,1,241.0695356490902,166.83574325865263,74.23379239043757,63.970292325092636,2.52657609585145,1.1757839881665706,1.1604416627203535,1.0,diagnostic_low_sample
rtx3090,16,1,5.0,1,1,206.26427045594926,145.17853658840247,61.08573386754679,65.73776845166539,2.665380737682784,0.07346629137363052,0.9292334575132549,1.0,diagnostic_low_sample
rtx3090,16,1,15.0,1,1,219.1640227350489,191.4470088997192,27.71701383532968,66.78450107036218,2.749391709919767,0.020705073370251407,0.41502165010004155,1.0,diagnostic_low_sample
rtx3090,16,4,5.0,1,1,225.98076272735176,173.50631259267158,52.47445013468018,61.47587641335897,2.858465262081922,0.2771651306813498,0.8535779104936401,1.0,diagnostic_low_sample
rtx3090,16,4,15.0,1,1,246.3819320793392,213.40423604483183,32.977696034507375,62.89179369855464,3.0013903480591697,0.30437735155454815,0.5243561058629062,1.0,diagnostic_low_sample
rtx3090,16,16,5.0,1,1,223.42112276886806,172.93346803067197,50.487654738196085,60.54244878490381,2.9176945349653693,0.3234228136393022,0.8339215831452317,1.0,diagnostic_low_sample
rtx3090,16,16,15.0,1,1,240.96211890594122,212.2600261375537,28.70209276838753,62.797883821678234,2.9767780662827374,0.3396800835389665,0.45705509519859644,1.0,diagnostic_low_sample
