profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,pair,pairing,numerator_mode,control_mode,numerator_run_id,control_run_id,run_order_distance,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,delta_signal_fraction,denominator_column,denominator,denominator_scale,denominator_source,ncu_denominator_bytes_representative,numerator_energy_source,control_energy_source,numerator_energy_integration_method,control_energy_integration_method,numerator_nvml_total_energy_supported,control_nvml_total_energy_supported,numerator_power_semantics,control_power_semantics,numerator_power_sample_period_ms,control_power_sample_period_ms,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783450687239_r0,reg_operand_only_1783450647120_r0,40119,21.508887596,19.839193982,1.0841613633857758,3448.14754105,3030.54394465,152.7553965851434,3285.5986548322517,162.54888621774853,0.047140931263124124,FLOP,1585002517102592.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.1025543394813595,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783450806185_r0,reg_operand_only_1783450926776_r0,120591,21.177938637,22.326679646,1.0542423428781227,3351.90987869,3379.54310858,151.3679222420998,3205.6605688533773,146.24930983662261,0.04363163543459589,FLOP,1546480997367808.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.09456909595756213,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783451087052_r0,reg_operand_only_1783451046267_r0,40785,22.198601185,21.538790281,1.0306336101235007,3596.63961612,3215.7939269,149.30243922458106,3314.305304294176,282.334311825824,0.07849947227417851,FLOP,1617691278311424.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.17452916734553317,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783451206337_r0,reg_operand_only_1783451166647_r0,39690,21.106278818,22.037740638,1.0441319774097566,3381.15583019,3251.77918491,147.5550165656687,3114.3373206296123,266.8185095603876,0.0789134020910814,FLOP,1545219537371136.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.17267352832874663,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783451325965_r0,reg_operand_only_1783451286044_r0,39921,21.337254707,22.27409863,1.0439064882462437,3399.1492837,3336.75919439,149.80445448400172,3196.415801568333,202.7334821316672,0.05964241791434068,FLOP,1562104838488064.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.12978225093258763,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
rtx3090,0,1,2048,16,82,8,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783451445611_r0,reg_operand_only_1783451566136_r0,120525,21.635170529,22.118371717,1.0223340595976496,3483.4156955,3338.72768743,150.94816789175675,3265.78935337828,217.62634212171997,0.06247498465453245,FLOP,1585257113452544.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.1372814165443168,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
rtx3090,0,1,2048,16,82,16,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783450766397_r0,reg_operand_only_1783450725720_r0,40677,22.106009065,21.670309018,1.020105852973213,3338.39081551,3153.39746176,145.51695867099517,3216.7992074922495,121.59160801775033,0.036422220985284796,FLOP,1646010887569408.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.07387047615298542,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
rtx3090,0,1,2048,16,82,16,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783450885872_r0,reg_operand_only_1783450846715_r0,39157,22.373068206,21.941265699,1.019679926988883,3435.9945303,3245.18815842,147.9034164637049,3309.0532244428928,126.94130585710718,0.036944559933866895,FLOP,1663252589182976.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.0763211232513177,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
rtx3090,0,1,2048,16,82,16,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783451006151_r0,reg_operand_only_1783450966906_r0,39245,22.395474862,21.529450127,1.040225120933949,3459.3052596,3148.26354322,146.23055975181524,3274.902824977967,184.40243462203307,0.05330620479655373,FLOP,1664864946749440.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.11076119716621398,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
rtx3090,0,1,2048,16,82,16,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783451126014_r0,reg_operand_only_1783451246960_r0,120946,22.149744022,22.017598577,1.0060018100765105,3319.19307133,3246.90814559,147.46876841427118,3266.3954716157054,52.79759971429439,0.01590675763044372,FLOP,1638140154478592.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.03223020910020943,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
rtx3090,0,1,2048,16,82,16,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783451405380_r0,reg_operand_only_1783451366451_r0,38929,22.13120096,21.880252685,1.0114691671349865,3375.16786206,3189.96454154,145.79194250927821,3226.550778021603,148.61708403839702,0.04403250152651373,FLOP,1640619738923008.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.09058594171002561,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
rtx3090,0,1,2048,16,82,16,1,1,tensor_mma_increment,reg_mma_minus_reg_operand_only,nearest-control,reg_mma,reg_operand_only,reg_mma_1783451525444_r0,reg_operand_only_1783451486644_r0,38800,21.989285643,22.447696678,1.02084701806336,3388.74503543,3258.19081913,145.14588582815313,3191.6543433815245,197.09069204847538,0.058160377953446835,FLOP,1628097828880384.0,1.0,logical_or_expected,0.0,nvml_total_energy,nvml_total_energy,total_energy_mj_delta,total_energy_mj_delta,true,true,one_sec_average,one_sec_average,0,0,0.12105580423506332,pJ/FLOP,,True,,results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv
