input_file,row_index,run_id,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,elapsed_s,net_E_J,average_power_W,group_rows,group_power_median_W,group_power_mad_W,average_power_delta_W,endpoint_after_W,group_endpoint_after_median_W,endpoint_after_ratio,temp_C,group_temp_median_C,clock_sm_mhz,group_clock_sm_median_mhz,status,coefficient_eligible,reasons,notes
results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv,2,reg_operand_only_1783450647120_r0,reg_operand_only,2048,16,82,8,1,1,19.839193982,3030.54394465,152.755396585,6,150.376311188,1.0327415085,2.379085397,214.797,216.632,0.991529413937,62,68.5,1950,1935,ok,true,,
results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv,3,reg_mma_1783450687239_r0,reg_mma,2048,16,82,8,1,1,21.508887596,3448.14754105,160.312685891,6,160.254683807,0.8506214795,0.0580020835,220.306,221.784,0.993335858313,65,68.5,1950,1920,ok,true,,
results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv,4,reg_operand_only_1783450725720_r0,reg_operand_only,2048,16,82,16,1,1,21.670309018,3153.39746176,145.516958671,6,146.01125113,0.679828881,-0.4942924595,214.054,214.1195,0.999694096054,65,68,1950,1935,ok,true,,
results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv,5,reg_mma_1783450766397_r0,reg_mma,2048,16,82,16,1,1,22.106009065,3338.39081551,151.017345813,6,153.042238771,1.24445796,-2.0248929585,221.999,222.4,0.998196942446,67,69,1935,1935,ok,true,,
results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv,6,reg_mma_1783450806185_r0,reg_mma,2048,16,82,8,1,1,21.177938637,3351.90987869,158.273660914,6,160.254683807,0.8506214795,-1.9810228935,221.673,221.784,0.99949951304,68,68.5,1935,1920,ok,true,,
results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv,7,reg_operand_only_1783450846715_r0,reg_operand_only,2048,16,82,16,1,1,21.941265699,3245.18815842,147.903416464,6,146.01125113,0.679828881,1.8921653335,214.66,214.1195,1.00252429134,67,68,1935,1935,ok,true,,
results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv,8,reg_mma_1783450885872_r0,reg_mma,2048,16,82,16,1,1,22.373068206,3435.9945303,153.577260779,6,153.042238771,1.24445796,0.5350220075,222.492,222.4,1.00041366906,68,69,1935,1935,ok,true,,
results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv,9,reg_operand_only_1783450926776_r0,reg_operand_only,2048,16,82,8,1,1,22.326679646,3379.54310858,151.367922242,6,150.376311188,1.0327415085,0.991611054,216.257,216.632,0.998268953802,68,68.5,1935,1935,ok,true,,
results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv,10,reg_operand_only_1783450966906_r0,reg_operand_only,2048,16,82,16,1,1,21.529450127,3148.26354322,146.230559752,6,146.01125113,0.679828881,0.2193086215,215.161,214.1195,1.00486410626,68,68,1935,1935,ok,true,,
results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv,11,reg_mma_1783451006151_r0,reg_mma,2048,16,82,16,1,1,22.395474862,3459.3052596,154.464474672,6,153.042238771,1.24445796,1.4222359005,224.681,222.4,1.01025629496,69,69,1920,1935,ok,true,,
