label,mode,kernel_regex,W_SM_KiB,blocks_per_SM,active_SM,ITER,reuse_factor,load_repeat,store_repeat,ncu_replay_mode,ncu_cache_control,ncu_metric_profile,global_warmup_passes,l2_residency_policy,l2_address_layout,status,shared_accesses,shared_bytes,shared_read_bytes,shared_write_bytes,shared_bytes_source,shared_bank_conflicts,shared_inst,legacy_shared_read_accesses,legacy_shared_write_accesses,l1_hit_rate_pct,l1_path_hit_rate_pct,l1_aggregate_hit_rate_pct,l1_hit_rate_source,l2_hit_rate_pct,l2_path_hit_rate_pct,l2_tex_path_hit_rate_pct,l2_device_path_hit_rate_pct,l2_native_read_hit_rate_pct,l2_native_vs_derived_hit_delta_pct,l2_logical_read_hit_rate_pct,l2_fabric_hit_rate_pct,l2_fabric_model_native_hit_rate_pct,l2_native_vs_fabric_model_hit_delta_pct,l2_aggregate_hit_rate_pct,l2_hit_rate_source,l1_accesses,l1_access_unit,l1_read_accesses,l1_write_accesses,l2_accesses,l2_access_unit,l2_read_accesses,l2_write_accesses,dram_accesses,dram_access_unit,dram_read_accesses,dram_write_accesses,shared_read_accesses,shared_write_accesses,l1_bytes,l1_request_bytes,l1_hit_bytes,l1_miss_bytes,l2_bytes,l2_read_bytes,expected_global_read_bytes,expected_l2_read_bytes,l2_read_to_expected_ratio,l2_read_hit_sectors,l2_read_miss_sectors,l2_device_read_sectors,l2_device_read_hit_sectors,l2_device_read_miss_sectors,l2_fabric_read_sectors,l2_fabric_read_hit_sectors,l2_fabric_read_miss_sectors,l2_fabric_metric_source,l2_fabric_metrics_present,l2_fabric_read_sector_conservation_ratio,l2_fabric_counter_coherent,l2_fabric_read_to_source_miss_ratio,l2_fabric_hit_to_source_miss_ratio,l2_fabric_read_fraction,l2_logical_read_hit_sectors,l2_logical_read_miss_sectors,l2_logical_read_miss_bytes,l2_fabric_model_coherent,l2_evict_first_read_sectors,l2_evict_normal_read_sectors,l2_evict_last_read_sectors,l2_evict_first_read_pct,l2_evict_normal_read_pct,l2_evict_last_read_pct,l2_read_miss_bytes,l2_read_sector_conservation_ratio,l2_tex_read_sector_conservation_ratio,l2_device_read_sector_conservation_ratio,l2_path_counter_coherent,dram_bytes,dram_read_sectors,dram_write_sectors,dram_read_bytes,dram_read_bytes_source,dram_write_bytes,dram_write_bytes_source,dram_read_to_expected_ratio,dram_write_to_read_ratio,gpu_duration_s,dram_read_bandwidth_GBps,dram_read_to_l2_miss_bytes_ratio,dram_read_to_l2_read_bytes_ratio,dram_read_to_l2_logical_miss_bytes_ratio,tensor_hmma_inst,expected_logical_mma,tensor_hmma_per_logical_mma,tensor_pipe_active_pct,local_read_bytes,local_write_bytes,spill_local_read_inst,spill_local_write_inst,spill_zero_verified,spill_evidence_source,stall_long_scoreboard_pct,stall_short_scoreboard_pct,stall_wait_pct,stall_not_selected_pct,achieved_occupancy_pct,launch_warp_capacity_pct,launch_warps_per_scheduler,registers_per_thread,shared_mem_per_block_static,shared_mem_per_block_dynamic,launch_persisting_l2_cache_size_bytes,missing_metrics,optional_missing_metrics,validation_notes,source_files,component_candidate,acceptance,acceptance_reason,expected_shared_bytes,shared_bytes_to_expected,l2_to_l1_bytes,dram_to_l2_bytes,dram_read_to_l2_read_bytes,external_memory_technology,external_memory_coefficient_scope,external_memory_l2_service_hit_rate_pct,external_memory_source_to_expected_ratio,external_memory_read_to_expected_ratio,external_memory_write_to_read_ratio,l2_acceptance_model,l2_acceptance_hit_rate_pct,l2_read_bytes_to_expected,l1_hit_to_request_bytes,l1_request_to_l2_read_bytes,tensor_l2_bytes_per_hmma,tensor_dram_bytes_per_hmma,register_l2_bytes_per_op,register_dram_bytes_per_op,tensor_control_hmma_class,tensor_control_hmma_per_block,tensor_control_hmma_per_reg_op,tensor_hmma_ratio_group_median,tensor_hmma_ratio_group_relative_spread,tensor_control_pair_status,dram_expected_l2_hit_pct,dram_l2_hit_limit_pct,global_address_control_dram_to_expected
reg_mma_W1_B4_RF1,reg_mma,reg_mma_kernel,1,4,82,100000,1,1,1,application,none,full,1,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,78.4243,,78.4243,aggregate_fallback,15.5775,,,,8.55196,,,,,,15.5775,aggregate_fallback,0,sectors,0,,0,sectors,0,,266424,sectors,266424,0,0,0,0,0,0,0,1.02453e+07,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,8.52557e+06,266424,0,8.52557e+06,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,3.71053,0.00229767,,,,6.56e+07,3.28e+07,2,49.9754,0,0,0,0,1,local_memory_bytes_zero_inference,0.090571,0.030549,446.968,0,8.33305,33.3333,4,34,0,0,1.17965e+06,,,,results/ncu/rtx3090_tensor_v3_ncu_b4_20260714/reg_mma_W1_B4_RF1_raw_metrics.csv,tensor_increment_candidate,rejected,hmma_per_logical_mma_unstable_across_rf,,,,,,GDDR6X,,,,,,,,,,,0.156178,0.129963,,,,,,4,0.5,accepted,,,
reg_mma_W1_B4_RF16,reg_mma,reg_mma_kernel,1,4,82,100000,16,1,1,application,none,full,1,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.6701,,86.6701,aggregate_fallback,20.7597,,,,20.2471,,,,,,20.7597,aggregate_fallback,0,sectors,0,,0,sectors,0,,3.64668e+06,sectors,3.64668e+06,0,0,0,0,0,0,0,1.45603e+08,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,1.16694e+08,3.64668e+06,0,1.16694e+08,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,111.525,0.00104635,,,,2.0992e+09,5.248e+08,4,47.1017,0,0,0,0,1,local_memory_bytes_zero_inference,0.002362,0.000461,228.777,0,8.28158,33.3333,4,35,0,0,1.17965e+06,,,,results/ncu/rtx3090_tensor_v3_ncu_b4_20260714/reg_mma_W1_B4_RF16_raw_metrics.csv,tensor_increment_candidate,rejected,hmma_per_logical_mma_unstable_across_rf,,,,,,GDDR6X,,,,,,,,,,,0.0693612,0.0555897,,,,,,4,0.5,accepted,,,
reg_mma_W1_B4_RF2,reg_mma,reg_mma_kernel,1,4,82,100000,2,1,1,application,none,full,1,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.6689,,86.6689,aggregate_fallback,17.3683,,,,15.8127,,,,,,17.3683,aggregate_fallback,0,sectors,0,,0,sectors,0,,621848,sectors,621848,0,0,0,0,0,0,0,2.42869e+07,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,1.98991e+07,621848,0,1.98991e+07,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,14.7275,0.00135116,,,,2.624e+08,6.56e+07,4,44.5962,0,0,0,0,1,local_memory_bytes_zero_inference,0.027729,0.003203,224.998,0,8.25529,33.3333,4,35,0,0,1.17965e+06,,,,results/ncu/rtx3090_tensor_v3_ncu_b4_20260714/reg_mma_W1_B4_RF2_raw_metrics.csv,tensor_increment_candidate,rejected,hmma_per_logical_mma_unstable_across_rf,,,,,,GDDR6X,,,,,,,,,,,0.0925568,0.075835,,,,,,4,0.5,accepted,,,
reg_mma_W1_B4_RF4,reg_mma,reg_mma_kernel,1,4,82,100000,4,1,1,application,none,full,1,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.6748,,86.6748,aggregate_fallback,28.2234,,,,26.5118,,,,,,28.2234,aggregate_fallback,0,sectors,0,,0,sectors,0,,682688,sectors,682688,0,0,0,0,0,0,0,2.97223e+07,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,2.1846e+07,682688,0,2.1846e+07,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,28.5801,0.00076438,,,,5.248e+08,1.312e+08,4,45.9589,0,0,0,0,1,local_memory_bytes_zero_inference,0.005685,0.001732,227.026,0,8.26413,33.3333,4,35,0,0,1.17965e+06,,,,results/ncu/rtx3090_tensor_v3_ncu_b4_20260714/reg_mma_W1_B4_RF4_raw_metrics.csv,tensor_increment_candidate,rejected,hmma_per_logical_mma_unstable_across_rf,,,,,,GDDR6X,,,,,,,,,,,0.0566355,0.0416273,,,,,,4,0.5,accepted,,,
reg_mma_W1_B4_RF8,reg_mma,reg_mma_kernel,1,4,82,100000,8,1,1,application,none,full,1,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,86.6725,,86.6725,aggregate_fallback,0,0,,0,20.208,20.208,,,,,20.8811,srcunit_tex_device_read_lookup_hit_miss,0,sectors,0,,0,sectors,0,,1.77232e+06,sectors,1.77232e+06,0,0,0,0,0,0,0,7.24491e+07,0,,,,0,0,0,0,39136,,,,,0,,,,,,,,,,0,0,0,,,,1.25235e+06,,,,,5.67141e+07,1.77232e+06,0,5.67141e+07,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,56.2321,0.00100857,45.2861,,,1.0496e+09,2.624e+08,4,46.7145,0,0,0,0,1,local_memory_bytes_zero_inference,0.004496,0.000903,228.168,0,8.28201,33.3333,4,35,0,0,1.17965e+06,,,l2_native_derived_hit_rate_disagree,results/ncu/rtx3090_tensor_v3_ncu_b4_20260714/reg_mma_W1_B4_RF8_raw_metrics.csv,tensor_increment_candidate,rejected,hmma_per_logical_mma_unstable_across_rf,,,,,,GDDR6X,,,,,,,,,,,0.0690254,0.054034,,,,,,4,0.5,accepted,,,
reg_operand_only_W1_B4_RF1,reg_operand_only,reg_operand_only_kernel,1,4,82,100000,1,1,1,application,none,full,1,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,75.4473,,75.4473,aggregate_fallback,93.9043,,,,87.0146,,,,,,93.9043,aggregate_fallback,0,sectors,0,,0,sectors,0,,100,sectors,100,0,0,0,0,0,0,0,760672,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,3200,100,0,3200,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,3.584,8.92857e-07,,,,0,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,911.809,154.522,191.549,0,7.44896,33.3333,4,16,0,0,1.17965e+06,,,,results/ncu/rtx3090_tensor_v3_ncu_b4_20260714/reg_operand_only_W1_B4_RF1_raw_metrics.csv,register_control_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,,,0.0231912,9.7561e-05,strict_no_hmma_pass,0,0,,,,,,
reg_operand_only_W1_B4_RF16,reg_operand_only,reg_operand_only_kernel,1,4,82,100000,16,1,1,application,none,full,1,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,73.5298,,73.5298,aggregate_fallback,93.5929,,,,85.9413,,,,,,93.5929,aggregate_fallback,0,sectors,0,,0,sectors,0,,100,sectors,100,0,0,0,0,0,0,0,812096,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,3200,100,0,3200,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,3.616,8.84956e-07,,,,0,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,556.364,153.805,191.549,0,7.4539,33.3333,4,16,0,0,1.17965e+06,,,,results/ncu/rtx3090_tensor_v3_ncu_b4_20260714/reg_operand_only_W1_B4_RF16_raw_metrics.csv,register_control_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,,,0.00154744,6.09756e-06,strict_no_hmma_pass,0,0,,,,,,
reg_operand_only_W1_B4_RF2,reg_operand_only,reg_operand_only_kernel,1,4,82,100000,2,1,1,application,none,full,1,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,79.6261,,79.6261,aggregate_fallback,113.83,,,,81.6235,,,,,,113.83,aggregate_fallback,0,sectors,0,,0,sectors,0,,164,sectors,164,0,0,0,0,0,0,0,650624,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,5248,164,0,5248,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,3.488,1.50459e-06,,,,0,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,569.418,154.212,191.549,0,7.42765,33.3333,4,16,0,0,1.17965e+06,,,l2_hit_rate_pct_out_of_range,results/ncu/rtx3090_tensor_v3_ncu_b4_20260714/reg_operand_only_W1_B4_RF2_raw_metrics.csv,register_control_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,,,0.00991805,8e-05,strict_no_hmma_pass,0,0,,,,,,
reg_operand_only_W1_B4_RF4,reg_operand_only,reg_operand_only_kernel,1,4,82,100000,4,1,1,application,none,full,1,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,78.416,,78.416,aggregate_fallback,105.632,,,,86.6747,,,,,,105.632,aggregate_fallback,0,sectors,0,,0,sectors,0,,132,sectors,132,0,0,0,0,0,0,0,680128,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,4224,132,0,4224,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,3.968,1.06452e-06,,,,0,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,589.784,154.328,191.549,0,7.64907,33.3333,4,16,0,0,1.17965e+06,,,l2_hit_rate_pct_out_of_range,results/ncu/rtx3090_tensor_v3_ncu_b4_20260714/reg_operand_only_W1_B4_RF4_raw_metrics.csv,register_control_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,,,0.0051839,3.21951e-05,strict_no_hmma_pass,0,0,,,,,,
reg_operand_only_W1_B4_RF8,reg_operand_only,reg_operand_only_kernel,1,4,82,100000,8,1,1,application,none,full,1,normal,contiguous,ok,0,0,0,0,sass,0,0,0,0,76.2407,,76.2407,aggregate_fallback,96.8145,,,,91.5648,,,,,,96.8145,aggregate_fallback,0,sectors,0,,0,sectors,0,,100,sectors,100,0,0,0,0,0,0,0,738336,0,,,,0,0,0,0,0,,,,,0,,,,,,,,,,0,0,0,,,,0,,,,,3200,100,0,3200,dram__bytes_read.sum,0,dram__bytes_write.sum,,0,3.456,9.25926e-07,,,,0,,,0,0,0,0,0,1,local_memory_bytes_zero_inference,562.431,154.32,191.549,0,7.42319,33.3333,4,16,0,0,1.17965e+06,,,,results/ncu/rtx3090_tensor_v3_ncu_b4_20260714/reg_operand_only_W1_B4_RF8_raw_metrics.csv,register_control_candidate,accepted,pass,,,,,,GDDR6X,,,,,,,,,,,,,0.00281378,1.21951e-05,strict_no_hmma_pass,0,0,,,,,,
